,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C4689,3835,0,Third Party Sharing/Collection,1,third-party companies,"{""Third Party Entity"": {""selectedText"": ""third-party companies"", ""startIndexInSegment"": 37, ""endIndexInSegment"": 58, ""value"": ""Unnamed third party""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""to serve ads"", ""startIndexInSegment"": 59, ""endIndexInSegment"": 71, ""value"": ""Advertising""}, ""Personal Information Type"": {""selectedText"": ""click stream information"", ""startIndexInSegment"": 217, ""endIndexInSegment"": 241, ""value"": ""User online activities""}, ""Choice Type"": {""selectedText"": ""to opt-out of this type of advertising, you can visit networkadvertising.org."", ""startIndexInSegment"": 626, ""endIndexInSegment"": 703, ""value"": ""Opt-out link""}, ""Identifiability"": {""selectedText"": ""non-personally identifiable"", ""startIndexInSegment"": 170, ""endIndexInSegment"": 197, ""value"": ""Aggregated or anonymized""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""selectedText"": ""collect certain anonymous information when you visit our web site"", ""startIndexInSegment"": 79, ""endIndexInSegment"": 144, ""value"": ""Collect on first party website/app""}}",37,58
1,C4689,3835,0,Third Party Sharing/Collection,1,to serve ads,"{""Third Party Entity"": {""selectedText"": ""third-party companies"", ""startIndexInSegment"": 37, ""endIndexInSegment"": 58, ""value"": ""Unnamed third party""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""to serve ads"", ""startIndexInSegment"": 59, ""endIndexInSegment"": 71, ""value"": ""Advertising""}, ""Personal Information Type"": {""selectedText"": ""click stream information"", ""startIndexInSegment"": 217, ""endIndexInSegment"": 241, ""value"": ""User online activities""}, ""Choice Type"": {""selectedText"": ""to opt-out of this type of advertising, you can visit networkadvertising.org."", ""startIndexInSegment"": 626, ""endIndexInSegment"": 703, ""value"": ""Opt-out link""}, ""Identifiability"": {""selectedText"": ""non-personally identifiable"", ""startIndexInSegment"": 170, ""endIndexInSegment"": 197, ""value"": ""Aggregated or anonymized""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""selectedText"": ""collect certain anonymous information when you visit our web site"", ""startIndexInSegment"": 79, ""endIndexInSegment"": 144, ""value"": ""Collect on first party website/app""}}",59,71
2,C4689,3835,0,Third Party Sharing/Collection,1,click stream information,"{""Third Party Entity"": {""selectedText"": ""third-party companies"", ""startIndexInSegment"": 37, ""endIndexInSegment"": 58, ""value"": ""Unnamed third party""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""to serve ads"", ""startIndexInSegment"": 59, ""endIndexInSegment"": 71, ""value"": ""Advertising""}, ""Personal Information Type"": {""selectedText"": ""click stream information"", ""startIndexInSegment"": 217, ""endIndexInSegment"": 241, ""value"": ""User online activities""}, ""Choice Type"": {""selectedText"": ""to opt-out of this type of advertising, you can visit networkadvertising.org."", ""startIndexInSegment"": 626, ""endIndexInSegment"": 703, ""value"": ""Opt-out link""}, ""Identifiability"": {""selectedText"": ""non-personally identifiable"", ""startIndexInSegment"": 170, ""endIndexInSegment"": 197, ""value"": ""Aggregated or anonymized""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""selectedText"": ""collect certain anonymous information when you visit our web site"", ""startIndexInSegment"": 79, ""endIndexInSegment"": 144, ""value"": ""Collect on first party website/app""}}",217,241
3,C4689,3835,0,Third Party Sharing/Collection,1,"to opt-out of this type of advertising, you can visit networkadvertising.org.","{""Third Party Entity"": {""selectedText"": ""third-party companies"", ""startIndexInSegment"": 37, ""endIndexInSegment"": 58, ""value"": ""Unnamed third party""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""to serve ads"", ""startIndexInSegment"": 59, ""endIndexInSegment"": 71, ""value"": ""Advertising""}, ""Personal Information Type"": {""selectedText"": ""click stream information"", ""startIndexInSegment"": 217, ""endIndexInSegment"": 241, ""value"": ""User online activities""}, ""Choice Type"": {""selectedText"": ""to opt-out of this type of advertising, you can visit networkadvertising.org."", ""startIndexInSegment"": 626, ""endIndexInSegment"": 703, ""value"": ""Opt-out link""}, ""Identifiability"": {""selectedText"": ""non-personally identifiable"", ""startIndexInSegment"": 170, ""endIndexInSegment"": 197, ""value"": ""Aggregated or anonymized""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""selectedText"": ""collect certain anonymous information when you visit our web site"", ""startIndexInSegment"": 79, ""endIndexInSegment"": 144, ""value"": ""Collect on first party website/app""}}",626,703
4,C4689,3835,0,Third Party Sharing/Collection,1,non-personally identifiable,"{""Third Party Entity"": {""selectedText"": ""third-party companies"", ""startIndexInSegment"": 37, ""endIndexInSegment"": 58, ""value"": ""Unnamed third party""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""to serve ads"", ""startIndexInSegment"": 59, ""endIndexInSegment"": 71, ""value"": ""Advertising""}, ""Personal Information Type"": {""selectedText"": ""click stream information"", ""startIndexInSegment"": 217, ""endIndexInSegment"": 241, ""value"": ""User online activities""}, ""Choice Type"": {""selectedText"": ""to opt-out of this type of advertising, you can visit networkadvertising.org."", ""startIndexInSegment"": 626, ""endIndexInSegment"": 703, ""value"": ""Opt-out link""}, ""Identifiability"": {""selectedText"": ""non-personally identifiable"", ""startIndexInSegment"": 170, ""endIndexInSegment"": 197, ""value"": ""Aggregated or anonymized""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""selectedText"": ""collect certain anonymous information when you visit our web site"", ""startIndexInSegment"": 79, ""endIndexInSegment"": 144, ""value"": ""Collect on first party website/app""}}",170,197
5,C4689,3835,0,Third Party Sharing/Collection,1,collect certain anonymous information when you visit our web site,"{""Third Party Entity"": {""selectedText"": ""third-party companies"", ""startIndexInSegment"": 37, ""endIndexInSegment"": 58, ""value"": ""Unnamed third party""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""to serve ads"", ""startIndexInSegment"": 59, ""endIndexInSegment"": 71, ""value"": ""Advertising""}, ""Personal Information Type"": {""selectedText"": ""click stream information"", ""startIndexInSegment"": 217, ""endIndexInSegment"": 241, ""value"": ""User online activities""}, ""Choice Type"": {""selectedText"": ""to opt-out of this type of advertising, you can visit networkadvertising.org."", ""startIndexInSegment"": 626, ""endIndexInSegment"": 703, ""value"": ""Opt-out link""}, ""Identifiability"": {""selectedText"": ""non-personally identifiable"", ""startIndexInSegment"": 170, ""endIndexInSegment"": 197, ""value"": ""Aggregated or anonymized""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""selectedText"": ""collect certain anonymous information when you visit our web site"", ""startIndexInSegment"": 79, ""endIndexInSegment"": 144, ""value"": ""Collect on first party website/app""}}",79,144
6,15416,3835,0,Third Party Sharing/Collection,1,third-party companies,"{""Third Party Entity"": {""selectedText"": ""third-party companies"", ""startIndexInSegment"": 37, ""endIndexInSegment"": 58, ""value"": ""Unnamed third party""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""during your visits to this and other Web sites in order to provide advertisements about goods and services likely to be of greater interest to you."", ""startIndexInSegment"": 324, ""endIndexInSegment"": 471, ""value"": ""Advertising""}, ""Personal Information Type"": {""selectedText"": ""non-personally identifiable information (e.g., click stream information, browser type, time and date, subject of advertisements clicked or scrolled over)"", ""startIndexInSegment"": 170, ""endIndexInSegment"": 323, ""value"": ""Other""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""anonymous information"", ""startIndexInSegment"": 95, ""endIndexInSegment"": 116, ""value"": ""Aggregated or anonymized""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action Third Party"": {""selectedText"": ""We allow third-party companies to serve ads and/or collect certain anonymous information when you visit our web site."", ""startIndexInSegment"": 28, ""endIndexInSegment"": 145, ""value"": ""Collect on first party website/app""}}",37,58
7,15416,3835,0,Third Party Sharing/Collection,1,during your visits to this and other Web sites in order to provide advertisements about goods and services likely to be of greater interest to you.,"{""Third Party Entity"": {""selectedText"": ""third-party companies"", ""startIndexInSegment"": 37, ""endIndexInSegment"": 58, ""value"": ""Unnamed third party""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""during your visits to this and other Web sites in order to provide advertisements about goods and services likely to be of greater interest to you."", ""startIndexInSegment"": 324, ""endIndexInSegment"": 471, ""value"": ""Advertising""}, ""Personal Information Type"": {""selectedText"": ""non-personally identifiable information (e.g., click stream information, browser type, time and date, subject of advertisements clicked or scrolled over)"", ""startIndexInSegment"": 170, ""endIndexInSegment"": 323, ""value"": ""Other""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""anonymous information"", ""startIndexInSegment"": 95, ""endIndexInSegment"": 116, ""value"": ""Aggregated or anonymized""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action Third Party"": {""selectedText"": ""We allow third-party companies to serve ads and/or collect certain anonymous information when you visit our web site."", ""startIndexInSegment"": 28, ""endIndexInSegment"": 145, ""value"": ""Collect on first party website/app""}}",324,471
8,15416,3835,0,Third Party Sharing/Collection,1,"non-personally identifiable information (e.g., click stream information, browser type, time and date, subject of advertisements clicked or scrolled over)","{""Third Party Entity"": {""selectedText"": ""third-party companies"", ""startIndexInSegment"": 37, ""endIndexInSegment"": 58, ""value"": ""Unnamed third party""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""during your visits to this and other Web sites in order to provide advertisements about goods and services likely to be of greater interest to you."", ""startIndexInSegment"": 324, ""endIndexInSegment"": 471, ""value"": ""Advertising""}, ""Personal Information Type"": {""selectedText"": ""non-personally identifiable information (e.g., click stream information, browser type, time and date, subject of advertisements clicked or scrolled over)"", ""startIndexInSegment"": 170, ""endIndexInSegment"": 323, ""value"": ""Other""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""anonymous information"", ""startIndexInSegment"": 95, ""endIndexInSegment"": 116, ""value"": ""Aggregated or anonymized""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action Third Party"": {""selectedText"": ""We allow third-party companies to serve ads and/or collect certain anonymous information when you visit our web site."", ""startIndexInSegment"": 28, ""endIndexInSegment"": 145, ""value"": ""Collect on first party website/app""}}",170,323
9,15416,3835,0,Third Party Sharing/Collection,1,anonymous information,"{""Third Party Entity"": {""selectedText"": ""third-party companies"", ""startIndexInSegment"": 37, ""endIndexInSegment"": 58, ""value"": ""Unnamed third party""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""during your visits to this and other Web sites in order to provide advertisements about goods and services likely to be of greater interest to you."", ""startIndexInSegment"": 324, ""endIndexInSegment"": 471, ""value"": ""Advertising""}, ""Personal Information Type"": {""selectedText"": ""non-personally identifiable information (e.g., click stream information, browser type, time and date, subject of advertisements clicked or scrolled over)"", ""startIndexInSegment"": 170, ""endIndexInSegment"": 323, ""value"": ""Other""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""anonymous information"", ""startIndexInSegment"": 95, ""endIndexInSegment"": 116, ""value"": ""Aggregated or anonymized""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action Third Party"": {""selectedText"": ""We allow third-party companies to serve ads and/or collect certain anonymous information when you visit our web site."", ""startIndexInSegment"": 28, ""endIndexInSegment"": 145, ""value"": ""Collect on first party website/app""}}",95,116
