,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C1354,3696,0,Introductory/Generic,9,Privacy Statement,"{""Other Type"": {""endIndexInSegment"": 17, ""startIndexInSegment"": 0, ""selectedText"": ""Privacy Statement"", ""value"": ""Introductory/Generic""}}",0,17
1,C1355,3696,1,Other,0,"Last Updated on May 22, 2015","{""Other Type"": {""endIndexInSegment"": 28, ""startIndexInSegment"": 0, ""selectedText"": ""Last Updated on May 22, 2015"", ""value"": ""Other""}}",0,28
2,13509,3696,1,Policy Change,6,"Last Updated on May 22, 2015","{""Change Type"": {""endIndexInSegment"": 28, ""startIndexInSegment"": 0, ""selectedText"": ""Last Updated on May 22, 2015"", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 28, ""startIndexInSegment"": 0, ""selectedText"": ""Last Updated on May 22, 2015"", ""value"": ""None""}, ""Notification Type"": {""endIndexInSegment"": 28, ""startIndexInSegment"": 0, ""selectedText"": ""Last Updated on May 22, 2015"", ""value"": ""General notice in privacy policy""}}",0,28
3,13509,3696,1,Policy Change,6,"Last Updated on May 22, 2015","{""Change Type"": {""endIndexInSegment"": 28, ""startIndexInSegment"": 0, ""selectedText"": ""Last Updated on May 22, 2015"", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 28, ""startIndexInSegment"": 0, ""selectedText"": ""Last Updated on May 22, 2015"", ""value"": ""None""}, ""Notification Type"": {""endIndexInSegment"": 28, ""startIndexInSegment"": 0, ""selectedText"": ""Last Updated on May 22, 2015"", ""value"": ""General notice in privacy policy""}}",0,28
4,13509,3696,1,Policy Change,6,"Last Updated on May 22, 2015","{""Change Type"": {""endIndexInSegment"": 28, ""startIndexInSegment"": 0, ""selectedText"": ""Last Updated on May 22, 2015"", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 28, ""startIndexInSegment"": 0, ""selectedText"": ""Last Updated on May 22, 2015"", ""value"": ""None""}, ""Notification Type"": {""endIndexInSegment"": 28, ""startIndexInSegment"": 0, ""selectedText"": ""Last Updated on May 22, 2015"", ""value"": ""General notice in privacy policy""}}",0,28
5,4331,3696,2,User Choice/Control,2,"If you disagree with any part of this Privacy Policy, please do not use any of our Online Services.","{""Choice Type"": {""endIndexInSegment"": 612, ""startIndexInSegment"": 513, ""selectedText"": ""If you disagree with any part of this Privacy Policy, please do not use any of our Online Services."", ""value"": ""Dont use service/feature""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 378, ""startIndexInSegment"": 206, ""selectedText"": ""The Privacy Policy applies to your access and use of the NOTMC Websites (as defined in our Terms of Use), mobile applications and other online programs (\""Online Services\"")."", ""value"": ""Basic service/feature""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",513,612
6,4331,3696,2,User Choice/Control,2,"The Privacy Policy applies to your access and use of the NOTMC Websites (as defined in our Terms of Use), mobile applications and other online programs (""Online Services"").","{""Choice Type"": {""endIndexInSegment"": 612, ""startIndexInSegment"": 513, ""selectedText"": ""If you disagree with any part of this Privacy Policy, please do not use any of our Online Services."", ""value"": ""Dont use service/feature""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 378, ""startIndexInSegment"": 206, ""selectedText"": ""The Privacy Policy applies to your access and use of the NOTMC Websites (as defined in our Terms of Use), mobile applications and other online programs (\""Online Services\"")."", ""value"": ""Basic service/feature""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",206,378
7,5351,3696,2,Introductory/Generic,9,"New Orleans Tourism Marketing Corporation (""NOTMC"" or ""We"") has created this privacy policy (""Privacy Policy"") to explain our personal information collection practices and your options regarding such data. The Privacy Policy applies to your access and use of the NOTMC Websites (as defined in our Terms of Use), mobile applications and other online programs (""Online Services""). By using or downloading any of our Online Services, you are agreeing that you have read and agree to be bound by this Privacy Policy. If you disagree with any part of this Privacy Policy, please do not use any of our Online Services.","{""Other Type"": {""endIndexInSegment"": 612, ""startIndexInSegment"": 0, ""selectedText"": ""New Orleans Tourism Marketing Corporation (\""NOTMC\"" or \""We\"") has created this privacy policy (\""Privacy Policy\"") to explain our personal information collection practices and your options regarding such data. The Privacy Policy applies to your access and use of the NOTMC Websites (as defined in our Terms of Use), mobile applications and other online programs (\""Online Services\""). By using or downloading any of our Online Services, you are agreeing that you have read and agree to be bound by this Privacy Policy. If you disagree with any part of this Privacy Policy, please do not use any of our Online Services."", ""value"": ""Introductory/Generic""}}",0,612
8,5352,3696,2,User Choice/Control,2,"By using or downloading any of our Online Services, you are agreeing that you have read and agree to be bound by this Privacy Policy. If you disagree with any part of this Privacy Policy, please do not use any of our Online Services.","{""Choice Type"": {""endIndexInSegment"": 612, ""startIndexInSegment"": 379, ""selectedText"": ""By using or downloading any of our Online Services, you are agreeing that you have read and agree to be bound by this Privacy Policy. If you disagree with any part of this Privacy Policy, please do not use any of our Online Services."", ""value"": ""Dont use service/feature""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",379,612
9,13515,3696,2,First Party Collection/Use,0,our personal information collection practices,"{""Collection Mode"": {""endIndexInSegment"": 167, ""startIndexInSegment"": 122, ""selectedText"": ""our personal information collection practices"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 310, ""startIndexInSegment"": 241, ""selectedText"": ""access and use of the NOTMC Websites (as defined in our Terms of Use)"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 167, ""startIndexInSegment"": 122, ""selectedText"": ""our personal information collection practices"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",122,167
