,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C4885,3905,0,Introductory/Generic,9,"Sci-News.com is committed to protecting and respecting your privacy. To better inform you of our policy concerning user privacy, we have adopted the following terms. Please note that these terms are subject to change, and any such changes will be included on this page.","{""Other Type"": {""selectedText"": ""Sci-News.com is committed to protecting and respecting your privacy. To better inform you of our policy concerning user privacy, we have adopted the following terms. Please note that these terms are subject to change, and any such changes will be included on this page."", ""startIndexInSegment"": 20, ""endIndexInSegment"": 299, ""value"": ""Introductory/Generic""}}",20,299
1,20234,3905,0,Policy Change,6,"Please note that these terms are subject to change,","{""Change Type"": {""selectedText"": ""Please note that these terms are subject to change,"", ""startIndexInSegment"": 191, ""endIndexInSegment"": 242, ""value"": ""Unspecified""}, ""User Choice"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""selectedText"": ""and any such changes will be included on this page."", ""startIndexInSegment"": 243, ""endIndexInSegment"": 294, ""value"": ""General notice in privacy policy""}}",191,242
2,20324,3905,1,First Party Collection/Use,0,nformation that you provide by filling in forms on our site,"{""Collection Mode"": {""selectedText"": ""nformation that you provide by filling in forms on our site"", ""startIndexInSegment"": 139, ""endIndexInSegment"": 198, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""Sci-News.com may collect and process"", ""startIndexInSegment"": 59, ""endIndexInSegment"": 95, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""including"", ""startIndexInSegment"": 200, ""endIndexInSegment"": 209, ""value"": ""Unspecified""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""other purposes, for example when you report a problem with our site"", ""startIndexInSegment"": 287, ""endIndexInSegment"": 354, ""value"": ""Basic service/feature""}}",139,198
3,20324,3905,1,First Party Collection/Use,0,Sci-News.com may collect and process,"{""Collection Mode"": {""selectedText"": ""nformation that you provide by filling in forms on our site"", ""startIndexInSegment"": 139, ""endIndexInSegment"": 198, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""Sci-News.com may collect and process"", ""startIndexInSegment"": 59, ""endIndexInSegment"": 95, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""including"", ""startIndexInSegment"": 200, ""endIndexInSegment"": 209, ""value"": ""Unspecified""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""other purposes, for example when you report a problem with our site"", ""startIndexInSegment"": 287, ""endIndexInSegment"": 354, ""value"": ""Basic service/feature""}}",59,95
4,20325,3905,1,First Party Collection/Use,0,nformation that you provide by filling in forms on our site,"{""Collection Mode"": {""selectedText"": ""nformation that you provide by filling in forms on our site"", ""startIndexInSegment"": 139, ""endIndexInSegment"": 198, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""Sci-News.com may collect and process"", ""startIndexInSegment"": 59, ""endIndexInSegment"": 95, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""names, e-mail and website addresses"", ""startIndexInSegment"": 210, ""endIndexInSegment"": 245, ""value"": ""Contact""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""other purposes, for example when you report a problem with our site"", ""startIndexInSegment"": 287, ""endIndexInSegment"": 354, ""value"": ""Basic service/feature""}}",139,198
5,20325,3905,1,First Party Collection/Use,0,Sci-News.com may collect and process,"{""Collection Mode"": {""selectedText"": ""nformation that you provide by filling in forms on our site"", ""startIndexInSegment"": 139, ""endIndexInSegment"": 198, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""Sci-News.com may collect and process"", ""startIndexInSegment"": 59, ""endIndexInSegment"": 95, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""names, e-mail and website addresses"", ""startIndexInSegment"": 210, ""endIndexInSegment"": 245, ""value"": ""Contact""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""other purposes, for example when you report a problem with our site"", ""startIndexInSegment"": 287, ""endIndexInSegment"": 354, ""value"": ""Basic service/feature""}}",59,95
6,20590,3905,1,First Party Collection/Use,0,information that you provide by filling in forms,"{""Collection Mode"": {""selectedText"": ""information that you provide by filling in forms"", ""startIndexInSegment"": 138, ""endIndexInSegment"": 186, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""may collect"", ""startIndexInSegment"": 72, ""endIndexInSegment"": 83, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""names, e-mail and website addresses; we may also ask you for information for other purposes, for example when you report a problem with our site;"", ""startIndexInSegment"": 210, ""endIndexInSegment"": 355, ""value"": ""Contact""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",138,186
7,20590,3905,1,First Party Collection/Use,0,may collect,"{""Collection Mode"": {""selectedText"": ""information that you provide by filling in forms"", ""startIndexInSegment"": 138, ""endIndexInSegment"": 186, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""may collect"", ""startIndexInSegment"": 72, ""endIndexInSegment"": 83, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""names, e-mail and website addresses; we may also ask you for information for other purposes, for example when you report a problem with our site;"", ""startIndexInSegment"": 210, ""endIndexInSegment"": 355, ""value"": ""Contact""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",72,83
8,20235,3905,1,First Party Collection/Use,0,that you provide by filling in forms on our site,"{""Collection Mode"": {""selectedText"": ""that you provide by filling in forms on our site"", ""startIndexInSegment"": 150, ""endIndexInSegment"": 198, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""information that you provide"", ""startIndexInSegment"": 138, ""endIndexInSegment"": 166, ""value"": ""Collection""}, ""Action First-Party"": {""selectedText"": ""on our site"", ""startIndexInSegment"": 187, ""endIndexInSegment"": 198, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""information"", ""startIndexInSegment"": 138, ""endIndexInSegment"": 149, ""value"": ""Unspecified""}, ""Choice Type"": {""selectedText"": ""by filling in forms on our site"", ""startIndexInSegment"": 167, ""endIndexInSegment"": 198, ""value"": ""Opt-in""}, ""Identifiability"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""filling in forms"", ""startIndexInSegment"": 170, ""endIndexInSegment"": 186, ""value"": ""Basic service/feature""}}",150,198
9,20235,3905,1,First Party Collection/Use,0,on our site,"{""Collection Mode"": {""selectedText"": ""that you provide by filling in forms on our site"", ""startIndexInSegment"": 150, ""endIndexInSegment"": 198, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""information that you provide"", ""startIndexInSegment"": 138, ""endIndexInSegment"": 166, ""value"": ""Collection""}, ""Action First-Party"": {""selectedText"": ""on our site"", ""startIndexInSegment"": 187, ""endIndexInSegment"": 198, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""information"", ""startIndexInSegment"": 138, ""endIndexInSegment"": 149, ""value"": ""Unspecified""}, ""Choice Type"": {""selectedText"": ""by filling in forms on our site"", ""startIndexInSegment"": 167, ""endIndexInSegment"": 198, ""value"": ""Opt-in""}, ""Identifiability"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""filling in forms"", ""startIndexInSegment"": 170, ""endIndexInSegment"": 186, ""value"": ""Basic service/feature""}}",187,198
