,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C64,3906,0,Introductory/Generic,9,"RedOrbit, Inc. Privacy Statement","{""Other Type"": {""selectedText"": ""RedOrbit, Inc. Privacy Statement"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 37, ""value"": ""Introductory/Generic""}}",0,37
1,C65,3906,1,Introductory/Generic,9,"This privacy statement covers the site new.www.redorbit.com. Because this Web site wants to demonstrate its commitment to our users' privacy, it has agreed to disclose its information practices. What personally identifiable information RedOrbit, Inc. collects. What personally identifiable information third parties collect through the Web site. What organization collects the information. How RedOrbit, Inc. uses the information. With whom RedOrbit, Inc. may share user information. What choices are available to users regarding collection, use and distribution of the information. What types of security procedures are in place to protect the loss, misuse or alteration of information under RedOrbit, Inc. control. How users can correct any inaccuracies in the information.","{""Other Type"": {""selectedText"": ""This privacy statement covers the site new.www.redorbit.com. Because this Web site wants to demonstrate its commitment to our users' privacy, it has agreed to disclose its information practices. What personally identifiable information RedOrbit, Inc. collects. What personally identifiable information third parties collect through the Web site. What organization collects the information. How RedOrbit, Inc. uses the information. With whom RedOrbit, Inc. may share user information. What choices are available to users regarding collection, use and distribution of the information. What types of security procedures are in place to protect the loss, misuse or alteration of information under RedOrbit, Inc. control. How users can correct any inaccuracies in the information."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 820, ""value"": ""Introductory/Generic""}}",0,820
2,C66,3906,2,First Party Collection/Use,0,collects information from our users at several different points on our Web site.,"{""Collection Mode"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""collects information from our users at several different points on our Web site."", ""startIndexInSegment"": 187, ""endIndexInSegment"": 267, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""information"", ""startIndexInSegment"": 196, ""endIndexInSegment"": 207, ""value"": ""Unspecified""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""selectedText"": ""collects"", ""startIndexInSegment"": 187, ""endIndexInSegment"": 195, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""users"", ""startIndexInSegment"": 217, ""endIndexInSegment"": 222, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",187,267
3,C66,3906,2,First Party Collection/Use,0,collects,"{""Collection Mode"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""collects information from our users at several different points on our Web site."", ""startIndexInSegment"": 187, ""endIndexInSegment"": 267, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""information"", ""startIndexInSegment"": 196, ""endIndexInSegment"": 207, ""value"": ""Unspecified""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""selectedText"": ""collects"", ""startIndexInSegment"": 187, ""endIndexInSegment"": 195, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""users"", ""startIndexInSegment"": 217, ""endIndexInSegment"": 222, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",187,195
4,C67,3906,2,Practice not covered,10,"RedOrbit, Inc. is the sole owner of the information collected on RedOrbit.com.","{""Other Type"": {""selectedText"": ""RedOrbit, Inc. is the sole owner of the information collected on RedOrbit.com."", ""startIndexInSegment"": 93, ""endIndexInSegment"": 171, ""value"": ""Practice not covered""}}",93,171
5,C68,3906,3,First Party Collection/Use,0,During registration a user is required to give,"{""Collection Mode"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""During registration a user is required to give"", ""startIndexInSegment"": 104, ""endIndexInSegment"": 150, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""demographic information (such as income level and gender)"", ""startIndexInSegment"": 352, ""endIndexInSegment"": 409, ""value"": ""Demographic""}, ""Choice Type"": {""selectedText"": ""It is optional"", ""startIndexInSegment"": 313, ""endIndexInSegment"": 327, ""value"": ""Opt-in""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""so we can provide a more personalized experience on our site."", ""startIndexInSegment"": 483, ""endIndexInSegment"": 544, ""value"": ""Personalization/Customization""}}",104,150
6,C69,3906,3,First Party Collection/Use,0,During registration a user is required to give,"{""Collection Mode"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""During registration a user is required to give"", ""startIndexInSegment"": 104, ""endIndexInSegment"": 150, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""unique identifiers (such as, username and password)"", ""startIndexInSegment"": 415, ""endIndexInSegment"": 466, ""value"": ""User profile""}, ""Choice Type"": {""selectedText"": ""It is optional"", ""startIndexInSegment"": 313, ""endIndexInSegment"": 327, ""value"": ""Opt-in""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""so we can provide a more personalized experience on our site."", ""startIndexInSegment"": 483, ""endIndexInSegment"": 544, ""value"": ""Personalization/Customization""}}",104,150
7,C70,3906,3,First Party Collection/Use,0,required to give,"{""Collection Mode"": {""selectedText"": ""required to give"", ""startIndexInSegment"": 134, ""endIndexInSegment"": 150, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""registration form"", ""startIndexInSegment"": 85, ""endIndexInSegment"": 102, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""contact information"", ""startIndexInSegment"": 151, ""endIndexInSegment"": 170, ""value"": ""Contact""}, ""Choice Type"": {""selectedText"": ""In order to use this Web site, a user must"", ""startIndexInSegment"": 23, ""endIndexInSegment"": 65, ""value"": ""Dont use service/feature""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""We use this information to contact the user about services on our site for which he has expressed interest"", ""startIndexInSegment"": 205, ""endIndexInSegment"": 311, ""value"": ""Basic service/feature""}}",134,150
8,C70,3906,3,First Party Collection/Use,0,registration form,"{""Collection Mode"": {""selectedText"": ""required to give"", ""startIndexInSegment"": 134, ""endIndexInSegment"": 150, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""registration form"", ""startIndexInSegment"": 85, ""endIndexInSegment"": 102, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""contact information"", ""startIndexInSegment"": 151, ""endIndexInSegment"": 170, ""value"": ""Contact""}, ""Choice Type"": {""selectedText"": ""In order to use this Web site, a user must"", ""startIndexInSegment"": 23, ""endIndexInSegment"": 65, ""value"": ""Dont use service/feature""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""We use this information to contact the user about services on our site for which he has expressed interest"", ""startIndexInSegment"": 205, ""endIndexInSegment"": 311, ""value"": ""Basic service/feature""}}",85,102
9,20097,3906,3,First Party Collection/Use,0,a user must first complete the registration form,"{""Collection Mode"": {""selectedText"": ""a user must first complete the registration form"", ""startIndexInSegment"": 54, ""endIndexInSegment"": 102, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""During registration a user is required to give"", ""startIndexInSegment"": 103, ""endIndexInSegment"": 150, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""contact information"", ""startIndexInSegment"": 151, ""endIndexInSegment"": 170, ""value"": ""Contact""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""In order to use this Web site,"", ""startIndexInSegment"": 23, ""endIndexInSegment"": 53, ""value"": ""Basic service/feature""}}",54,102
