,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C211,3829,0,Introductory/Generic,9,"AOL Privacy Policy Last updated: June 23, 2015","{""Other Type"": {""endIndexInSegment"": 84, ""startIndexInSegment"": 9, ""selectedText"": ""AOL Privacy Policy Last updated: June 23, 2015"", ""value"": ""Introductory/Generic""}}",9,84
1,13488,3829,0,Policy Change,6,"Last updated: June 23, 2015","{""Change Type"": {""endIndexInSegment"": 84, ""startIndexInSegment"": 57, ""selectedText"": ""Last updated: June 23, 2015"", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 84, ""startIndexInSegment"": 57, ""selectedText"": ""Last updated: June 23, 2015"", ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 84, ""startIndexInSegment"": 57, ""selectedText"": ""Last updated: June 23, 2015"", ""value"": ""General notice in privacy policy""}}",57,84
2,C212,3829,1,Practice not covered,10,"AOL is now part of the Verizon family of companies. Additional privacy practices are described in the Verizon Privacy Policy. In the event of a conflict between this Privacy Policy and the Verizon Privacy Policy, the AOL Privacy Policy will control when you are on an AOL site or using and AOL product or service.","{""Other Type"": {""endIndexInSegment"": 313, ""startIndexInSegment"": 0, ""selectedText"": ""AOL is now part of the Verizon family of companies. Additional privacy practices are described in the Verizon Privacy Policy. In the event of a conflict between this Privacy Policy and the Verizon Privacy Policy, the AOL Privacy Policy will control when you are on an AOL site or using and AOL product or service."", ""value"": ""Practice not covered""}}",0,313
3,C213,3829,2,Introductory/Generic,9,"At AOL, it's our mission to provide users with rich, interactive online experiences. From Pulitzer-Prize winning journalism on the Huffington Post, to the latest technology news on TechCrunch, to up-to-the-minute traffic information on MapQuest, our websites, apps, and other services and software are designed to keep you informed, entertained and delighted. We also operate some of the industry's best-known advertising services, including Adap.tv and Advertising.com.","{""Other Type"": {""endIndexInSegment"": 470, ""startIndexInSegment"": 0, ""selectedText"": ""At AOL, it's our mission to provide users with rich, interactive online experiences. From Pulitzer-Prize winning journalism on the Huffington Post, to the latest technology news on TechCrunch, to up-to-the-minute traffic information on MapQuest, our websites, apps, and other services and software are designed to keep you informed, entertained and delighted. We also operate some of the industry's best-known advertising services, including Adap.tv and Advertising.com."", ""value"": ""Introductory/Generic""}}",0,470
4,C214,3829,3,First Party Collection/Use,0,collect and receive,"{""Collection Mode"": {""endIndexInSegment"": 132, ""startIndexInSegment"": 113, ""selectedText"": ""collect and receive"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 132, ""startIndexInSegment"": 113, ""selectedText"": ""collect and receive"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 109, ""startIndexInSegment"": 98, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 132, ""startIndexInSegment"": 110, ""selectedText"": ""we collect and receive"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": 144, ""startIndexInSegment"": 139, ""selectedText"": ""users"", ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 97, ""startIndexInSegment"": 88, ""selectedText"": ""analyzing"", ""value"": ""Analytics/Research""}}",113,132
5,C214,3829,3,First Party Collection/Use,0,collect and receive,"{""Collection Mode"": {""endIndexInSegment"": 132, ""startIndexInSegment"": 113, ""selectedText"": ""collect and receive"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 132, ""startIndexInSegment"": 113, ""selectedText"": ""collect and receive"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 109, ""startIndexInSegment"": 98, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 132, ""startIndexInSegment"": 110, ""selectedText"": ""we collect and receive"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": 144, ""startIndexInSegment"": 139, ""selectedText"": ""users"", ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 97, ""startIndexInSegment"": 88, ""selectedText"": ""analyzing"", ""value"": ""Analytics/Research""}}",113,132
6,C214,3829,3,First Party Collection/Use,0,we collect and receive,"{""Collection Mode"": {""endIndexInSegment"": 132, ""startIndexInSegment"": 113, ""selectedText"": ""collect and receive"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 132, ""startIndexInSegment"": 113, ""selectedText"": ""collect and receive"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 109, ""startIndexInSegment"": 98, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 132, ""startIndexInSegment"": 110, ""selectedText"": ""we collect and receive"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": 144, ""startIndexInSegment"": 139, ""selectedText"": ""users"", ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 97, ""startIndexInSegment"": 88, ""selectedText"": ""analyzing"", ""value"": ""Analytics/Research""}}",110,132
7,C215,3829,3,First Party Collection/Use,0,and receive,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 132, ""startIndexInSegment"": 121, ""selectedText"": ""and receive"", ""value"": ""Receive from other service/third-party (unnamed)""}, ""Personal Information Type"": {""endIndexInSegment"": 109, ""startIndexInSegment"": 98, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 81, ""startIndexInSegment"": 55, ""selectedText"": ""One of the ways we do that"", ""value"": ""Analytics/Research""}}",121,132
8,13491,3829,3,First Party Collection/Use,0,we collect,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 120, ""startIndexInSegment"": 110, ""selectedText"": ""we collect"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 109, ""startIndexInSegment"": 98, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 81, ""startIndexInSegment"": 55, ""selectedText"": ""One of the ways we do that"", ""value"": ""Analytics/Research""}}",110,120
9,13493,3829,3,First Party Collection/Use,0,provide more effective advertising,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 284, ""startIndexInSegment"": 250, ""selectedText"": ""provide more effective advertising"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 206, ""startIndexInSegment"": 202, ""selectedText"": ""This"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 285, ""startIndexInSegment"": 250, ""selectedText"": ""provide more effective advertising,"", ""value"": ""Advertising""}}",250,284
10,C216,3829,4,Introductory/Generic,9,"This Privacy Policy describes how we handle the information we collect and receive about users. There are three things you should keep in mind as you read it: First, the Privacy Policy applies to AOL services that link to or refer to this Privacy Policy. These services include websites, mobile apps, other online services and anything else that links to or refers to this policy. To keep things simple, we refer to all these services as our ""Services."" Second, the Privacy Policy applies no matter what computer or device you use to access our Services. Third, we may provide additional information about the privacy practices of some of our Services. Although this Privacy Policy applies to all AOL services that refer or link to it, you should read the additional information, too. Some of this information is linked from various places in the Privacy Policy, and some is available through the individual Services that you use. We've done our best to keep this Privacy Policy short and simple, but if you have any questions about it, we hope you'll let us know.","{""Other Type"": {""endIndexInSegment"": 1128, ""startIndexInSegment"": 0, ""selectedText"": ""This Privacy Policy describes how we handle the information we collect and receive about users. There are three things you should keep in mind as you read it: First, the Privacy Policy applies to AOL services that link to or refer to this Privacy Policy. These services include websites, mobile apps, other online services and anything else that links to or refers to this policy. To keep things simple, we refer to all these services as our \""Services.\"" Second, the Privacy Policy applies no matter what computer or device you use to access our Services. Third, we may provide additional information about the privacy practices of some of our Services. Although this Privacy Policy applies to all AOL services that refer or link to it, you should read the additional information, too. Some of this information is linked from various places in the Privacy Policy, and some is available through the individual Services that you use. We've done our best to keep this Privacy Policy short and simple, but if you have any questions about it, we hope you'll let us know."", ""value"": ""Introductory/Generic""}}",0,1128
11,C217,3829,5,Introductory/Generic,9,Information We Collect and Receive We collect and receive information about users in a few different ways:,"{""Other Type"": {""endIndexInSegment"": 116, ""startIndexInSegment"": 0, ""selectedText"": ""Information We Collect and Receive We collect and receive information about users in a few different ways:"", ""value"": ""Introductory/Generic""}}",0,116
12,13495,3829,5,First Party Collection/Use,0,We collect,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 55, ""startIndexInSegment"": 45, ""selectedText"": ""We collect"", ""value"": ""Other""}, ""Personal Information Type"": {""endIndexInSegment"": 79, ""startIndexInSegment"": 68, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": 91, ""startIndexInSegment"": 80, ""selectedText"": ""about users"", ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 116, ""startIndexInSegment"": 45, ""selectedText"": ""We collect and receive information about users in a few different ways:"", ""value"": ""Unspecified""}}",45,55
13,13496,3829,5,First Party Collection/Use,0,and receive,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 67, ""startIndexInSegment"": 56, ""selectedText"": ""and receive"", ""value"": ""Receive from other service/third-party (unnamed)""}, ""Personal Information Type"": {""endIndexInSegment"": 79, ""startIndexInSegment"": 68, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": 91, ""startIndexInSegment"": 80, ""selectedText"": ""about users"", ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 116, ""startIndexInSegment"": 45, ""selectedText"": ""We collect and receive information about users in a few different ways:"", ""value"": ""Unspecified""}}",56,67
14,13311,3829,6,First Party Collection/Use,0,You can give us information directly,"{""Collection Mode"": {""endIndexInSegment"": 62, ""startIndexInSegment"": 26, ""selectedText"": ""You can give us information directly"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 160, ""startIndexInSegment"": 106, ""selectedText"": ""sign up for an AOL account you may give us information"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 178, ""startIndexInSegment"": 174, ""selectedText"": ""name"", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",26,62
15,13311,3829,6,First Party Collection/Use,0,sign up for an AOL account you may give us information,"{""Collection Mode"": {""endIndexInSegment"": 62, ""startIndexInSegment"": 26, ""selectedText"": ""You can give us information directly"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 160, ""startIndexInSegment"": 106, ""selectedText"": ""sign up for an AOL account you may give us information"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 178, ""startIndexInSegment"": 174, ""selectedText"": ""name"", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",106,160
16,13312,3829,6,First Party Collection/Use,0,You can give us information directly,"{""Collection Mode"": {""endIndexInSegment"": 62, ""startIndexInSegment"": 26, ""selectedText"": ""You can give us information directly"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 160, ""startIndexInSegment"": 106, ""selectedText"": ""sign up for an AOL account you may give us information"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 188, ""startIndexInSegment"": 180, ""selectedText"": ""zip code"", ""value"": ""Location""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",26,62
17,13312,3829,6,First Party Collection/Use,0,sign up for an AOL account you may give us information,"{""Collection Mode"": {""endIndexInSegment"": 62, ""startIndexInSegment"": 26, ""selectedText"": ""You can give us information directly"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 160, ""startIndexInSegment"": 106, ""selectedText"": ""sign up for an AOL account you may give us information"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 188, ""startIndexInSegment"": 180, ""selectedText"": ""zip code"", ""value"": ""Location""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",106,160
18,13313,3829,6,First Party Collection/Use,0,You can give us information directly,"{""Collection Mode"": {""endIndexInSegment"": 62, ""startIndexInSegment"": 26, ""selectedText"": ""You can give us information directly"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 160, ""startIndexInSegment"": 106, ""selectedText"": ""sign up for an AOL account you may give us information"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 207, ""startIndexInSegment"": 194, ""selectedText"": ""date of birth"", ""value"": ""Demographic""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",26,62
