,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C1486,3819,0,Introductory/Generic,9,Amazon.com Privacy Notice,"{""Other Type"": {""endIndexInSegment"": 25, ""startIndexInSegment"": 0, ""selectedText"": ""Amazon.com Privacy Notice"", ""value"": ""Introductory/Generic""}}",0,25
1,C1487,3819,1,Policy Change,6,"Last updated: March 3, 2014. To see what has changed, click here.","{""Change Type"": {""endIndexInSegment"": 65, ""startIndexInSegment"": 0, ""selectedText"": ""Last updated: March 3, 2014. To see what has changed, click here."", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 65, ""startIndexInSegment"": 54, ""selectedText"": ""click here."", ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 65, ""startIndexInSegment"": 54, ""selectedText"": ""click here."", ""value"": ""General notice in privacy policy""}}",0,65
2,9608,3819,1,Policy Change,6,click here.,"{""Change Type"": {""endIndexInSegment"": 65, ""startIndexInSegment"": 54, ""selectedText"": ""click here."", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 65, ""startIndexInSegment"": 54, ""selectedText"": ""click here."", ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 65, ""startIndexInSegment"": 54, ""selectedText"": ""click here."", ""value"": ""General notice in privacy policy""}}",54,65
3,8993,3819,1,Policy Change,6,"To see what has changed, click here.","{""Change Type"": {""endIndexInSegment"": 65, ""startIndexInSegment"": 29, ""selectedText"": ""To see what has changed, click here."", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 65, ""startIndexInSegment"": 54, ""selectedText"": ""click here."", ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 12, ""startIndexInSegment"": 0, ""selectedText"": ""Last updated"", ""value"": ""General notice in privacy policy""}}",29,65
4,9046,3819,1,Introductory/Generic,9,"Last updated: March 3, 2014. To see what has changed, click here.","{""Other Type"": {""endIndexInSegment"": 65, ""startIndexInSegment"": 0, ""selectedText"": ""Last updated: March 3, 2014. To see what has changed, click here."", ""value"": ""Introductory/Generic""}}",0,65
5,C1488,3819,2,Introductory/Generic,9,This notice describes our privacy policy.,"{""Other Type"": {""endIndexInSegment"": 190, ""startIndexInSegment"": 149, ""selectedText"": ""This notice describes our privacy policy."", ""value"": ""Introductory/Generic""}}",149,190
6,9607,3819,2,User Choice/Control,2,"By visiting Amazon.com, you are accepting the practices described in this Privacy Notice.","{""Choice Type"": {""endIndexInSegment"": 280, ""startIndexInSegment"": 191, ""selectedText"": ""By visiting Amazon.com, you are accepting the practices described in this Privacy Notice."", ""value"": ""Dont use service/feature""}, ""Choice Scope"": {""endIndexInSegment"": 280, ""startIndexInSegment"": 191, ""selectedText"": ""By visiting Amazon.com, you are accepting the practices described in this Privacy Notice."", ""value"": ""Unspecified""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 280, ""startIndexInSegment"": 191, ""selectedText"": ""By visiting Amazon.com, you are accepting the practices described in this Privacy Notice."", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 280, ""startIndexInSegment"": 191, ""selectedText"": ""By visiting Amazon.com, you are accepting the practices described in this Privacy Notice."", ""value"": ""Unspecified""}}",191,280
7,9607,3819,2,User Choice/Control,2,"By visiting Amazon.com, you are accepting the practices described in this Privacy Notice.","{""Choice Type"": {""endIndexInSegment"": 280, ""startIndexInSegment"": 191, ""selectedText"": ""By visiting Amazon.com, you are accepting the practices described in this Privacy Notice."", ""value"": ""Dont use service/feature""}, ""Choice Scope"": {""endIndexInSegment"": 280, ""startIndexInSegment"": 191, ""selectedText"": ""By visiting Amazon.com, you are accepting the practices described in this Privacy Notice."", ""value"": ""Unspecified""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 280, ""startIndexInSegment"": 191, ""selectedText"": ""By visiting Amazon.com, you are accepting the practices described in this Privacy Notice."", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 280, ""startIndexInSegment"": 191, ""selectedText"": ""By visiting Amazon.com, you are accepting the practices described in this Privacy Notice."", ""value"": ""Unspecified""}}",191,280
8,8958,3819,2,First Party Collection/Use,0,he practices described,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 256, ""startIndexInSegment"": 234, ""selectedText"": ""he practices described"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 56, ""startIndexInSegment"": 35, ""selectedText"": ""information about you"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": 124, ""startIndexInSegment"": 111, ""selectedText"": ""we will do so"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 170, ""startIndexInSegment"": 161, ""selectedText"": ""describes"", ""value"": ""Unspecified""}}",234,256
9,8958,3819,2,First Party Collection/Use,0,we will do so,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 256, ""startIndexInSegment"": 234, ""selectedText"": ""he practices described"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 56, ""startIndexInSegment"": 35, ""selectedText"": ""information about you"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": 124, ""startIndexInSegment"": 111, ""selectedText"": ""we will do so"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 170, ""startIndexInSegment"": 161, ""selectedText"": ""describes"", ""value"": ""Unspecified""}}",111,124
