,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C815,3837,0,Introductory/Generic,9,High Gear Media Privacy Policy,"{""Other Type"": {""selectedText"": ""High Gear Media Privacy Policy"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 35, ""value"": ""Introductory/Generic""}}",0,35
1,C816,3837,1,Introductory/Generic,9,"Thank you for your interest in this websites services and privacy information. This privacy policy applies to the following websites owned and operated by High Gear Media Inc.: The Car Connection ( www.thecarconnection.com); Motor Authority ( www.motorauthority.com); and Green Car Reports ( www.greencarreports.com) (each a Site and together, the High Gear Media Sites). Because the High Gear Media Sites share a common platform and registration system, the information that you provide on one Site may be used when you visit one of the other Sites listed above.","{""Other Type"": {""selectedText"": ""Thank you for your interest in this websites services and privacy information. This privacy policy applies to the following websites owned and operated by High Gear Media Inc.: The Car Connection ( www.thecarconnection.com); Motor Authority ( www.motorauthority.com); and Green Car Reports ( www.greencarreports.com) (each a Site and together, the High Gear Media Sites). Because the High Gear Media Sites share a common platform and registration system, the information that you provide on one Site may be used when you visit one of the other Sites listed above."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 563, ""value"": ""Introductory/Generic""}}",0,563
2,C817,3837,2,Third Party Sharing/Collection,1,third-party sites and content partners.,"{""Third Party Entity"": {""selectedText"": ""third-party sites and content partners."", ""startIndexInSegment"": 245, ""endIndexInSegment"": 284, ""value"": ""Unnamed third party""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""publicly-posted content"", ""startIndexInSegment"": 193, ""endIndexInSegment"": 216, ""value"": ""User Profile""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""selectedText"": ""can be syndicated"", ""startIndexInSegment"": 224, ""endIndexInSegment"": 241, ""value"": ""Other""}}",245,284
3,C817,3837,2,Third Party Sharing/Collection,1,can be syndicated,"{""Third Party Entity"": {""selectedText"": ""third-party sites and content partners."", ""startIndexInSegment"": 245, ""endIndexInSegment"": 284, ""value"": ""Unnamed third party""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""publicly-posted content"", ""startIndexInSegment"": 193, ""endIndexInSegment"": 216, ""value"": ""User Profile""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""selectedText"": ""can be syndicated"", ""startIndexInSegment"": 224, ""endIndexInSegment"": 241, ""value"": ""Other""}}",224,241
4,C818,3837,2,Practice not covered,10,"This privacy policy does not apply to information that you choose to publicly post to or display on a Site. Please note that, as provided in our Terms of Service, you grant us a license to all publicly-posted content","{""Other Type"": {""selectedText"": ""This privacy policy does not apply to information that you choose to publicly post to or display on a Site. Please note that, as provided in our Terms of Service, you grant us a license to all publicly-posted content"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 216, ""value"": ""Practice not covered""}}",0,216
5,17227,3837,2,First Party Collection/Use,0,you choose to publicly post to or display on a Site,"{""Collection Mode"": {""selectedText"": ""you choose to publicly post to or display on a Site"", ""startIndexInSegment"": 55, ""endIndexInSegment"": 106, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""information that you choose to publicly post to or display on a Site."", ""startIndexInSegment"": 38, ""endIndexInSegment"": 107, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""to information that you choose to publicly post to or display on a Site"", ""startIndexInSegment"": 35, ""endIndexInSegment"": 106, ""value"": ""Other""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""does not apply to information that you choose to publicly post to or display on a Site."", ""startIndexInSegment"": 20, ""endIndexInSegment"": 107, ""value"": ""Does Not""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""This privacy policy does not apply to information that you choose to publicly post to or display on a Site."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 107, ""value"": ""Unspecified""}}",55,106
6,17227,3837,2,First Party Collection/Use,0,information that you choose to publicly post to or display on a Site.,"{""Collection Mode"": {""selectedText"": ""you choose to publicly post to or display on a Site"", ""startIndexInSegment"": 55, ""endIndexInSegment"": 106, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""information that you choose to publicly post to or display on a Site."", ""startIndexInSegment"": 38, ""endIndexInSegment"": 107, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""to information that you choose to publicly post to or display on a Site"", ""startIndexInSegment"": 35, ""endIndexInSegment"": 106, ""value"": ""Other""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""does not apply to information that you choose to publicly post to or display on a Site."", ""startIndexInSegment"": 20, ""endIndexInSegment"": 107, ""value"": ""Does Not""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""This privacy policy does not apply to information that you choose to publicly post to or display on a Site."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 107, ""value"": ""Unspecified""}}",38,107
7,17227,3837,2,First Party Collection/Use,0,does not apply to information that you choose to publicly post to or display on a Site.,"{""Collection Mode"": {""selectedText"": ""you choose to publicly post to or display on a Site"", ""startIndexInSegment"": 55, ""endIndexInSegment"": 106, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""information that you choose to publicly post to or display on a Site."", ""startIndexInSegment"": 38, ""endIndexInSegment"": 107, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""to information that you choose to publicly post to or display on a Site"", ""startIndexInSegment"": 35, ""endIndexInSegment"": 106, ""value"": ""Other""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""does not apply to information that you choose to publicly post to or display on a Site."", ""startIndexInSegment"": 20, ""endIndexInSegment"": 107, ""value"": ""Does Not""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""This privacy policy does not apply to information that you choose to publicly post to or display on a Site."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 107, ""value"": ""Unspecified""}}",20,107
8,C819,3837,3,First Party Collection/Use,0,we may ask you,"{""Collection Mode"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""selectedText"": ""we may ask you"", ""startIndexInSegment"": 425, ""endIndexInSegment"": 439, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""Contact information, such as a name, email address, postal address, phone number, facsimile number, and/or mobile number"", ""startIndexInSegment"": 497, ""endIndexInSegment"": 617, ""value"": ""Contact""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",425,439
9,C820,3837,3,First Party Collection/Use,0,we may ask you,"{""Collection Mode"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""selectedText"": ""we may ask you"", ""startIndexInSegment"": 425, ""endIndexInSegment"": 439, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""Other demographic information, such as gender, age, job information, zip code and/or professional interests;"", ""startIndexInSegment"": 653, ""endIndexInSegment"": 761, ""value"": ""Demographic""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",425,439
