,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C1221,3708,0,Data Security,5,"We value you, respect your privacy and work hard to protect your personal information.","{""Security Measure"": {""endIndexInSegment"": 223, ""startIndexInSegment"": 137, ""selectedText"": ""We value you, respect your privacy and work hard to protect your personal information."", ""value"": ""Generic""}}",137,223
1,7781,3708,0,Introductory/Generic,9,"Privacy Policy Statement Revised May 29, 2015 Thank you for choosing Allstate. We value you, respect your privacy and work hard to protect your personal information.","{""Other Type"": {""endIndexInSegment"": 223, ""startIndexInSegment"": 9, ""selectedText"": ""Privacy Policy Statement Revised May 29, 2015 Thank you for choosing Allstate. We value you, respect your privacy and work hard to protect your personal information."", ""value"": ""Introductory/Generic""}}",9,223
2,C1222,3708,1,Introductory/Generic,9,"This statement is provided on behalf of Allstate Insurance Company and the affiliates (""Allstate"") listed at the end of this notice. We would like to explain how we collect, use and share the information we obtain about you in the course of doing business.","{""Other Type"": {""endIndexInSegment"": 256, ""startIndexInSegment"": 0, ""selectedText"": ""This statement is provided on behalf of Allstate Insurance Company and the affiliates (\""Allstate\"") listed at the end of this notice. We would like to explain how we collect, use and share the information we obtain about you in the course of doing business."", ""value"": ""Introductory/Generic""}}",0,256
3,7783,3708,2,Introductory/Generic,9,The Truste certification covers: Allstate.com Miallstate.com M.allstate.com M.miallstate.com Goodhandsroadside.allstate.com Mobile application for Allstate Mobile application for Good Hands Roadside,"{""Other Type"": {""endIndexInSegment"": 340, ""startIndexInSegment"": 0, ""selectedText"": ""The Truste certification covers: Allstate.com Miallstate.com M.allstate.com M.miallstate.com Goodhandsroadside.allstate.com Mobile application for Allstate Mobile application for Good Hands Roadside"", ""value"": ""Introductory/Generic""}}",0,340
4,23776,3708,2,Introductory/Generic,9,The Truste certification covers:,"{""Other Type"": {""endIndexInSegment"": 32, ""startIndexInSegment"": 0, ""selectedText"": ""The Truste certification covers:"", ""value"": ""Introductory/Generic""}}",0,32
5,C1223,3708,3,Third Party Sharing/Collection,1,anyone,"{""Third Party Entity"": {""endIndexInSegment"": 122, ""startIndexInSegment"": 116, ""selectedText"": ""anyone"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 112, ""startIndexInSegment"": 93, ""selectedText"": ""medical information"", ""value"": ""Health""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 112, ""startIndexInSegment"": 81, ""selectedText"": ""personal or medical information"", ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 70, ""startIndexInSegment"": 64, ""selectedText"": ""do not"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 75, ""startIndexInSegment"": 71, ""selectedText"": ""sell"", ""value"": ""Other""}}",116,122
6,C1223,3708,3,Third Party Sharing/Collection,1,sell,"{""Third Party Entity"": {""endIndexInSegment"": 122, ""startIndexInSegment"": 116, ""selectedText"": ""anyone"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 112, ""startIndexInSegment"": 93, ""selectedText"": ""medical information"", ""value"": ""Health""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 112, ""startIndexInSegment"": 81, ""selectedText"": ""personal or medical information"", ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 70, ""startIndexInSegment"": 64, ""selectedText"": ""do not"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 75, ""startIndexInSegment"": 71, ""selectedText"": ""sell"", ""value"": ""Other""}}",71,75
7,C1223,3708,3,Third Party Sharing/Collection,1,do not,"{""Third Party Entity"": {""endIndexInSegment"": 122, ""startIndexInSegment"": 116, ""selectedText"": ""anyone"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 112, ""startIndexInSegment"": 93, ""selectedText"": ""medical information"", ""value"": ""Health""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 112, ""startIndexInSegment"": 81, ""selectedText"": ""personal or medical information"", ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 70, ""startIndexInSegment"": 64, ""selectedText"": ""do not"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 75, ""startIndexInSegment"": 71, ""selectedText"": ""sell"", ""value"": ""Other""}}",64,70
8,C1224,3708,3,Third Party Sharing/Collection,1,to anyone,"{""Third Party Entity"": {""endIndexInSegment"": 122, ""startIndexInSegment"": 113, ""selectedText"": ""to anyone"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 112, ""startIndexInSegment"": 81, ""selectedText"": ""personal or medical information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": 70, ""startIndexInSegment"": 61, ""selectedText"": ""We do not"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action Third Party"": {""endIndexInSegment"": 80, ""startIndexInSegment"": 71, ""selectedText"": ""sell your"", ""value"": ""Receive/Shared with""}}",113,122
9,C1224,3708,3,Third Party Sharing/Collection,1,sell your,"{""Third Party Entity"": {""endIndexInSegment"": 122, ""startIndexInSegment"": 113, ""selectedText"": ""to anyone"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 112, ""startIndexInSegment"": 81, ""selectedText"": ""personal or medical information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": 70, ""startIndexInSegment"": 61, ""selectedText"": ""We do not"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action Third Party"": {""endIndexInSegment"": 80, ""startIndexInSegment"": 71, ""selectedText"": ""sell your"", ""value"": ""Receive/Shared with""}}",71,80
