,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C1911,3709,0,Introductory/Generic,9,User Agreement and Privacy Policy,"{""Other Type"": {""selectedText"": ""User Agreement and Privacy Policy"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 38, ""value"": ""Introductory/Generic""}}",0,38
1,7903,3709,1,Introductory/Generic,9,"Last Revised: December 23, 2013 To jump to our Privacy Policy, click here To opt-out of Third Party Tracking Technologies, click here To opt-out of Third Party Sharing, click here If you have a complaint about another user, click here Kids and parents click here","{""Other Type"": {""endIndexInSegment"": 312, ""startIndexInSegment"": 0, ""selectedText"": ""Last Revised: December 23, 2013 To jump to our Privacy Policy, click here To opt-out of Third Party Tracking Technologies, click here To opt-out of Third Party Sharing, click here If you have a complaint about another user, click here Kids and parents click here"", ""value"": ""Introductory/Generic""}}",0,312
2,24000,3709,1,Other,0,"Last Revised: December 23, 2013","{""Other Type"": {""selectedText"": ""Last Revised: December 23, 2013"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 31, ""value"": ""Other""}}",0,31
3,24002,3709,1,Practice not covered,10,"If you have a complaint about another user, click here","{""Other Type"": {""selectedText"": ""If you have a complaint about another user, click here"", ""startIndexInSegment"": 215, ""endIndexInSegment"": 274, ""value"": ""Practice not covered""}}",215,274
4,24003,3709,1,User Choice/Control,2,"To opt-out of Third Party Sharing, click here","{""Choice Type"": {""selectedText"": ""To opt-out of Third Party Sharing, click here"", ""startIndexInSegment"": 164, ""endIndexInSegment"": 209, ""value"": ""Opt-out link""}, ""Choice Scope"": {""selectedText"": ""Third Party Sharing"", ""startIndexInSegment"": 178, ""endIndexInSegment"": 197, ""value"": ""Third party sharing/collection""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",164,209
5,24003,3709,1,User Choice/Control,2,Third Party Sharing,"{""Choice Type"": {""selectedText"": ""To opt-out of Third Party Sharing, click here"", ""startIndexInSegment"": 164, ""endIndexInSegment"": 209, ""value"": ""Opt-out link""}, ""Choice Scope"": {""selectedText"": ""Third Party Sharing"", ""startIndexInSegment"": 178, ""endIndexInSegment"": 197, ""value"": ""Third party sharing/collection""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",178,197
6,24004,3709,1,User Choice/Control,2,"To opt-out of Third Party Tracking Technologies, click here","{""Choice Type"": {""selectedText"": ""To opt-out of Third Party Tracking Technologies, click here"", ""startIndexInSegment"": 94, ""endIndexInSegment"": 153, ""value"": ""Opt-out link""}, ""Choice Scope"": {""selectedText"": ""Third Party Tracking Technologies"", ""startIndexInSegment"": 108, ""endIndexInSegment"": 141, ""value"": ""Third party sharing/collection""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",94,153
7,24004,3709,1,User Choice/Control,2,Third Party Tracking Technologies,"{""Choice Type"": {""selectedText"": ""To opt-out of Third Party Tracking Technologies, click here"", ""startIndexInSegment"": 94, ""endIndexInSegment"": 153, ""value"": ""Opt-out link""}, ""Choice Scope"": {""selectedText"": ""Third Party Tracking Technologies"", ""startIndexInSegment"": 108, ""endIndexInSegment"": 141, ""value"": ""Third party sharing/collection""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",108,141
8,C1912,3709,2,Introductory/Generic,9,PRIVACY POLICY 1. The Type of Information the Service Collects :,"{""Other Type"": {""selectedText"": ""PRIVACY POLICY 1. The Type of Information the Service Collects :"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 98, ""value"": ""Introductory/Generic""}}",0,98
9,C1913,3709,3,Introductory/Generic,9,"A. The following Privacy Policy summarizes the various ways we treat personally identifiable and other information about you and your computer, mobile or other device when you access, visit and/or use the Service. This Privacy Policy does not cover information collected elsewhere, including without limitation offline and on sites, applications, destinations, or services linked to from the Service.","{""Other Type"": {""selectedText"": ""A. The following Privacy Policy summarizes the various ways we treat personally identifiable and other information about you and your computer, mobile or other device when you access, visit and/or use the Service. This Privacy Policy does not cover information collected elsewhere, including without limitation offline and on sites, applications, destinations, or services linked to from the Service."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 405, ""value"": ""Introductory/Generic""}}",0,405
10,C1914,3709,4,First Party Collection/Use,0,with your specific knowledge and consent.,"{""Collection Mode"": {""endIndexInSegment"": 111, ""startIndexInSegment"": 70, ""selectedText"": ""with your specific knowledge and consent."", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 632, ""startIndexInSegment"": 572, ""selectedText"": ""your name, telephone number(s), email and/or street address,"", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": 679, ""startIndexInSegment"": 572, ""selectedText"": ""your name, telephone number(s), email and/or street address, and other personally identifiable information."", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",70,111
11,C1915,3709,4,First Party Collection/Use,0,with your specific knowledge and consent,"{""Collection Mode"": {""endIndexInSegment"": 110, ""startIndexInSegment"": 70, ""selectedText"": ""with your specific knowledge and consent"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": 33, ""startIndexInSegment"": 15, ""selectedText"": ""generally collects"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 559, ""startIndexInSegment"": 493, ""selectedText"": ""credit, debit, or charge card number, or other payment information"", ""value"": ""Financial""}, ""Choice Type"": {""endIndexInSegment"": 110, ""startIndexInSegment"": 70, ""selectedText"": ""with your specific knowledge and consent"", ""value"": ""Dont use service/feature""}, ""Identifiability"": {""endIndexInSegment"": 678, ""startIndexInSegment"": 572, ""selectedText"": ""your name, telephone number(s), email and/or street address, and other personally identifiable information"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 33, ""startIndexInSegment"": 15, ""selectedText"": ""generally collects"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 184, ""startIndexInSegment"": 126, ""selectedText"": ""when you enter a sweepstakes or contest, complete a survey"", ""value"": ""Additional service/feature""}}",70,110
12,C1915,3709,4,First Party Collection/Use,0,generally collects,"{""Collection Mode"": {""endIndexInSegment"": 110, ""startIndexInSegment"": 70, ""selectedText"": ""with your specific knowledge and consent"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": 33, ""startIndexInSegment"": 15, ""selectedText"": ""generally collects"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 559, ""startIndexInSegment"": 493, ""selectedText"": ""credit, debit, or charge card number, or other payment information"", ""value"": ""Financial""}, ""Choice Type"": {""endIndexInSegment"": 110, ""startIndexInSegment"": 70, ""selectedText"": ""with your specific knowledge and consent"", ""value"": ""Dont use service/feature""}, ""Identifiability"": {""endIndexInSegment"": 678, ""startIndexInSegment"": 572, ""selectedText"": ""your name, telephone number(s), email and/or street address, and other personally identifiable information"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 33, ""startIndexInSegment"": 15, ""selectedText"": ""generally collects"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 184, ""startIndexInSegment"": 126, ""selectedText"": ""when you enter a sweepstakes or contest, complete a survey"", ""value"": ""Additional service/feature""}}",15,33
13,7907,3709,4,First Party Collection/Use,0,with your specific knowledge and consent,"{""Collection Mode"": {""endIndexInSegment"": 110, ""startIndexInSegment"": 70, ""selectedText"": ""with your specific knowledge and consent"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": 33, ""startIndexInSegment"": 15, ""selectedText"": ""generally collects"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 559, ""startIndexInSegment"": 493, ""selectedText"": ""credit, debit, or charge card number, or other payment information"", ""value"": ""Financial""}, ""Choice Type"": {""endIndexInSegment"": 110, ""startIndexInSegment"": 70, ""selectedText"": ""with your specific knowledge and consent"", ""value"": ""Dont use service/feature""}, ""Identifiability"": {""endIndexInSegment"": 678, ""startIndexInSegment"": 572, ""selectedText"": ""your name, telephone number(s), email and/or street address, and other personally identifiable information"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 33, ""startIndexInSegment"": 15, ""selectedText"": ""generally collects"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 399, ""startIndexInSegment"": 186, ""selectedText"": ""make a purchase, subscribe to our publication(s), register for certain services, or register and/or set up an account/profile to access, visit and/or use certain portions of the Service, or the Service as a whole,"", ""value"": ""Basic service/feature""}}",70,110
