,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C2446,3715,0,Introductory/Generic,9,OpenSecrets.org Privacy Policy,"{""Other Type"": {""selectedText"": ""OpenSecrets.org Privacy Policy"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 30, ""value"": ""Introductory/Generic""}}",0,30
1,C2447,3715,1,Introductory/Generic,9,The Center for Responsive Politics (CRP) takes your privacy very seriously. CRP is the sole owner of the information collected from users on OpenSecrets.org.,"{""Other Type"": {""endIndexInSegment"": 157, ""startIndexInSegment"": 0, ""selectedText"": ""The Center for Responsive Politics (CRP) takes your privacy very seriously. CRP is the sole owner of the information collected from users on OpenSecrets.org."", ""value"": ""Introductory/Generic""}}",0,157
2,C2448,3715,2,Third Party Sharing/Collection,1,to any third parties .,"{""Third Party Entity"": {""selectedText"": ""to any third parties ."", ""startIndexInSegment"": 69, ""endIndexInSegment"": 91, ""value"": ""Unnamed third party""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""personally identifiable information"", ""startIndexInSegment"": 33, ""endIndexInSegment"": 68, ""value"": ""Generic personal information""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""identifiable"", ""startIndexInSegment"": 44, ""endIndexInSegment"": 56, ""value"": ""Identifiable""}, ""Does/Does Not"": {""selectedText"": ""CRP will not"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 12, ""value"": ""Does Not""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action Third Party"": {""selectedText"": ""rent or sell"", ""startIndexInSegment"": 20, ""endIndexInSegment"": 32, ""value"": ""Other""}}",69,91
3,C2448,3715,2,Third Party Sharing/Collection,1,rent or sell,"{""Third Party Entity"": {""selectedText"": ""to any third parties ."", ""startIndexInSegment"": 69, ""endIndexInSegment"": 91, ""value"": ""Unnamed third party""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""personally identifiable information"", ""startIndexInSegment"": 33, ""endIndexInSegment"": 68, ""value"": ""Generic personal information""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""identifiable"", ""startIndexInSegment"": 44, ""endIndexInSegment"": 56, ""value"": ""Identifiable""}, ""Does/Does Not"": {""selectedText"": ""CRP will not"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 12, ""value"": ""Does Not""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action Third Party"": {""selectedText"": ""rent or sell"", ""startIndexInSegment"": 20, ""endIndexInSegment"": 32, ""value"": ""Other""}}",20,32
4,C2448,3715,2,Third Party Sharing/Collection,1,CRP will not,"{""Third Party Entity"": {""selectedText"": ""to any third parties ."", ""startIndexInSegment"": 69, ""endIndexInSegment"": 91, ""value"": ""Unnamed third party""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""personally identifiable information"", ""startIndexInSegment"": 33, ""endIndexInSegment"": 68, ""value"": ""Generic personal information""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""identifiable"", ""startIndexInSegment"": 44, ""endIndexInSegment"": 56, ""value"": ""Identifiable""}, ""Does/Does Not"": {""selectedText"": ""CRP will not"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 12, ""value"": ""Does Not""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action Third Party"": {""selectedText"": ""rent or sell"", ""startIndexInSegment"": 20, ""endIndexInSegment"": 32, ""value"": ""Other""}}",0,12
5,C2449,3715,2,Third Party Sharing/Collection,1,to any third parties .,"{""Third Party Entity"": {""selectedText"": ""to any third parties ."", ""startIndexInSegment"": 69, ""endIndexInSegment"": 91, ""value"": ""Unnamed third party""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""personally identifiable information"", ""startIndexInSegment"": 33, ""endIndexInSegment"": 68, ""value"": ""Generic personal information""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""identifiable"", ""startIndexInSegment"": 44, ""endIndexInSegment"": 56, ""value"": ""Identifiable""}, ""Does/Does Not"": {""selectedText"": ""CRP will not"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 12, ""value"": ""Does Not""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action Third Party"": {""selectedText"": ""share,"", ""startIndexInSegment"": 13, ""endIndexInSegment"": 19, ""value"": ""Receive/Shared with""}}",69,91
6,C2449,3715,2,Third Party Sharing/Collection,1,"share,","{""Third Party Entity"": {""selectedText"": ""to any third parties ."", ""startIndexInSegment"": 69, ""endIndexInSegment"": 91, ""value"": ""Unnamed third party""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""personally identifiable information"", ""startIndexInSegment"": 33, ""endIndexInSegment"": 68, ""value"": ""Generic personal information""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""identifiable"", ""startIndexInSegment"": 44, ""endIndexInSegment"": 56, ""value"": ""Identifiable""}, ""Does/Does Not"": {""selectedText"": ""CRP will not"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 12, ""value"": ""Does Not""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action Third Party"": {""selectedText"": ""share,"", ""startIndexInSegment"": 13, ""endIndexInSegment"": 19, ""value"": ""Receive/Shared with""}}",13,19
7,C2449,3715,2,Third Party Sharing/Collection,1,CRP will not,"{""Third Party Entity"": {""selectedText"": ""to any third parties ."", ""startIndexInSegment"": 69, ""endIndexInSegment"": 91, ""value"": ""Unnamed third party""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""personally identifiable information"", ""startIndexInSegment"": 33, ""endIndexInSegment"": 68, ""value"": ""Generic personal information""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""identifiable"", ""startIndexInSegment"": 44, ""endIndexInSegment"": 56, ""value"": ""Identifiable""}, ""Does/Does Not"": {""selectedText"": ""CRP will not"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 12, ""value"": ""Does Not""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action Third Party"": {""selectedText"": ""share,"", ""startIndexInSegment"": 13, ""endIndexInSegment"": 19, ""value"": ""Receive/Shared with""}}",0,12
8,C2450,3715,2,User Choice/Control,2,opt-in.,"{""Choice Type"": {""endIndexInSegment"": 171, ""startIndexInSegment"": 164, ""selectedText"": ""opt-in."", ""value"": ""Opt-in""}, ""Choice Scope"": {""endIndexInSegment"": 171, ""startIndexInSegment"": 92, ""selectedText"": ""You will never be sent marketing materials by CRP unless you explicitly opt-in."", ""value"": ""First party use""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 134, ""startIndexInSegment"": 110, ""selectedText"": ""sent marketing materials"", ""value"": ""Marketing""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",164,171
9,C2450,3715,2,User Choice/Control,2,You will never be sent marketing materials by CRP unless you explicitly opt-in.,"{""Choice Type"": {""endIndexInSegment"": 171, ""startIndexInSegment"": 164, ""selectedText"": ""opt-in."", ""value"": ""Opt-in""}, ""Choice Scope"": {""endIndexInSegment"": 171, ""startIndexInSegment"": 92, ""selectedText"": ""You will never be sent marketing materials by CRP unless you explicitly opt-in."", ""value"": ""First party use""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 134, ""startIndexInSegment"": 110, ""selectedText"": ""sent marketing materials"", ""value"": ""Marketing""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",92,171
