,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C2795,3822,0,Introductory/Generic,9,Privacy Statement,"{""Other Type"": {""endIndexInSegment"": 17, ""startIndexInSegment"": 0, ""selectedText"": ""Privacy Statement"", ""value"": ""Introductory/Generic""}}",0,17
1,C2796,3822,1,Policy Change,6,we make material changes,"{""Change Type"": {""endIndexInSegment"": 493, ""startIndexInSegment"": 469, ""selectedText"": ""we make material changes"", ""value"": ""Privacy relevant change""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 535, ""startIndexInSegment"": 514, ""selectedText"": ""we will announce them"", ""value"": ""Other""}}",469,493
2,C2797,3822,1,Policy Change,6,we make material changes,"{""Change Type"": {""endIndexInSegment"": 493, ""startIndexInSegment"": 469, ""selectedText"": ""we make material changes"", ""value"": ""Privacy relevant change""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 560, ""startIndexInSegment"": 540, ""selectedText"": ""notify you via email"", ""value"": ""Personal notice""}}",469,493
3,10123,3822,1,Introductory/Generic,9,"The Motley Fool, LLC (""The Motley Fool"" or ""we"" or ""us"") is committed to protecting and respecting your privacy. This Privacy Statement sets out our privacy practices and explains what we do with the personal information that we collect from you on www.fool.com. Please read the following to understand our practices regarding personal information and how they affect you as you use our features and services. This statement discloses our current privacy practices;","{""Other Type"": {""endIndexInSegment"": 465, ""startIndexInSegment"": 0, ""selectedText"": ""The Motley Fool, LLC (\""The Motley Fool\"" or \""we\"" or \""us\"") is committed to protecting and respecting your privacy. This Privacy Statement sets out our privacy practices and explains what we do with the personal information that we collect from you on www.fool.com. Please read the following to understand our practices regarding personal information and how they affect you as you use our features and services. This statement discloses our current privacy practices;"", ""value"": ""Introductory/Generic""}}",0,465
4,10788,3822,1,Data Security,5,"The Motley Fool, LLC (""The Motley Fool"" or ""we"" or ""us"") is committed to protecting and respecting your privacy.","{""Security Measure"": {""endIndexInSegment"": 112, ""startIndexInSegment"": 0, ""selectedText"": ""The Motley Fool, LLC (\""The Motley Fool\"" or \""we\"" or \""us\"") is committed to protecting and respecting your privacy."", ""value"": ""Generic""}}",0,112
5,10789,3822,1,Introductory/Generic,9,his Privacy Statement sets out our privacy practices and explains what we do with the personal information that we collect from you on www.fool.com.,"{""Other Type"": {""endIndexInSegment"": 262, ""startIndexInSegment"": 114, ""selectedText"": ""his Privacy Statement sets out our privacy practices and explains what we do with the personal information that we collect from you on www.fool.com."", ""value"": ""Introductory/Generic""}}",114,262
6,12142,3822,1,Policy Change,6,if we make material changes to these practices,"{""Change Type"": {""endIndexInSegment"": 512, ""startIndexInSegment"": 466, ""selectedText"": ""if we make material changes to these practices"", ""value"": ""Privacy relevant change""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 560, ""startIndexInSegment"": 514, ""selectedText"": ""we will announce them and notify you via email"", ""value"": ""Personal notice""}}",466,512
7,C2798,3822,2,Introductory/Generic,9,This Privacy Statement answers the following questions: What information does The Motley Fool gather about you- How does The Motley Fool use your personal information- Will The Motley Fool disclose any of your personal information- What kind of security measures do we take to protect your information from accidental loss or disclosure- Will The Motley Fool use your information for direct mailings- How can you deactivate your account or correct or revise information that we have about you- How do we respect children's privacy- What else should you know about your privacy- Does the Motley Fool participate in the Safe Harbor program-,"{""Other Type"": {""endIndexInSegment"": 834, ""startIndexInSegment"": 0, ""selectedText"": ""This Privacy Statement answers the following questions: What information does The Motley Fool gather about you- How does The Motley Fool use your personal information- Will The Motley Fool disclose any of your personal information- What kind of security measures do we take to protect your information from accidental loss or disclosure- Will The Motley Fool use your information for direct mailings- How can you deactivate your account or correct or revise information that we have about you- How do we respect children's privacy- What else should you know about your privacy- Does the Motley Fool participate in the Safe Harbor program-"", ""value"": ""Introductory/Generic""}}",0,834
8,10792,3822,2,First Party Collection/Use,0,does The Motley Fool gather about you,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 130, ""startIndexInSegment"": 93, ""selectedText"": ""does The Motley Fool gather about you"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 92, ""startIndexInSegment"": 81, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 208, ""startIndexInSegment"": 154, ""selectedText"": ""How does The Motley Fool use your personal information"", ""value"": ""Unspecified""}}",93,130
9,10793,3822,2,Third Party Sharing/Collection,1,disclose,"{""Third Party Entity"": {""endIndexInSegment"": 261, ""startIndexInSegment"": 253, ""selectedText"": ""disclose"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 295, ""startIndexInSegment"": 232, ""selectedText"": ""Will The Motley Fool disclose any of your personal information-"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 294, ""startIndexInSegment"": 269, ""selectedText"": ""your personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action Third Party"": {""endIndexInSegment"": 261, ""startIndexInSegment"": 232, ""selectedText"": ""Will The Motley Fool disclose"", ""value"": ""Receive/Shared with""}}",253,261
