,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C2853,3740,0,Introductory/Generic,9,Zacks Investment Research Privacy Policy,"{""Other Type"": {""selectedText"": ""Zacks Investment Research Privacy Policy"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 59, ""value"": ""Introductory/Generic""}}",0,59
1,C2854,3740,1,First Party Collection/Use,0,The information you may choose to provide,"{""Collection Mode"": {""endIndexInSegment"": 290, ""startIndexInSegment"": 249, ""selectedText"": ""The information you may choose to provide"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 383, ""startIndexInSegment"": 329, ""selectedText"": ""email address, name, postal address, and phone number."", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": 595, ""startIndexInSegment"": 383, ""selectedText"": ""In fact, we only disclose the information you provide us or send you information if you authorize us to do so by choosing to receive e-mail services on our Zacks.com Web site or opting into third party mailings."", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",249,290
2,C2855,3740,1,Introductory/Generic,9,"Since our inception in 1978, we have sought to have long-term relationships with our customers. Thus, we do not wish to profit from the unwanted distribution of your private information or to inundate you with unnecessary e-mails or other material.","{""Other Type"": {""selectedText"": ""Since our inception in 1978, we have sought to have long-term relationships with our customers. Thus, we do not wish to profit from the unwanted distribution of your private information or to inundate you with unnecessary e-mails or other material."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 248, ""value"": ""Introductory/Generic""}}",0,248
3,13760,3740,1,Third Party Sharing/Collection,1,third party,"{""Third Party Entity"": {""endIndexInSegment"": 585, ""startIndexInSegment"": 574, ""selectedText"": ""third party"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": 595, ""startIndexInSegment"": 401, ""selectedText"": ""disclose the information you provide us or send you information if you authorize us to do so by choosing to receive e-mail services on our Zacks.com Web site or opting into third party mailings."", ""value"": ""Both""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 383, ""startIndexInSegment"": 329, ""selectedText"": ""email address, name, postal address, and phone number."", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": 595, ""startIndexInSegment"": 465, ""selectedText"": ""if you authorize us to do so by choosing to receive e-mail services on our Zacks.com Web site or opting into third party mailings."", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action Third Party"": {""endIndexInSegment"": 493, ""startIndexInSegment"": 393, ""selectedText"": ""we only disclose the information you provide us or send you information if you authorize us to do so"", ""value"": ""Receive/Shared with""}}",574,585
4,13760,3740,1,Third Party Sharing/Collection,1,we only disclose the information you provide us or send you information if you authorize us to do so,"{""Third Party Entity"": {""endIndexInSegment"": 585, ""startIndexInSegment"": 574, ""selectedText"": ""third party"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": 595, ""startIndexInSegment"": 401, ""selectedText"": ""disclose the information you provide us or send you information if you authorize us to do so by choosing to receive e-mail services on our Zacks.com Web site or opting into third party mailings."", ""value"": ""Both""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 383, ""startIndexInSegment"": 329, ""selectedText"": ""email address, name, postal address, and phone number."", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": 595, ""startIndexInSegment"": 465, ""selectedText"": ""if you authorize us to do so by choosing to receive e-mail services on our Zacks.com Web site or opting into third party mailings."", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action Third Party"": {""endIndexInSegment"": 493, ""startIndexInSegment"": 393, ""selectedText"": ""we only disclose the information you provide us or send you information if you authorize us to do so"", ""value"": ""Receive/Shared with""}}",393,493
5,15319,3740,1,Third Party Sharing/Collection,1,third party,"{""Third Party Entity"": {""endIndexInSegment"": 585, ""startIndexInSegment"": 574, ""selectedText"": ""third party"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": 409, ""startIndexInSegment"": 401, ""selectedText"": ""disclose"", ""value"": ""Use""}, ""Purpose"": {""endIndexInSegment"": 594, ""startIndexInSegment"": 562, ""selectedText"": ""opting into third party mailings"", ""value"": ""Marketing""}, ""Personal Information Type"": {""endIndexInSegment"": 440, ""startIndexInSegment"": 414, ""selectedText"": ""information you provide us"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": 493, ""startIndexInSegment"": 465, ""selectedText"": ""if you authorize us to do so"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": 440, ""startIndexInSegment"": 410, ""selectedText"": ""the information you provide us"", ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 409, ""startIndexInSegment"": 384, ""selectedText"": ""In fact, we only disclose"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 409, ""startIndexInSegment"": 401, ""selectedText"": ""disclose"", ""value"": ""Receive/Shared with""}}",574,585
6,15319,3740,1,Third Party Sharing/Collection,1,disclose,"{""Third Party Entity"": {""endIndexInSegment"": 585, ""startIndexInSegment"": 574, ""selectedText"": ""third party"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": 409, ""startIndexInSegment"": 401, ""selectedText"": ""disclose"", ""value"": ""Use""}, ""Purpose"": {""endIndexInSegment"": 594, ""startIndexInSegment"": 562, ""selectedText"": ""opting into third party mailings"", ""value"": ""Marketing""}, ""Personal Information Type"": {""endIndexInSegment"": 440, ""startIndexInSegment"": 414, ""selectedText"": ""information you provide us"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": 493, ""startIndexInSegment"": 465, ""selectedText"": ""if you authorize us to do so"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": 440, ""startIndexInSegment"": 410, ""selectedText"": ""the information you provide us"", ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 409, ""startIndexInSegment"": 384, ""selectedText"": ""In fact, we only disclose"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 409, ""startIndexInSegment"": 401, ""selectedText"": ""disclose"", ""value"": ""Receive/Shared with""}}",401,409
7,15319,3740,1,Third Party Sharing/Collection,1,"In fact, we only disclose","{""Third Party Entity"": {""endIndexInSegment"": 585, ""startIndexInSegment"": 574, ""selectedText"": ""third party"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": 409, ""startIndexInSegment"": 401, ""selectedText"": ""disclose"", ""value"": ""Use""}, ""Purpose"": {""endIndexInSegment"": 594, ""startIndexInSegment"": 562, ""selectedText"": ""opting into third party mailings"", ""value"": ""Marketing""}, ""Personal Information Type"": {""endIndexInSegment"": 440, ""startIndexInSegment"": 414, ""selectedText"": ""information you provide us"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": 493, ""startIndexInSegment"": 465, ""selectedText"": ""if you authorize us to do so"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": 440, ""startIndexInSegment"": 410, ""selectedText"": ""the information you provide us"", ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 409, ""startIndexInSegment"": 384, ""selectedText"": ""In fact, we only disclose"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 409, ""startIndexInSegment"": 401, ""selectedText"": ""disclose"", ""value"": ""Receive/Shared with""}}",384,409
8,24624,3740,1,First Party Collection/Use,0,you provide us or send you information if you authorize us to do so,"{""Collection Mode"": {""selectedText"": ""you provide us or send you information if you authorize us to do so"", ""startIndexInSegment"": 426, ""endIndexInSegment"": 493, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""The information you may choose to provide includes any or all of the following: email address, name, postal address, and phone number. In fact, we only disclose the information you provide us or send you information if you authorize us to do so by choosing to receive e-mail services on our Zacks.com Web site or opting into third party mailings."", ""startIndexInSegment"": 249, ""endIndexInSegment"": 595, ""value"": ""Both""}, ""Action First-Party"": {""selectedText"": ""on our Zacks.com Web site"", ""startIndexInSegment"": 533, ""endIndexInSegment"": 558, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""email address, name, postal address, and phone number."", ""startIndexInSegment"": 329, ""endIndexInSegment"": 383, ""value"": ""Contact""}, ""Choice Type"": {""selectedText"": ""The information you may choose to provide includes any or all of the following: email address, name, postal address, and phone number. In fact, we only disclose the information you provide us or send you information if you authorize us to do so by choosing to receive e-mail services on our Zacks.com Web site or opting into third party mailings."", ""startIndexInSegment"": 249, ""endIndexInSegment"": 595, ""value"": ""Opt-in""}, ""Identifiability"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""With your approval, we use the information you provide us in the following ways:"", ""startIndexInSegment"": 596, ""endIndexInSegment"": 676, ""value"": ""Unspecified""}}",426,493
9,24624,3740,1,First Party Collection/Use,0,on our Zacks.com Web site,"{""Collection Mode"": {""selectedText"": ""you provide us or send you information if you authorize us to do so"", ""startIndexInSegment"": 426, ""endIndexInSegment"": 493, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""The information you may choose to provide includes any or all of the following: email address, name, postal address, and phone number. In fact, we only disclose the information you provide us or send you information if you authorize us to do so by choosing to receive e-mail services on our Zacks.com Web site or opting into third party mailings."", ""startIndexInSegment"": 249, ""endIndexInSegment"": 595, ""value"": ""Both""}, ""Action First-Party"": {""selectedText"": ""on our Zacks.com Web site"", ""startIndexInSegment"": 533, ""endIndexInSegment"": 558, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""email address, name, postal address, and phone number."", ""startIndexInSegment"": 329, ""endIndexInSegment"": 383, ""value"": ""Contact""}, ""Choice Type"": {""selectedText"": ""The information you may choose to provide includes any or all of the following: email address, name, postal address, and phone number. In fact, we only disclose the information you provide us or send you information if you authorize us to do so by choosing to receive e-mail services on our Zacks.com Web site or opting into third party mailings."", ""startIndexInSegment"": 249, ""endIndexInSegment"": 595, ""value"": ""Opt-in""}, ""Identifiability"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""With your approval, we use the information you provide us in the following ways:"", ""startIndexInSegment"": 596, ""endIndexInSegment"": 676, ""value"": ""Unspecified""}}",533,558
