,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C2869,3787,0,First Party Collection/Use,0,automatically,"{""Collection Mode"": {""endIndexInSegment"": 114, ""startIndexInSegment"": 101, ""selectedText"": ""automatically"", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 122, ""startIndexInSegment"": 115, ""selectedText"": ""collect"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 143, ""startIndexInSegment"": 123, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": 100, ""startIndexInSegment"": 92, ""selectedText"": ""does not"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 195, ""startIndexInSegment"": 44, ""selectedText"": ""Your privacy is important to us. Public Citizen does not automatically collect personal information from people who visit or interact with our website."", ""value"": ""Unspecified""}}",101,114
1,C2869,3787,0,First Party Collection/Use,0,collect,"{""Collection Mode"": {""endIndexInSegment"": 114, ""startIndexInSegment"": 101, ""selectedText"": ""automatically"", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 122, ""startIndexInSegment"": 115, ""selectedText"": ""collect"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 143, ""startIndexInSegment"": 123, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": 100, ""startIndexInSegment"": 92, ""selectedText"": ""does not"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 195, ""startIndexInSegment"": 44, ""selectedText"": ""Your privacy is important to us. Public Citizen does not automatically collect personal information from people who visit or interact with our website."", ""value"": ""Unspecified""}}",115,122
2,C2869,3787,0,First Party Collection/Use,0,does not,"{""Collection Mode"": {""endIndexInSegment"": 114, ""startIndexInSegment"": 101, ""selectedText"": ""automatically"", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 122, ""startIndexInSegment"": 115, ""selectedText"": ""collect"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 143, ""startIndexInSegment"": 123, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": 100, ""startIndexInSegment"": 92, ""selectedText"": ""does not"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 195, ""startIndexInSegment"": 44, ""selectedText"": ""Your privacy is important to us. Public Citizen does not automatically collect personal information from people who visit or interact with our website."", ""value"": ""Unspecified""}}",92,100
3,11129,3787,0,Data Security,5,Your privacy is important to us.,"{""Security Measure"": {""endIndexInSegment"": 76, ""startIndexInSegment"": 44, ""selectedText"": ""Your privacy is important to us."", ""value"": ""Generic""}}",44,76
4,11131,3787,0,Introductory/Generic,9,This privacy policy applies to the www.citizen.org website.,"{""Other Type"": {""endIndexInSegment"": 255, ""startIndexInSegment"": 196, ""selectedText"": ""This privacy policy applies to the www.citizen.org website."", ""value"": ""Introductory/Generic""}}",196,255
5,9164,3787,0,First Party Collection/Use,0,automatically collect,"{""Collection Mode"": {""endIndexInSegment"": 122, ""startIndexInSegment"": 101, ""selectedText"": ""automatically collect"", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 194, ""startIndexInSegment"": 144, ""selectedText"": ""from people who visit or interact with our website"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 143, ""startIndexInSegment"": 123, ""selectedText"": ""personal information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 143, ""startIndexInSegment"": 123, ""selectedText"": ""personal information"", ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 100, ""startIndexInSegment"": 92, ""selectedText"": ""does not"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": 194, ""startIndexInSegment"": 144, ""selectedText"": ""from people who visit or interact with our website"", ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",101,122
6,9164,3787,0,First Party Collection/Use,0,from people who visit or interact with our website,"{""Collection Mode"": {""endIndexInSegment"": 122, ""startIndexInSegment"": 101, ""selectedText"": ""automatically collect"", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 194, ""startIndexInSegment"": 144, ""selectedText"": ""from people who visit or interact with our website"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 143, ""startIndexInSegment"": 123, ""selectedText"": ""personal information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 143, ""startIndexInSegment"": 123, ""selectedText"": ""personal information"", ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 100, ""startIndexInSegment"": 92, ""selectedText"": ""does not"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": 194, ""startIndexInSegment"": 144, ""selectedText"": ""from people who visit or interact with our website"", ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",144,194
7,9164,3787,0,First Party Collection/Use,0,does not,"{""Collection Mode"": {""endIndexInSegment"": 122, ""startIndexInSegment"": 101, ""selectedText"": ""automatically collect"", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 194, ""startIndexInSegment"": 144, ""selectedText"": ""from people who visit or interact with our website"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 143, ""startIndexInSegment"": 123, ""selectedText"": ""personal information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 143, ""startIndexInSegment"": 123, ""selectedText"": ""personal information"", ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 100, ""startIndexInSegment"": 92, ""selectedText"": ""does not"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": 194, ""startIndexInSegment"": 144, ""selectedText"": ""from people who visit or interact with our website"", ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",92,100
8,C2870,3787,1,First Party Collection/Use,0,If you provide,"{""Collection Mode"": {""endIndexInSegment"": 14, ""startIndexInSegment"": 0, ""selectedText"": ""If you provide"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": 148, ""startIndexInSegment"": 126, ""selectedText"": ""store that information"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": 117, ""startIndexInSegment"": 92, ""selectedText"": ""via a form on the website"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 91, ""startIndexInSegment"": 74, ""selectedText"": ""other information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": 14, ""startIndexInSegment"": 0, ""selectedText"": ""If you provide"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": 164, ""startIndexInSegment"": 153, ""selectedText"": ""contact you"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 179, ""startIndexInSegment"": 153, ""selectedText"": ""contact you about our work"", ""value"": ""Marketing""}}",0,14
9,C2870,3787,1,First Party Collection/Use,0,via a form on the website,"{""Collection Mode"": {""endIndexInSegment"": 14, ""startIndexInSegment"": 0, ""selectedText"": ""If you provide"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": 148, ""startIndexInSegment"": 126, ""selectedText"": ""store that information"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": 117, ""startIndexInSegment"": 92, ""selectedText"": ""via a form on the website"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 91, ""startIndexInSegment"": 74, ""selectedText"": ""other information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": 14, ""startIndexInSegment"": 0, ""selectedText"": ""If you provide"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": 164, ""startIndexInSegment"": 153, ""selectedText"": ""contact you"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 179, ""startIndexInSegment"": 153, ""selectedText"": ""contact you about our work"", ""value"": ""Marketing""}}",92,117
