,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C2966,3844,0,Introductory/Generic,9,Bank of America U.S. Online Privacy Notice,"{""Other Type"": {""selectedText"": ""Bank of America U.S. Online Privacy Notice"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 42, ""value"": ""Introductory/Generic""}}",0,42
1,C2967,3844,1,Other,0,"Last updated July 24, 2014","{""Other Type"": {""selectedText"": ""Last updated July 24, 2014"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 26, ""value"": ""Other""}}",0,26
2,C2968,3844,2,Introductory/Generic,9,"This U.S. Online Privacy Notice (Notice) applies to this Bank of America online interface (i.e., website or mobile application) and any Bank of America U.S. affiliate or subsidiary online interface that links to this Notice, (each, a Site, and, collectively, Sites). The term ""Bank of America"" or ""we"" or ""us"" or ""our"" in this Notice refers to banking and non-banking U.S. affiliates or subsidiaries of Bank of America Corporation that link to this Notice. This Notice describes how Sites may collect, use and share information from or about you, and explains how information may be collected and used for advertising purposes.","{""Other Type"": {""selectedText"": ""This U.S. Online Privacy Notice (Notice) applies to this Bank of America online interface (i.e., website or mobile application) and any Bank of America U.S. affiliate or subsidiary online interface that links to this Notice, (each, a Site, and, collectively, Sites). The term \""Bank of America\"" or \""we\"" or \""us\"" or \""our\"" in this Notice refers to banking and non-banking U.S. affiliates or subsidiaries of Bank of America Corporation that link to this Notice. This Notice describes how Sites may collect, use and share information from or about you, and explains how information may be collected and used for advertising purposes."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 627, ""value"": ""Introductory/Generic""}}",0,627
3,C2969,3844,3,Other,0,"Bank of America provides other online interfaces not covered by this Notice. If you visit or access your accounts from one of these sites, please review the online privacy practices of that site to understand how your online information may be collected, used and shared.","{""Other Type"": {""selectedText"": ""Bank of America provides other online interfaces not covered by this Notice. If you visit or access your accounts from one of these sites, please review the online privacy practices of that site to understand how your online information may be collected, used and shared."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 276, ""value"": ""Other""}}",0,276
4,24831,3844,4,First Party Collection/Use,0,we collect,"{""Collection Mode"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""selectedText"": ""use and sharing"", ""startIndexInSegment"": 223, ""endIndexInSegment"": 238, ""value"": ""Use""}, ""Action First-Party"": {""selectedText"": ""we collect"", ""startIndexInSegment"": 95, ""endIndexInSegment"": 105, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""any information that we collect from or about you"", ""startIndexInSegment"": 74, ""endIndexInSegment"": 123, ""value"": ""Unspecified""}, ""Choice Type"": {""selectedText"": "", which provides choices in the use and sharing of information"", ""startIndexInSegment"": 191, ""endIndexInSegment"": 253, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",95,105
5,24832,3844,4,Third Party Sharing/Collection,1,share,"{""Third Party Entity"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""selectedText"": ""use and sharing"", ""startIndexInSegment"": 223, ""endIndexInSegment"": 238, ""value"": ""Use""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""any information that we collect from or about you"", ""startIndexInSegment"": 74, ""endIndexInSegment"": 123, ""value"": ""Unspecified""}, ""Choice Type"": {""selectedText"": ""choices in the use and sharing of information"", ""startIndexInSegment"": 208, ""endIndexInSegment"": 253, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""selectedText"": ""share"", ""startIndexInSegment"": 68, ""endIndexInSegment"": 73, ""value"": ""Receive/Shared with""}}",68,73
6,C2971,3844,5,Other,0,"Additional information on our Privacy Security practices may be found on our Sites and within Frequently Asked Questions (FAQs). Although the additional information is provided as a resource, the terms and conditions of this Notice control, and by using the Site, you agree to the terms and conditions of this Notice.","{""Other Type"": {""selectedText"": ""Additional information on our Privacy Security practices may be found on our Sites and within Frequently Asked Questions (FAQs). Although the additional information is provided as a resource, the terms and conditions of this Notice control, and by using the Site, you agree to the terms and conditions of this Notice."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 322, ""value"": ""Other""}}",0,322
7,C2972,3844,6,Introductory/Generic,9,"Personal Information means personally identifiable information such as information you provide via forms, surveys, applications or other online fields including name, postal or email addresses, telephone, fax or mobile numbers, or account numbers.","{""Other Type"": {""selectedText"": ""Personal Information means personally identifiable information such as information you provide via forms, surveys, applications or other online fields including name, postal or email addresses, telephone, fax or mobile numbers, or account numbers."", ""startIndexInSegment"": 130, ""endIndexInSegment"": 382, ""value"": ""Introductory/Generic""}}",130,382
8,24834,3844,6,First Party Collection/Use,0,information you provide,"{""Collection Mode"": {""selectedText"": ""information you provide"", ""startIndexInSegment"": 201, ""endIndexInSegment"": 224, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""selectedText"": ""We Collect Online"", ""startIndexInSegment"": 92, ""endIndexInSegment"": 109, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""Personal Information"", ""startIndexInSegment"": 71, ""endIndexInSegment"": 91, ""value"": ""Generic personal information""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""personally identifiable information"", ""startIndexInSegment"": 157, ""endIndexInSegment"": 192, ""value"": ""Identifiable""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",201,224
9,24834,3844,6,First Party Collection/Use,0,We Collect Online,"{""Collection Mode"": {""selectedText"": ""information you provide"", ""startIndexInSegment"": 201, ""endIndexInSegment"": 224, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""selectedText"": ""We Collect Online"", ""startIndexInSegment"": 92, ""endIndexInSegment"": 109, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""Personal Information"", ""startIndexInSegment"": 71, ""endIndexInSegment"": 91, ""value"": ""Generic personal information""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""personally identifiable information"", ""startIndexInSegment"": 157, ""endIndexInSegment"": 192, ""value"": ""Identifiable""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",92,109
