,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C1771,3850,0,Introductory/Generic,9,Privacy Policy,"{""Other Type"": {""selectedText"": ""Privacy Policy"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 14, ""value"": ""Introductory/Generic""}}",0,14
1,C1772,3850,1,Other,0,"In September 2012, we announced that Instagram had been acquired by Facebook. We knew that by teaming up with Facebook, we could build a better Instagram for you. Since then, we've been collaborating with Facebook's team on ways to do just that. As part of our new collaboration, we've learned that by being able to share insights and information with each other, we can build better experiences for our users.","{""Other Type"": {""selectedText"": ""In September 2012, we announced that Instagram had been acquired by Facebook. We knew that by teaming up with Facebook, we could build a better Instagram for you. Since then, we've been collaborating with Facebook's team on ways to do just that. As part of our new collaboration, we've learned that by being able to share insights and information with each other, we can build better experiences for our users."", ""startIndexInSegment"": 46, ""endIndexInSegment"": 456, ""value"": ""Other""}}",46,456
2,15684,3850,1,Policy Change,6,"In September 2012, we announced that Instagram had been acquired by Facebook. We knew that by teaming up with Facebook, we could build a better Instagram for you. Since then, we've been collaborating with Facebook's team on ways to do just that. As part of our new collaboration, we've learned that by being able to share insights and information with each other, we can build better experiences for our users.","{""Change Type"": {""selectedText"": ""In September 2012, we announced that Instagram had been acquired by Facebook. We knew that by teaming up with Facebook, we could build a better Instagram for you. Since then, we've been collaborating with Facebook's team on ways to do just that. As part of our new collaboration, we've learned that by being able to share insights and information with each other, we can build better experiences for our users."", ""startIndexInSegment"": 46, ""endIndexInSegment"": 456, ""value"": ""In case of merger or acquisition""}, ""User Choice"": {""selectedText"": ""Important Update In September 2012, we announced that Instagram had been acquired by Facebook. We knew that by teaming up with Facebook, we could build a better Instagram for you. Since then, we've been collaborating with Facebook's team on ways to do just that. As part of our new collaboration, we've learned that by being able to share insights and information with each other, we can build better experiences for our users."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 456, ""value"": ""Unspecified""}, ""Notification Type"": {""selectedText"": ""Important Update In September 2012, we announced that Instagram had been acquired by Facebook. We knew that by teaming up with Facebook, we could build a better Instagram for you. Since then, we've been collaborating with Facebook's team on ways to do just that. As part of our new collaboration, we've learned that by being able to share insights and information with each other, we can build better experiences for our users."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 456, ""value"": ""General notice in privacy policy""}}",46,456
3,16394,3850,2,Other,0,"We're updating our Privacy Policy to highlight this new collaboration, but we want to make sure you understand that you still have control over who sees your photos. You still get to choose who can see your Instagram photos, and you still get to choose whether you post your photos on Facebook. So while we're looking forward to working closely with Facebook to build better experiences, we aren't changing the core features of the app that you've come to know and love.","{""Other Type"": {""selectedText"": ""We're updating our Privacy Policy to highlight this new collaboration, but we want to make sure you understand that you still have control over who sees your photos. You still get to choose who can see your Instagram photos, and you still get to choose whether you post your photos on Facebook. So while we're looking forward to working closely with Facebook to build better experiences, we aren't changing the core features of the app that you've come to know and love."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 475, ""value"": ""Other""}}",0,475
4,15685,3850,2,Policy Change,6,"We're updating our Privacy Policy to highlight this new collaboration,","{""Change Type"": {""selectedText"": ""We're updating our Privacy Policy to highlight this new collaboration,"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 70, ""value"": ""In case of merger or acquisition""}, ""User Choice"": {""selectedText"": ""We're updating our Privacy Policy to highlight this new collaboration,"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 70, ""value"": ""Unspecified""}, ""Notification Type"": {""selectedText"": ""We're updating our Privacy Policy to highlight this new collaboration,"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 70, ""value"": ""Unspecified""}}",0,70
5,15686,3850,2,User Choice/Control,2,but we want to make sure you understand that you still have control over who sees your photos.,"{""Choice Type"": {""selectedText"": ""but we want to make sure you understand that you still have control over who sees your photos."", ""startIndexInSegment"": 71, ""endIndexInSegment"": 165, ""value"": ""Unspecified""}, ""Choice Scope"": {""selectedText"": ""but we want to make sure you understand that you still have control over who sees your photos"", ""startIndexInSegment"": 71, ""endIndexInSegment"": 164, ""value"": ""First party use""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""but we want to make sure you understand that you still have control over who sees your photos."", ""startIndexInSegment"": 71, ""endIndexInSegment"": 165, ""value"": ""Basic service/feature""}, ""Personal Information Type"": {""selectedText"": "", but we want to make sure you understand that you still have control over who sees your photos."", ""startIndexInSegment"": 69, ""endIndexInSegment"": 165, ""value"": ""Other""}}",71,165
6,15686,3850,2,User Choice/Control,2,but we want to make sure you understand that you still have control over who sees your photos,"{""Choice Type"": {""selectedText"": ""but we want to make sure you understand that you still have control over who sees your photos."", ""startIndexInSegment"": 71, ""endIndexInSegment"": 165, ""value"": ""Unspecified""}, ""Choice Scope"": {""selectedText"": ""but we want to make sure you understand that you still have control over who sees your photos"", ""startIndexInSegment"": 71, ""endIndexInSegment"": 164, ""value"": ""First party use""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""but we want to make sure you understand that you still have control over who sees your photos."", ""startIndexInSegment"": 71, ""endIndexInSegment"": 165, ""value"": ""Basic service/feature""}, ""Personal Information Type"": {""selectedText"": "", but we want to make sure you understand that you still have control over who sees your photos."", ""startIndexInSegment"": 69, ""endIndexInSegment"": 165, ""value"": ""Other""}}",71,164
7,15687,3850,2,User Choice/Control,2,"You still get to choose who can see your Instagram photos, and you still get to choose whether you post your photos on Facebook. So while we're looking forward to working closely with Facebook to build better experiences, we aren't changing the core features of the app that you've come to know and love.","{""Choice Type"": {""selectedText"": ""You still get to choose who can see your Instagram photos, and you still get to choose whether you post your photos on Facebook. So while we're looking forward to working closely with Facebook to build better experiences, we aren't changing the core features of the app that you've come to know and love."", ""startIndexInSegment"": 166, ""endIndexInSegment"": 470, ""value"": ""First-party privacy controls""}, ""Choice Scope"": {""selectedText"": ""You still get to choose who can see your Instagram photos, and you still get to choose whether you post your photos on Facebook. So while we're looking forward to working closely with Facebook to build better experiences, we aren't changing the core features of the app that you've come to know and love."", ""startIndexInSegment"": 166, ""endIndexInSegment"": 470, ""value"": ""First party use""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""You still get to choose who can see your Instagram photos, and you still get to choose whether you post your photos on Facebook. So while we're looking forward to working closely with Facebook to build better experiences, we aren't changing the core features of the app that you've come to know and love."", ""startIndexInSegment"": 166, ""endIndexInSegment"": 470, ""value"": ""Basic service/feature""}, ""Personal Information Type"": {""selectedText"": ""You still get to choose who can see your Instagram photos, and you still get to choose whether you post your photos on Facebook. So while we're looking forward to working closely with Facebook to build better experiences, we aren't changing the core features of the app that you've come to know and love."", ""startIndexInSegment"": 166, ""endIndexInSegment"": 470, ""value"": ""Other""}}",166,470
8,15687,3850,2,User Choice/Control,2,"You still get to choose who can see your Instagram photos, and you still get to choose whether you post your photos on Facebook. So while we're looking forward to working closely with Facebook to build better experiences, we aren't changing the core features of the app that you've come to know and love.","{""Choice Type"": {""selectedText"": ""You still get to choose who can see your Instagram photos, and you still get to choose whether you post your photos on Facebook. So while we're looking forward to working closely with Facebook to build better experiences, we aren't changing the core features of the app that you've come to know and love."", ""startIndexInSegment"": 166, ""endIndexInSegment"": 470, ""value"": ""First-party privacy controls""}, ""Choice Scope"": {""selectedText"": ""You still get to choose who can see your Instagram photos, and you still get to choose whether you post your photos on Facebook. So while we're looking forward to working closely with Facebook to build better experiences, we aren't changing the core features of the app that you've come to know and love."", ""startIndexInSegment"": 166, ""endIndexInSegment"": 470, ""value"": ""First party use""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""You still get to choose who can see your Instagram photos, and you still get to choose whether you post your photos on Facebook. So while we're looking forward to working closely with Facebook to build better experiences, we aren't changing the core features of the app that you've come to know and love."", ""startIndexInSegment"": 166, ""endIndexInSegment"": 470, ""value"": ""Basic service/feature""}, ""Personal Information Type"": {""selectedText"": ""You still get to choose who can see your Instagram photos, and you still get to choose whether you post your photos on Facebook. So while we're looking forward to working closely with Facebook to build better experiences, we aren't changing the core features of the app that you've come to know and love."", ""startIndexInSegment"": 166, ""endIndexInSegment"": 470, ""value"": ""Other""}}",166,470
9,16659,3850,2,User Choice/Control,2,you still have control over who sees your photos.,"{""Choice Type"": {""selectedText"": ""you still have control over who sees your photos."", ""startIndexInSegment"": 116, ""endIndexInSegment"": 165, ""value"": ""Opt-in""}, ""Choice Scope"": {""selectedText"": ""You still get to choose who can see your Instagram photos,"", ""startIndexInSegment"": 166, ""endIndexInSegment"": 224, ""value"": ""Third party sharing/collection""}, ""User Type"": {""selectedText"": ""Instagram"", ""startIndexInSegment"": 207, ""endIndexInSegment"": 216, ""value"": ""User with account""}, ""Purpose"": {""selectedText"": ""who sees your photos."", ""startIndexInSegment"": 144, ""endIndexInSegment"": 165, ""value"": ""Additional service/feature""}, ""Personal Information Type"": {""selectedText"": ""your Instagram photos,"", ""startIndexInSegment"": 202, ""endIndexInSegment"": 224, ""value"": ""User profile""}}",116,165
10,16659,3850,2,User Choice/Control,2,"You still get to choose who can see your Instagram photos,","{""Choice Type"": {""selectedText"": ""you still have control over who sees your photos."", ""startIndexInSegment"": 116, ""endIndexInSegment"": 165, ""value"": ""Opt-in""}, ""Choice Scope"": {""selectedText"": ""You still get to choose who can see your Instagram photos,"", ""startIndexInSegment"": 166, ""endIndexInSegment"": 224, ""value"": ""Third party sharing/collection""}, ""User Type"": {""selectedText"": ""Instagram"", ""startIndexInSegment"": 207, ""endIndexInSegment"": 216, ""value"": ""User with account""}, ""Purpose"": {""selectedText"": ""who sees your photos."", ""startIndexInSegment"": 144, ""endIndexInSegment"": 165, ""value"": ""Additional service/feature""}, ""Personal Information Type"": {""selectedText"": ""your Instagram photos,"", ""startIndexInSegment"": 202, ""endIndexInSegment"": 224, ""value"": ""User profile""}}",166,224
11,16659,3850,2,User Choice/Control,2,Instagram,"{""Choice Type"": {""selectedText"": ""you still have control over who sees your photos."", ""startIndexInSegment"": 116, ""endIndexInSegment"": 165, ""value"": ""Opt-in""}, ""Choice Scope"": {""selectedText"": ""You still get to choose who can see your Instagram photos,"", ""startIndexInSegment"": 166, ""endIndexInSegment"": 224, ""value"": ""Third party sharing/collection""}, ""User Type"": {""selectedText"": ""Instagram"", ""startIndexInSegment"": 207, ""endIndexInSegment"": 216, ""value"": ""User with account""}, ""Purpose"": {""selectedText"": ""who sees your photos."", ""startIndexInSegment"": 144, ""endIndexInSegment"": 165, ""value"": ""Additional service/feature""}, ""Personal Information Type"": {""selectedText"": ""your Instagram photos,"", ""startIndexInSegment"": 202, ""endIndexInSegment"": 224, ""value"": ""User profile""}}",207,216
