,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C3452,3854,0,Introductory/Generic,9,Yahoo Privacy Center,"{""Other Type"": {""selectedText"": ""Yahoo Privacy Center"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 20, ""value"": ""Introductory/Generic""}}",0,20
1,C3453,3854,1,Introductory/Generic,9,"Welcome to the Yahoo Privacy Center -- take a look around. You'll learn how Yahoo treats your personal information, along with ways to control your preferences and settings. As always, Yahoo is committed to gaining your trust.","{""Other Type"": {""selectedText"": ""Welcome to the Yahoo Privacy Center -- take a look around. You'll learn how Yahoo treats your personal information, along with ways to control your preferences and settings. As always, Yahoo is committed to gaining your trust."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 231, ""value"": ""Introductory/Generic""}}",0,231
2,C3454,3854,2,Other,0,"The federal government and technology industry have developed practical tips to help you guard against Internet fraud, secure your computer and protect your personal information.","{""Other Type"": {""selectedText"": ""The federal government and technology industry have developed practical tips to help you guard against Internet fraud, secure your computer and protect your personal information."", ""startIndexInSegment"": 187, ""endIndexInSegment"": 370, ""value"": ""Other""}}",187,370
3,18559,3854,2,Introductory/Generic,9,WHAT THIS PRIVACY POLICY COVERS Yahoo takes your privacy seriously. Please read the following to learn more about our privacy policy.,"{""Other Type"": {""selectedText"": ""WHAT THIS PRIVACY POLICY COVERS Yahoo takes your privacy seriously. Please read the following to learn more about our privacy policy."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 186, ""value"": ""Introductory/Generic""}}",0,186
4,16856,3854,2,Data Security,5,Yahoo takes your privacy seriously.,"{""Security Measure"": {""selectedText"": ""Yahoo takes your privacy seriously."", ""startIndexInSegment"": 70, ""endIndexInSegment"": 105, ""value"": ""Generic""}}",70,105
5,C3455,3854,3,Introductory/Generic,9,"This policy covers how Yahoo treats personal information that Yahoo collects and receives, including information related to your past use of Yahoo products and services. Personal information is information about you that is personally identifiable like your name, address, email address, or phone number, and that is not otherwise publicly available.","{""Other Type"": {""selectedText"": ""This policy covers how Yahoo treats personal information that Yahoo collects and receives, including information related to your past use of Yahoo products and services. Personal information is information about you that is personally identifiable like your name, address, email address, or phone number, and that is not otherwise publicly available."", ""startIndexInSegment"": 70, ""endIndexInSegment"": 420, ""value"": ""Introductory/Generic""}}",70,420
6,16858,3854,3,First Party Collection/Use,0,Yahoo collects,"{""Collection Mode"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""Yahoo collects"", ""startIndexInSegment"": 132, ""endIndexInSegment"": 146, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""personal information"", ""startIndexInSegment"": 106, ""endIndexInSegment"": 126, ""value"": ""Generic personal information""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""This policy covers how Yahoo treats personal information that Yahoo collects and receives, including information related to your past use of Yahoo products and services."", ""startIndexInSegment"": 70, ""endIndexInSegment"": 239, ""value"": ""Unspecified""}}",132,146
7,16859,3854,3,First Party Collection/Use,0,receives,"{""Collection Mode"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""receives"", ""startIndexInSegment"": 151, ""endIndexInSegment"": 159, ""value"": ""Receive from other service/third-party (unnamed)""}, ""Personal Information Type"": {""selectedText"": ""personal information"", ""startIndexInSegment"": 106, ""endIndexInSegment"": 126, ""value"": ""Generic personal information""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""This policy covers how Yahoo treats personal information that Yahoo collects and receives, including information related to your past use of Yahoo products and services."", ""startIndexInSegment"": 70, ""endIndexInSegment"": 239, ""value"": ""Unspecified""}}",151,159
8,18188,3854,3,First Party Collection/Use,0,Yahoo collects and receives,"{""Collection Mode"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""Yahoo collects and receives"", ""startIndexInSegment"": 132, ""endIndexInSegment"": 159, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""name, address, email address, or phone number"", ""startIndexInSegment"": 328, ""endIndexInSegment"": 373, ""value"": ""Contact""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",132,159
9,C3456,3854,4,Other,0,"This policy does not apply to the practices of companies that Yahoo does not own or control, or to people that Yahoo does not employ or manage. In addition, some companies that Yahoo has acquired have their own, preexisting privacy policies which may be viewed on our acquired companies page.","{""Other Type"": {""selectedText"": ""This policy does not apply to the practices of companies that Yahoo does not own or control, or to people that Yahoo does not employ or manage. In addition, some companies that Yahoo has acquired have their own, preexisting privacy policies which may be viewed on our acquired companies page."", ""startIndexInSegment"": 66, ""endIndexInSegment"": 363, ""value"": ""Other""}}",66,363
10,18190,3854,5,Data Security,5,"Yahoo participates in the Safe Harbor program developed by the U.S. Department of Commerce and the European Union. To view our certification, visit the U.S. Department of Commerce's Safe Harbor Web site. For more information about Yahoo's participation in the Safe Harbor program, please visit our Safe Harbor details page.","{""Security Measure"": {""selectedText"": ""Yahoo participates in the Safe Harbor program developed by the U.S. Department of Commerce and the European Union. To view our certification, visit the U.S. Department of Commerce's Safe Harbor Web site. For more information about Yahoo's participation in the Safe Harbor program, please visit our Safe Harbor details page."", ""startIndexInSegment"": 78, ""endIndexInSegment"": 401, ""value"": ""Privacy/Security program""}}",78,401
