,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C4282,3723,0,Introductory/Generic,9,"Last updated on October 1, 2013","{""Other Type"": {""endIndexInSegment"": 31, ""startIndexInSegment"": 0, ""selectedText"": ""Last updated on October 1, 2013"", ""value"": ""Introductory/Generic""}}",0,31
1,5997,3723,0,Policy Change,6,"Last updated on October 1, 2013","{""Change Type"": {""endIndexInSegment"": 31, ""startIndexInSegment"": 0, ""selectedText"": ""Last updated on October 1, 2013"", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 31, ""startIndexInSegment"": 0, ""selectedText"": ""Last updated on October 1, 2013"", ""value"": ""General notice in privacy policy""}}",0,31
2,C4283,3723,1,Introductory/Generic,9,"Rockstar Games, Inc.,a United States company, its parent and its subsidiaries (collectively the ""Company""), respects the privacy rights of our users and is committed to protecting the information collected through its products, services, and websites accessed through any internet-capable hardware platform including gaming consoles, personal computers, mobile computers, or smart phones, or in-game applications or any software platform including third-party hosts (collectively the ""Online Services""). We have adopted this privacy policy to explain how we collect, store, disclose, transfer, protect, and otherwise use the information collected in connection with our Online Services (the ""Privacy Policy"").","{""Other Type"": {""endIndexInSegment"": 709, ""startIndexInSegment"": 0, ""selectedText"": ""Rockstar Games, Inc.,a United States company, its parent and its subsidiaries (collectively the \""Company\""), respects the privacy rights of our users and is committed to protecting the information collected through its products, services, and websites accessed through any internet-capable hardware platform including gaming consoles, personal computers, mobile computers, or smart phones, or in-game applications or any software platform including third-party hosts (collectively the \""Online Services\""). We have adopted this privacy policy to explain how we collect, store, disclose, transfer, protect, and otherwise use the information collected in connection with our Online Services (the \""Privacy Policy\"")."", ""value"": ""Introductory/Generic""}}",0,709
3,C4285,3723,2,Introductory/Generic,9,"PLEASE READ THE FOLLOWING PRIVACY POLICY CAREFULLY. BY REGISTERING FOR OR USING OUR ONLINE SERVICES, YOU AGREE THAT (i) WE MAY TRANSFER, PROCESS, AND STORE YOUR ACCOUNT INFORMATION IN THE UNITED STATES OF AMERICA AND OTHER COUNTRIES THAT MAY HAVE DIFFERENT PRIVACY PROTECTIONS THAN YOUR COUNTRY; (ii) WE MAY PROCESS YOUR DATA IN ACCORDANCE WITH THE FOLLOWING PRIVACY POLICY; (iii) YOU ARE BOUND BY OUR PRIVACY POLICY; AND (iv) YOU WILL ABIDE BY OUR TERMS CONDITIONS, CODE OF CONDUCT, AND ANY OTHER POLICIES THAT MAY APPLY. THIS PRIVACY POLICY SUPPLEMENTS THE PRIVACY DISCLOSURES PROVIDED TO YOU WITH YOUR SOFTWARE PRODUCT AND/OR BY YOUR CONSOLE MANUFACTURER.","{""Other Type"": {""endIndexInSegment"": 658, ""startIndexInSegment"": 0, ""selectedText"": ""PLEASE READ THE FOLLOWING PRIVACY POLICY CAREFULLY. BY REGISTERING FOR OR USING OUR ONLINE SERVICES, YOU AGREE THAT (i) WE MAY TRANSFER, PROCESS, AND STORE YOUR ACCOUNT INFORMATION IN THE UNITED STATES OF AMERICA AND OTHER COUNTRIES THAT MAY HAVE DIFFERENT PRIVACY PROTECTIONS THAN YOUR COUNTRY; (ii) WE MAY PROCESS YOUR DATA IN ACCORDANCE WITH THE FOLLOWING PRIVACY POLICY; (iii) YOU ARE BOUND BY OUR PRIVACY POLICY; AND (iv) YOU WILL ABIDE BY OUR TERMS CONDITIONS, CODE OF CONDUCT, AND ANY OTHER POLICIES THAT MAY APPLY. THIS PRIVACY POLICY SUPPLEMENTS THE PRIVACY DISCLOSURES PROVIDED TO YOU WITH YOUR SOFTWARE PRODUCT AND/OR BY YOUR CONSOLE MANUFACTURER."", ""value"": ""Introductory/Generic""}}",0,658
4,6002,3723,2,Policy Change,6,YOU ARE BOUND BY OUR PRIVACY POLICY,"{""Change Type"": {""endIndexInSegment"": 416, ""startIndexInSegment"": 381, ""selectedText"": ""YOU ARE BOUND BY OUR PRIVACY POLICY"", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 416, ""startIndexInSegment"": 381, ""selectedText"": ""YOU ARE BOUND BY OUR PRIVACY POLICY"", ""value"": ""User participation""}, ""Notification Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",381,416
5,4953,3723,3,Data Security,5,TRUSTe's,"{""Security Measure"": {""endIndexInSegment"": 75, ""startIndexInSegment"": 67, ""selectedText"": ""TRUSTe's"", ""value"": ""Privacy review/audit""}}",67,75
6,6003,3723,3,Privacy contact information,11,privacypolicy@take2games.com.,"{""Other Type"": {""endIndexInSegment"": 653, ""startIndexInSegment"": 624, ""selectedText"": ""privacypolicy@take2games.com."", ""value"": ""Privacy contact information""}}",624,653
7,6004,3723,3,Data Security,5,"In connection with specific websites, the Company has been awarded TRUSTe's Privacy Seal signifying that this Privacy Policy and practices have been reviewed by TRUSTe for compliance with TRUSTe's program requirements including transparency, accountability, and choice regarding the collection and use of your personal information. TRUSTe's mission, as an independent third party, is to accelerate online trust among consumers and organizations globally through its leading privacy trustmark and innovative trust solutions. If you have questions or complaints regarding our Privacy Policy or practices, please contact us at privacypolicy@take2games.com. If you are not satisfied with our response you can contact TRUSTe at www.truste.com/watchdog equest. THE TRUSTe PROGRAM COVERS SPECIFIC WEBSITES; IT DOES NOT COVER INFORMATION THAT MAY BE COLLECTED THROUGH SOFTWARE.","{""Security Measure"": {""endIndexInSegment"": 869, ""startIndexInSegment"": 0, ""selectedText"": ""In connection with specific websites, the Company has been awarded TRUSTe's Privacy Seal signifying that this Privacy Policy and practices have been reviewed by TRUSTe for compliance with TRUSTe's program requirements including transparency, accountability, and choice regarding the collection and use of your personal information. TRUSTe's mission, as an independent third party, is to accelerate online trust among consumers and organizations globally through its leading privacy trustmark and innovative trust solutions. If you have questions or complaints regarding our Privacy Policy or practices, please contact us at privacypolicy@take2games.com. If you are not satisfied with our response you can contact TRUSTe at www.truste.com/watchdog equest. THE TRUSTe PROGRAM COVERS SPECIFIC WEBSITES; IT DOES NOT COVER INFORMATION THAT MAY BE COLLECTED THROUGH SOFTWARE."", ""value"": ""Privacy/Security program""}}",0,869
8,6771,3723,3,Practice not covered,10,"In connection with specific websites, the Company has been awarded TRUSTe's Privacy Seal signifying that this Privacy Policy and practices have been reviewed by TRUSTe for compliance with TRUSTe's program requirements including transparency, accountability, and choice regarding the collection and use of your personal information. TRUSTe's mission, as an independent third party, is to accelerate online trust among consumers and organizations globally through its leading privacy trustmark and innovative trust solutions. If you have questions or complaints regarding our Privacy Policy or practices, please contact us at privacypolicy@take2games.com. If you are not satisfied with our response you can contact TRUSTe at www.truste.com/watchdog equest. THE TRUSTe PROGRAM COVERS SPECIFIC WEBSITES; IT DOES NOT COVER INFORMATION THAT MAY BE COLLECTED THROUGH SOFTWARE.","{""Other Type"": {""endIndexInSegment"": 869, ""startIndexInSegment"": 0, ""selectedText"": ""In connection with specific websites, the Company has been awarded TRUSTe's Privacy Seal signifying that this Privacy Policy and practices have been reviewed by TRUSTe for compliance with TRUSTe's program requirements including transparency, accountability, and choice regarding the collection and use of your personal information. TRUSTe's mission, as an independent third party, is to accelerate online trust among consumers and organizations globally through its leading privacy trustmark and innovative trust solutions. If you have questions or complaints regarding our Privacy Policy or practices, please contact us at privacypolicy@take2games.com. If you are not satisfied with our response you can contact TRUSTe at www.truste.com/watchdog equest. THE TRUSTe PROGRAM COVERS SPECIFIC WEBSITES; IT DOES NOT COVER INFORMATION THAT MAY BE COLLECTED THROUGH SOFTWARE."", ""value"": ""Practice not covered""}}",0,869
9,6772,3723,3,Privacy contact information,11,"f you have questions or complaints regarding our Privacy Policy or practices, please contact us at privacypolicy@take2games.com. If you are not satisfied with our response you can contact TRUSTe at","{""Other Type"": {""endIndexInSegment"": 722, ""startIndexInSegment"": 525, ""selectedText"": ""f you have questions or complaints regarding our Privacy Policy or practices, please contact us at privacypolicy@take2games.com. If you are not satisfied with our response you can contact TRUSTe at"", ""value"": ""Privacy contact information""}}",525,722
