,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C0,3861,0,Introductory/Generic,9,"Last updated: March 25, 2015","{""Other Type"": {""selectedText"": ""Last updated: March 25, 2015"", ""startIndexInSegment"": 44, ""endIndexInSegment"": 72, ""value"": ""Introductory/Generic""}}",44,72
1,15594,3861,0,Policy Change,6,"Last updated: March 25, 2015","{""Change Type"": {""selectedText"": ""Last updated: March 25, 2015"", ""startIndexInSegment"": 44, ""endIndexInSegment"": 72, ""value"": ""Unspecified""}, ""User Choice"": {""selectedText"": ""Last updated: March 25, 2015"", ""startIndexInSegment"": 44, ""endIndexInSegment"": 77, ""value"": ""Unspecified""}, ""Notification Type"": {""selectedText"": ""Last updated: March 25, 2015"", ""startIndexInSegment"": 44, ""endIndexInSegment"": 77, ""value"": ""General notice in privacy policy""}}",44,72
2,C1,3861,1,Introductory/Generic,9,"This Privacy Policy pertains to the following services of Groundspeak: GEOCACHING.COM website and mobile applications; SHOP.GEOCACHING.COM website; WAYMARKING.COM website; WHERIGO.COM website and mobile application; GROUNDSPEAK.COM, including discussion forums BLOG.GEOCACHING.COM website; and MYGEOCACHINGPROFILE.COM website.","{""Other Type"": {""selectedText"": ""This Privacy Policy pertains to the following services of Groundspeak: GEOCACHING.COM website and mobile applications; SHOP.GEOCACHING.COM website; WAYMARKING.COM website; WHERIGO.COM website and mobile application; GROUNDSPEAK.COM, including discussion forums BLOG.GEOCACHING.COM website; and MYGEOCACHINGPROFILE.COM website."", ""startIndexInSegment"": 59, ""endIndexInSegment"": 415, ""value"": ""Introductory/Generic""}}",59,415
3,15595,3861,1,Data Security,5,"Groundspeak, Inc. is dedicated to protecting your privacy.","{""Security Measure"": {""selectedText"": ""Groundspeak, Inc. is dedicated to protecting your privacy."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 58, ""value"": ""Generic""}}",0,58
4,C2,3861,2,Introductory/Generic,9,"This Privacy Policy covers information that you give us about yourself as you use our websites, applications and other services, register to become a member or to receive information from us, or volunteer information. Our services are hosted on servers located in the United States. Our websites and applications use cookies and other common automated data collection technologies. Please see ""How We Use Cookies"" for more information about these technologies and how you can opt out of their use.","{""Other Type"": {""selectedText"": ""This Privacy Policy covers information that you give us about yourself as you use our websites, applications and other services, register to become a member or to receive information from us, or volunteer information. Our services are hosted on servers located in the United States. Our websites and applications use cookies and other common automated data collection technologies. Please see \""How We Use Cookies\"" for more information about these technologies and how you can opt out of their use."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 497, ""value"": ""Introductory/Generic""}}",0,497
5,C3,3861,3,Introductory/Generic,9,"By using any of the services above, you are accepting the practices described in our Privacy Policy.","{""Other Type"": {""selectedText"": ""By using any of the services above, you are accepting the practices described in our Privacy Policy."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 100, ""value"": ""Introductory/Generic""}}",0,100
6,15598,3861,3,Policy Change,6,"By using any of the services above, you are accepting the practices described in our Privacy Policy.","{""Change Type"": {""selectedText"": ""By using any of the services above, you are accepting the practices described in our Privacy Policy."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 100, ""value"": ""Unspecified""}, ""User Choice"": {""selectedText"": ""By using any of the services above, you are accepting the practices described in our Privacy Policy."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 100, ""value"": ""User participation""}, ""Notification Type"": {""selectedText"": ""By using any of the services above, you are accepting the practices described in our Privacy Policy."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 100, ""value"": ""Unspecified""}}",0,100
7,C4,3861,4,First Party Collection/Use,0,you give us,"{""Collection Mode"": {""selectedText"": ""you give us"", ""startIndexInSegment"": 138, ""endIndexInSegment"": 149, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""We receive and store"", ""startIndexInSegment"": 101, ""endIndexInSegment"": 121, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""credit card information"", ""startIndexInSegment"": 439, ""endIndexInSegment"": 462, ""value"": ""Financial""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""purchase of Premium membership and purchases from Shop Geocaching (shop.geocaching.com)"", ""startIndexInSegment"": 467, ""endIndexInSegment"": 554, ""value"": ""Additional service/feature""}}",138,149
8,C4,3861,4,First Party Collection/Use,0,We receive and store,"{""Collection Mode"": {""selectedText"": ""you give us"", ""startIndexInSegment"": 138, ""endIndexInSegment"": 149, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""We receive and store"", ""startIndexInSegment"": 101, ""endIndexInSegment"": 121, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""credit card information"", ""startIndexInSegment"": 439, ""endIndexInSegment"": 462, ""value"": ""Financial""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""purchase of Premium membership and purchases from Shop Geocaching (shop.geocaching.com)"", ""startIndexInSegment"": 467, ""endIndexInSegment"": 554, ""value"": ""Additional service/feature""}}",101,121
9,C5,3861,4,First Party Collection/Use,0,you give us,"{""Collection Mode"": {""selectedText"": ""you give us"", ""startIndexInSegment"": 138, ""endIndexInSegment"": 149, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""We receive and store"", ""startIndexInSegment"": 101, ""endIndexInSegment"": 121, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""home location"", ""startIndexInSegment"": 594, ""endIndexInSegment"": 607, ""value"": ""Location""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",138,149
