,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C4779,3714,0,Introductory/Generic,9,"PRIVACY POLICY This policy describes the privacy practices of MediaNews Group, Inc., and MediaNews Group Interactive, Inc. and MediaNews Group affiliates, collectively referred to herein as ""MediaNews."" This Privacy Policy is applicable only to the MediaNews Web sites (""Web site(s)"") and does not apply to the print versions of any of the MediaNews publications. This policy does not apply to any third party web sites or to companies or persons not controlled by, affiliated with or managed by MediaNews and applies only to information collected by MediaNews on the MediaNews Web sites and not to information disclosed, obtained or used by MediaNews through other means. MediaNews may provide links to unaffiliated web sites for which this privacy policy does not apply. If you are unsure whether a web site is controlled, affiliated or managed by MediaNews, we recommend that you review the privacy policy at each linked web site to determine how that site treats your personal information.","{""Other Type"": {""endIndexInSegment"": 1003, ""startIndexInSegment"": 0, ""selectedText"": ""PRIVACY POLICY This policy describes the privacy practices of MediaNews Group, Inc., and MediaNews Group Interactive, Inc. and MediaNews Group affiliates, collectively referred to herein as \""MediaNews.\"" This Privacy Policy is applicable only to the MediaNews Web sites (\""Web site(s)\"") and does not apply to the print versions of any of the MediaNews publications. This policy does not apply to any third party web sites or to companies or persons not controlled by, affiliated with or managed by MediaNews and applies only to information collected by MediaNews on the MediaNews Web sites and not to information disclosed, obtained or used by MediaNews through other means. MediaNews may provide links to unaffiliated web sites for which this privacy policy does not apply. If you are unsure whether a web site is controlled, affiliated or managed by MediaNews, we recommend that you review the privacy policy at each linked web site to determine how that site treats your personal information."", ""value"": ""Introductory/Generic""}}",0,1003
1,C4780,3714,1,Policy Change,6,MediaNews may change this privacy policy from time to time.,"{""Change Type"": {""endIndexInSegment"": 59, ""startIndexInSegment"": 0, ""selectedText"": ""MediaNews may change this privacy policy from time to time."", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 120, ""startIndexInSegment"": 60, ""selectedText"": ""The revised policy will be posted on the MediaNews Web site."", ""value"": ""Unspecified""}}",0,59
2,25240,3714,1,Policy Change,6,MediaNews may change this privacy policy from time to time.,"{""Change Type"": {""selectedText"": ""MediaNews may change this privacy policy from time to time."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 59, ""value"": ""Unspecified""}, ""User Choice"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""selectedText"": ""Please check this page periodically for changes."", ""startIndexInSegment"": 121, ""endIndexInSegment"": 169, ""value"": ""General notice in privacy policy""}}",0,59
3,8440,3714,2,First Party Collection/Use,0,The Personally Identifying Information (PIN) gathered by MediaNews on MediaNews Web sites,"{""Collection Mode"": {""endIndexInSegment"": 172, ""startIndexInSegment"": 83, ""selectedText"": ""The Personally Identifying Information (PIN) gathered by MediaNews on MediaNews Web sites"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 172, ""startIndexInSegment"": 83, ""selectedText"": ""The Personally Identifying Information (PIN) gathered by MediaNews on MediaNews Web sites"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 207, ""startIndexInSegment"": 193, ""selectedText"": ""e-mail address"", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 207, ""startIndexInSegment"": 193, ""selectedText"": ""e-mail address"", ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 149, ""startIndexInSegment"": 87, ""selectedText"": ""Personally Identifying Information (PIN) gathered by MediaNews"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",83,172
4,8440,3714,2,First Party Collection/Use,0,The Personally Identifying Information (PIN) gathered by MediaNews on MediaNews Web sites,"{""Collection Mode"": {""endIndexInSegment"": 172, ""startIndexInSegment"": 83, ""selectedText"": ""The Personally Identifying Information (PIN) gathered by MediaNews on MediaNews Web sites"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 172, ""startIndexInSegment"": 83, ""selectedText"": ""The Personally Identifying Information (PIN) gathered by MediaNews on MediaNews Web sites"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 207, ""startIndexInSegment"": 193, ""selectedText"": ""e-mail address"", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 207, ""startIndexInSegment"": 193, ""selectedText"": ""e-mail address"", ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 149, ""startIndexInSegment"": 87, ""selectedText"": ""Personally Identifying Information (PIN) gathered by MediaNews"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",83,172
5,8440,3714,2,First Party Collection/Use,0,Personally Identifying Information (PIN) gathered by MediaNews,"{""Collection Mode"": {""endIndexInSegment"": 172, ""startIndexInSegment"": 83, ""selectedText"": ""The Personally Identifying Information (PIN) gathered by MediaNews on MediaNews Web sites"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 172, ""startIndexInSegment"": 83, ""selectedText"": ""The Personally Identifying Information (PIN) gathered by MediaNews on MediaNews Web sites"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 207, ""startIndexInSegment"": 193, ""selectedText"": ""e-mail address"", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 207, ""startIndexInSegment"": 193, ""selectedText"": ""e-mail address"", ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 149, ""startIndexInSegment"": 87, ""selectedText"": ""Personally Identifying Information (PIN) gathered by MediaNews"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",87,149
6,8441,3714,2,First Party Collection/Use,0,The Personally Identifying Information (PIN) gathered by MediaNews on MediaNews Web sites,"{""Collection Mode"": {""endIndexInSegment"": 172, ""startIndexInSegment"": 83, ""selectedText"": ""The Personally Identifying Information (PIN) gathered by MediaNews on MediaNews Web sites"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 172, ""startIndexInSegment"": 83, ""selectedText"": ""The Personally Identifying Information (PIN) gathered by MediaNews on MediaNews Web sites"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 227, ""startIndexInSegment"": 219, ""selectedText"": ""zip code"", ""value"": ""Location""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 207, ""startIndexInSegment"": 193, ""selectedText"": ""e-mail address"", ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 149, ""startIndexInSegment"": 87, ""selectedText"": ""Personally Identifying Information (PIN) gathered by MediaNews"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",83,172
7,8441,3714,2,First Party Collection/Use,0,The Personally Identifying Information (PIN) gathered by MediaNews on MediaNews Web sites,"{""Collection Mode"": {""endIndexInSegment"": 172, ""startIndexInSegment"": 83, ""selectedText"": ""The Personally Identifying Information (PIN) gathered by MediaNews on MediaNews Web sites"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 172, ""startIndexInSegment"": 83, ""selectedText"": ""The Personally Identifying Information (PIN) gathered by MediaNews on MediaNews Web sites"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 227, ""startIndexInSegment"": 219, ""selectedText"": ""zip code"", ""value"": ""Location""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 207, ""startIndexInSegment"": 193, ""selectedText"": ""e-mail address"", ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 149, ""startIndexInSegment"": 87, ""selectedText"": ""Personally Identifying Information (PIN) gathered by MediaNews"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",83,172
8,8441,3714,2,First Party Collection/Use,0,Personally Identifying Information (PIN) gathered by MediaNews,"{""Collection Mode"": {""endIndexInSegment"": 172, ""startIndexInSegment"": 83, ""selectedText"": ""The Personally Identifying Information (PIN) gathered by MediaNews on MediaNews Web sites"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 172, ""startIndexInSegment"": 83, ""selectedText"": ""The Personally Identifying Information (PIN) gathered by MediaNews on MediaNews Web sites"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 227, ""startIndexInSegment"": 219, ""selectedText"": ""zip code"", ""value"": ""Location""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 207, ""startIndexInSegment"": 193, ""selectedText"": ""e-mail address"", ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 149, ""startIndexInSegment"": 87, ""selectedText"": ""Personally Identifying Information (PIN) gathered by MediaNews"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",87,149
9,8442,3714,2,First Party Collection/Use,0,The Personally Identifying Information (PIN) gathered by MediaNews on MediaNews Web sites,"{""Collection Mode"": {""endIndexInSegment"": 172, ""startIndexInSegment"": 83, ""selectedText"": ""The Personally Identifying Information (PIN) gathered by MediaNews on MediaNews Web sites"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 172, ""startIndexInSegment"": 83, ""selectedText"": ""The Personally Identifying Information (PIN) gathered by MediaNews on MediaNews Web sites"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 240, ""startIndexInSegment"": 229, ""selectedText"": ""age, gender"", ""value"": ""Demographic""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 207, ""startIndexInSegment"": 193, ""selectedText"": ""e-mail address"", ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 149, ""startIndexInSegment"": 87, ""selectedText"": ""Personally Identifying Information (PIN) gathered by MediaNews"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",83,172
