,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C1474,3636,0,Introductory/Generic,9,Your privacy is important to us. To better protect your privacy we provide this notice explaining our online information practices and the choices you can make about the way your information is collected and used.,"{""Other Type"": {""endIndexInSegment"": 312, ""startIndexInSegment"": 99, ""selectedText"": ""Your privacy is important to us. To better protect your privacy we provide this notice explaining our online information practices and the choices you can make about the way your information is collected and used."", ""value"": ""Introductory/Generic""}}",99,312
1,C1475,3636,1,Introductory/Generic,9,"This notice applies to all information collected or submitted on any of Illini Media's websites including dailyillini.com. On some of our pages, you may have the option to create an account, make requests, register for contests, and/or submit content to our websites.","{""Other Type"": {""endIndexInSegment"": 323, ""startIndexInSegment"": 56, ""selectedText"": ""This notice applies to all information collected or submitted on any of Illini Media's websites including dailyillini.com. On some of our pages, you may have the option to create an account, make requests, register for contests, and/or submit content to our websites."", ""value"": ""Introductory/Generic""}}",56,323
2,C1476,3636,2,First Party Collection/Use,0,collected at these pages,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 49, ""startIndexInSegment"": 25, ""selectedText"": ""collected at these pages"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 24, ""startIndexInSegment"": 4, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 49, ""startIndexInSegment"": 25, ""selectedText"": ""collected at these pages"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 141, ""startIndexInSegment"": 102, ""selectedText"": ""rack your usage of interactive features"", ""value"": ""Analytics/Research""}}",25,49
3,C1476,3636,2,First Party Collection/Use,0,collected at these pages,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 49, ""startIndexInSegment"": 25, ""selectedText"": ""collected at these pages"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 24, ""startIndexInSegment"": 4, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 49, ""startIndexInSegment"": 25, ""selectedText"": ""collected at these pages"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 141, ""startIndexInSegment"": 102, ""selectedText"": ""rack your usage of interactive features"", ""value"": ""Analytics/Research""}}",25,49
4,C1477,3636,2,Third Party Sharing/Collection,1,outside parties,"{""Third Party Entity"": {""endIndexInSegment"": 381, ""startIndexInSegment"": 366, ""selectedText"": ""outside parties"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 24, ""startIndexInSegment"": 4, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": 430, ""startIndexInSegment"": 389, ""selectedText"": ""otherwise noted at the time of data entry"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 343, ""startIndexInSegment"": 331, ""selectedText"": ""do not share"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 343, ""startIndexInSegment"": 338, ""selectedText"": ""share"", ""value"": ""Receive/Shared with""}}",366,381
5,C1477,3636,2,Third Party Sharing/Collection,1,share,"{""Third Party Entity"": {""endIndexInSegment"": 381, ""startIndexInSegment"": 366, ""selectedText"": ""outside parties"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 24, ""startIndexInSegment"": 4, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": 430, ""startIndexInSegment"": 389, ""selectedText"": ""otherwise noted at the time of data entry"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 343, ""startIndexInSegment"": 331, ""selectedText"": ""do not share"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 343, ""startIndexInSegment"": 338, ""selectedText"": ""share"", ""value"": ""Receive/Shared with""}}",338,343
6,C1477,3636,2,Third Party Sharing/Collection,1,do not share,"{""Third Party Entity"": {""endIndexInSegment"": 381, ""startIndexInSegment"": 366, ""selectedText"": ""outside parties"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 24, ""startIndexInSegment"": 4, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": 430, ""startIndexInSegment"": 389, ""selectedText"": ""otherwise noted at the time of data entry"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 343, ""startIndexInSegment"": 331, ""selectedText"": ""do not share"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 343, ""startIndexInSegment"": 338, ""selectedText"": ""share"", ""value"": ""Receive/Shared with""}}",331,343
7,2925,3636,2,First Party Collection/Use,0,these page,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 48, ""startIndexInSegment"": 38, ""selectedText"": ""these page"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 70, ""startIndexInSegment"": 62, ""selectedText"": ""identify"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 34, ""startIndexInSegment"": 25, ""selectedText"": ""collected"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 70, ""startIndexInSegment"": 62, ""selectedText"": ""identify"", ""value"": ""Personalization/Customization""}}",38,48
8,2925,3636,2,First Party Collection/Use,0,collected,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 48, ""startIndexInSegment"": 38, ""selectedText"": ""these page"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 70, ""startIndexInSegment"": 62, ""selectedText"": ""identify"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 34, ""startIndexInSegment"": 25, ""selectedText"": ""collected"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 70, ""startIndexInSegment"": 62, ""selectedText"": ""identify"", ""value"": ""Personalization/Customization""}}",25,34
9,2927,3636,2,First Party Collection/Use,0,these page,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 48, ""startIndexInSegment"": 38, ""selectedText"": ""these page"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 70, ""startIndexInSegment"": 62, ""selectedText"": ""identify"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 34, ""startIndexInSegment"": 25, ""selectedText"": ""collected"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 203, ""startIndexInSegment"": 147, ""selectedText"": ""to communicate with you regarding site news and updates."", ""value"": ""Marketing""}}",38,48
10,2927,3636,2,First Party Collection/Use,0,collected,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 48, ""startIndexInSegment"": 38, ""selectedText"": ""these page"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 70, ""startIndexInSegment"": 62, ""selectedText"": ""identify"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 34, ""startIndexInSegment"": 25, ""selectedText"": ""collected"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 203, ""startIndexInSegment"": 147, ""selectedText"": ""to communicate with you regarding site news and updates."", ""value"": ""Marketing""}}",25,34
11,3707,3636,2,First Party Collection/Use,0,collected at these pages,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 49, ""startIndexInSegment"": 25, ""selectedText"": ""collected at these pages"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 24, ""startIndexInSegment"": 4, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 49, ""startIndexInSegment"": 25, ""selectedText"": ""collected at these pages"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 97, ""startIndexInSegment"": 55, ""selectedText"": ""sed to identify you as a user of the site,"", ""value"": ""Basic service/feature""}}",25,49
12,3707,3636,2,First Party Collection/Use,0,collected at these pages,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 49, ""startIndexInSegment"": 25, ""selectedText"": ""collected at these pages"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 24, ""startIndexInSegment"": 4, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 49, ""startIndexInSegment"": 25, ""selectedText"": ""collected at these pages"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 97, ""startIndexInSegment"": 55, ""selectedText"": ""sed to identify you as a user of the site,"", ""value"": ""Basic service/feature""}}",25,49
13,4135,3636,2,First Party Collection/Use,0,The personal information collected at these pages,"{""Collection Mode"": {""endIndexInSegment"": 49, ""startIndexInSegment"": 0, ""selectedText"": ""The personal information collected at these pages"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 49, ""startIndexInSegment"": 0, ""selectedText"": ""The personal information collected at these pages"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 24, ""startIndexInSegment"": 4, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": 203, ""startIndexInSegment"": 0, ""selectedText"": ""The personal information collected at these pages are used to identify you as a user of the site, to track your usage of interactive features, and to communicate with you regarding site news and updates."", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 203, ""startIndexInSegment"": 59, ""selectedText"": ""to identify you as a user of the site, to track your usage of interactive features, and to communicate with you regarding site news and updates."", ""value"": ""Basic service/feature""}}",0,49
14,4135,3636,2,First Party Collection/Use,0,The personal information collected at these pages,"{""Collection Mode"": {""endIndexInSegment"": 49, ""startIndexInSegment"": 0, ""selectedText"": ""The personal information collected at these pages"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 49, ""startIndexInSegment"": 0, ""selectedText"": ""The personal information collected at these pages"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 24, ""startIndexInSegment"": 4, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": 203, ""startIndexInSegment"": 0, ""selectedText"": ""The personal information collected at these pages are used to identify you as a user of the site, to track your usage of interactive features, and to communicate with you regarding site news and updates."", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 203, ""startIndexInSegment"": 59, ""selectedText"": ""to identify you as a user of the site, to track your usage of interactive features, and to communicate with you regarding site news and updates."", ""value"": ""Basic service/feature""}}",0,49
15,4135,3636,2,First Party Collection/Use,0,"The personal information collected at these pages are used to identify you as a user of the site, to track your usage of interactive features, and to communicate with you regarding site news and updates.","{""Collection Mode"": {""endIndexInSegment"": 49, ""startIndexInSegment"": 0, ""selectedText"": ""The personal information collected at these pages"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 49, ""startIndexInSegment"": 0, ""selectedText"": ""The personal information collected at these pages"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 24, ""startIndexInSegment"": 4, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": 203, ""startIndexInSegment"": 0, ""selectedText"": ""The personal information collected at these pages are used to identify you as a user of the site, to track your usage of interactive features, and to communicate with you regarding site news and updates."", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 203, ""startIndexInSegment"": 59, ""selectedText"": ""to identify you as a user of the site, to track your usage of interactive features, and to communicate with you regarding site news and updates."", ""value"": ""Basic service/feature""}}",0,203
16,4136,3636,2,Third Party Sharing/Collection,1,We do not share this information with outside parties unless otherwise noted at the time of data entry.,"{""Third Party Entity"": {""endIndexInSegment"": 431, ""startIndexInSegment"": 328, ""selectedText"": ""We do not share this information with outside parties unless otherwise noted at the time of data entry."", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 24, ""startIndexInSegment"": 4, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": 431, ""startIndexInSegment"": 382, ""selectedText"": ""unless otherwise noted at the time of data entry."", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": 24, ""startIndexInSegment"": 4, ""selectedText"": ""personal information"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 431, ""startIndexInSegment"": 328, ""selectedText"": ""We do not share this information with outside parties unless otherwise noted at the time of data entry."", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 343, ""startIndexInSegment"": 328, ""selectedText"": ""We do not share"", ""value"": ""Receive/Shared with""}}",328,431
17,4136,3636,2,Third Party Sharing/Collection,1,We do not share,"{""Third Party Entity"": {""endIndexInSegment"": 431, ""startIndexInSegment"": 328, ""selectedText"": ""We do not share this information with outside parties unless otherwise noted at the time of data entry."", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 24, ""startIndexInSegment"": 4, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": 431, ""startIndexInSegment"": 382, ""selectedText"": ""unless otherwise noted at the time of data entry."", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": 24, ""startIndexInSegment"": 4, ""selectedText"": ""personal information"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 431, ""startIndexInSegment"": 328, ""selectedText"": ""We do not share this information with outside parties unless otherwise noted at the time of data entry."", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 343, ""startIndexInSegment"": 328, ""selectedText"": ""We do not share"", ""value"": ""Receive/Shared with""}}",328,343
