,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C2134,3725,0,Introductory/Generic,9,Privacy Policy,"{""Other Type"": {""endIndexInSegment"": 14, ""startIndexInSegment"": 0, ""selectedText"": ""Privacy Policy"", ""value"": ""Introductory/Generic""}}",0,14
1,C2135,3725,1,Policy Change,6,"Last updated: August 26, 2014","{""Change Type"": {""endIndexInSegment"": 29, ""startIndexInSegment"": 0, ""selectedText"": ""Last updated: August 26, 2014"", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 29, ""startIndexInSegment"": 0, ""selectedText"": ""Last updated: August 26, 2014"", ""value"": ""General notice in privacy policy""}}",0,29
2,5155,3725,1,Introductory/Generic,9,"Last updated: August 26, 2014","{""Other Type"": {""endIndexInSegment"": 29, ""startIndexInSegment"": 0, ""selectedText"": ""Last updated: August 26, 2014"", ""value"": ""Introductory/Generic""}}",0,29
3,C2136,3725,2,Introductory/Generic,9,"Commitment to Privacy Hat World values your time, respects your privacy, and seeks to earn your trust.","{""Other Type"": {""endIndexInSegment"": 116, ""startIndexInSegment"": 4, ""selectedText"": ""Commitment to Privacy Hat World values your time, respects your privacy, and seeks to earn your trust."", ""value"": ""Introductory/Generic""}}",4,116
4,5157,3725,3,First Party Collection/Use,0,through the Sites,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 68, ""startIndexInSegment"": 51, ""selectedText"": ""through the Sites"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 10, ""startIndexInSegment"": 3, ""selectedText"": ""collect"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 130, ""startIndexInSegment"": 123, ""selectedText"": ""improve"", ""value"": ""Personalization/Customization""}}",51,68
5,5157,3725,3,First Party Collection/Use,0,collect,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 68, ""startIndexInSegment"": 51, ""selectedText"": ""through the Sites"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 10, ""startIndexInSegment"": 3, ""selectedText"": ""collect"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 130, ""startIndexInSegment"": 123, ""selectedText"": ""improve"", ""value"": ""Personalization/Customization""}}",3,10
6,5158,3725,3,Third Party Sharing/Collection,1,third parties t,"{""Third Party Entity"": {""endIndexInSegment"": 484, ""startIndexInSegment"": 469, ""selectedText"": ""third parties t"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 591, ""startIndexInSegment"": 550, ""selectedText"": ""to offer a particular product or service."", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 389, ""startIndexInSegment"": 386, ""selectedText"": ""may"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 395, ""startIndexInSegment"": 390, ""selectedText"": ""share"", ""value"": ""Receive/Shared with""}}",469,484
7,5158,3725,3,Third Party Sharing/Collection,1,share,"{""Third Party Entity"": {""endIndexInSegment"": 484, ""startIndexInSegment"": 469, ""selectedText"": ""third parties t"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 591, ""startIndexInSegment"": 550, ""selectedText"": ""to offer a particular product or service."", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 389, ""startIndexInSegment"": 386, ""selectedText"": ""may"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 395, ""startIndexInSegment"": 390, ""selectedText"": ""share"", ""value"": ""Receive/Shared with""}}",390,395
8,5158,3725,3,Third Party Sharing/Collection,1,may,"{""Third Party Entity"": {""endIndexInSegment"": 484, ""startIndexInSegment"": 469, ""selectedText"": ""third parties t"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 591, ""startIndexInSegment"": 550, ""selectedText"": ""to offer a particular product or service."", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 389, ""startIndexInSegment"": 386, ""selectedText"": ""may"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 395, ""startIndexInSegment"": 390, ""selectedText"": ""share"", ""value"": ""Receive/Shared with""}}",386,389
9,6232,3725,3,Third Party Sharing/Collection,1,"As described in this policy, we may share your information among our brands","{""Third Party Entity"": {""endIndexInSegment"": 429, ""startIndexInSegment"": 354, ""selectedText"": ""As described in this policy, we may share your information among our brands"", ""value"": ""Other part of company/affiliate""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 429, ""startIndexInSegment"": 354, ""selectedText"": ""As described in this policy, we may share your information among our brands"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 429, ""startIndexInSegment"": 354, ""selectedText"": ""As described in this policy, we may share your information among our brands"", ""value"": ""Receive/Shared with""}}",354,429
