,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C2479,3623,0,Introductory/Generic,9,"The Walt Disney Company has a rich tradition of bringing great stories, characters and experiences to our guests around the world, and our sites and applications are createdto entertain and connect guests with the best that we have to offer on the platforms and devices our guests prefer.","{""Other Type"": {""endIndexInSegment"": 332, ""startIndexInSegment"": 44, ""selectedText"": ""The Walt Disney Company has a rich tradition of bringing great stories, characters and experiences to our guests around the world, and our sites and applications are createdto entertain and connect guests with the best that we have to offer on the platforms and devices our guests prefer."", ""value"": ""Introductory/Generic""}}",44,332
1,C2480,3623,1,Introductory/Generic,9,"Our privacy policy is designed to provide transparency into our privacy practices and principles, in a format that our guests can navigate, read and understand. We are dedicated to treating your personal information with care and respect.","{""Other Type"": {""endIndexInSegment"": 238, ""startIndexInSegment"": 0, ""selectedText"": ""Our privacy policy is designed to provide transparency into our privacy practices and principles, in a format that our guests can navigate, read and understand. We are dedicated to treating your personal information with care and respect."", ""value"": ""Introductory/Generic""}}",0,238
2,276,3623,1,Data Security,5,treating your personal information with care and respect.,"{""Security Measure"": {""endIndexInSegment"": 238, ""startIndexInSegment"": 181, ""selectedText"": ""treating your personal information with care and respect."", ""value"": ""Generic""}}",181,238
3,C2481,3623,2,Policy Change,6,"Last Modified: June 19, 2015","{""Change Type"": {""endIndexInSegment"": 72, ""startIndexInSegment"": 44, ""selectedText"": ""Last Modified: June 19, 2015"", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 72, ""startIndexInSegment"": 44, ""selectedText"": ""Last Modified: June 19, 2015"", ""value"": ""General notice in privacy policy""}}",44,72
4,C2482,3623,2,Introductory/Generic,9,"Last Modified: June 19, 2015","{""Other Type"": {""endIndexInSegment"": 72, ""startIndexInSegment"": 44, ""selectedText"": ""Last Modified: June 19, 2015"", ""value"": ""Introductory/Generic""}}",44,72
5,C2483,3623,3,Introductory/Generic,9,"This privacy policy describes the treatment of information provided or collected on the sites where this privacy policy is posted. It also explains the treatment of information provided or collected on applications we make available on third-party sites or platforms if disclosed to you in connection with use of the application. We follow this privacy policy in accordance with local law in the places where we operate. Types of Information We Collect How We Collect Your Information Use of Your Information by The Walt Disney Family of Companies Sharing Your Information with Other Companies Your Controls and Choices Childrens Privacy Data Security, Integrity and Retention Data Transfers, Storage and Processing Globally Changes to this Privacy Policy Comments and Questions","{""Other Type"": {""endIndexInSegment"": 974, ""startIndexInSegment"": 0, ""selectedText"": ""This privacy policy describes the treatment of information provided or collected on the sites where this privacy policy is posted. It also explains the treatment of information provided or collected on applications we make available on third-party sites or platforms if disclosed to you in connection with use of the application. We follow this privacy policy in accordance with local law in the places where we operate. Types of Information We Collect How We Collect Your Information Use of Your Information by The Walt Disney Family of Companies Sharing Your Information with Other Companies Your Controls and Choices Childrens Privacy Data Security, Integrity and Retention Data Transfers, Storage and Processing Globally Changes to this Privacy Policy Comments and Questions"", ""value"": ""Introductory/Generic""}}",0,974
6,C2484,3623,4,First Party Collection/Use,0,We collect two basic types of information personal information,"{""Collection Mode"": {""endIndexInSegment"": 126, ""startIndexInSegment"": 64, ""selectedText"": ""We collect two basic types of information personal information"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 126, ""startIndexInSegment"": 64, ""selectedText"": ""We collect two basic types of information personal information"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 126, ""startIndexInSegment"": 106, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 126, ""startIndexInSegment"": 106, ""selectedText"": ""personal information"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 126, ""startIndexInSegment"": 64, ""selectedText"": ""We collect two basic types of information personal information"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",64,126
7,C2484,3623,4,First Party Collection/Use,0,We collect two basic types of information personal information,"{""Collection Mode"": {""endIndexInSegment"": 126, ""startIndexInSegment"": 64, ""selectedText"": ""We collect two basic types of information personal information"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 126, ""startIndexInSegment"": 64, ""selectedText"": ""We collect two basic types of information personal information"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 126, ""startIndexInSegment"": 106, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 126, ""startIndexInSegment"": 106, ""selectedText"": ""personal information"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 126, ""startIndexInSegment"": 64, ""selectedText"": ""We collect two basic types of information personal information"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",64,126
8,C2484,3623,4,First Party Collection/Use,0,We collect two basic types of information personal information,"{""Collection Mode"": {""endIndexInSegment"": 126, ""startIndexInSegment"": 64, ""selectedText"": ""We collect two basic types of information personal information"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 126, ""startIndexInSegment"": 64, ""selectedText"": ""We collect two basic types of information personal information"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 126, ""startIndexInSegment"": 106, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 126, ""startIndexInSegment"": 106, ""selectedText"": ""personal information"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 126, ""startIndexInSegment"": 64, ""selectedText"": ""We collect two basic types of information personal information"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",64,126
9,279,3623,4,First Party Collection/Use,0,We,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 105, ""startIndexInSegment"": 94, ""selectedText"": ""information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 114, ""startIndexInSegment"": 106, ""selectedText"": ""personal"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 66, ""startIndexInSegment"": 64, ""selectedText"": ""We"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",64,66
