,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C3905,3622,0,Introductory/Generic,9,"Published: January 1, 2015","{""Other Type"": {""endIndexInSegment"": 26, ""startIndexInSegment"": 0, ""selectedText"": ""Published: January 1, 2015"", ""value"": ""Introductory/Generic""}}",0,26
1,C3906,3622,1,Introductory/Generic,9,"The WP Company LLC (The Washington Post) recognizes the importance of protecting the privacy of your personal information, and we have prepared this Privacy Policy to provide you with important information about our privacy practices. This Privacy Policy applies when you use a website, mobile or tablet application, or other online service (collectively, the Services) that links or refers to it.","{""Other Type"": {""endIndexInSegment"": 397, ""startIndexInSegment"": 0, ""selectedText"": ""The WP Company LLC (The Washington Post) recognizes the importance of protecting the privacy of your personal information, and we have prepared this Privacy Policy to provide you with important information about our privacy practices. This Privacy Policy applies when you use a website, mobile or tablet application, or other online service (collectively, the Services) that links or refers to it."", ""value"": ""Introductory/Generic""}}",0,397
2,1012,3622,1,Practice not covered,10,It does not govern or apply to information collected or used by WP Company LLC through other means.,"{""Other Type"": {""endIndexInSegment"": 497, ""startIndexInSegment"": 398, ""selectedText"": ""It does not govern or apply to information collected or used by WP Company LLC through other means."", ""value"": ""Practice not covered""}}",398,497
3,C3907,3622,2,Introductory/Generic,9,This Privacy Policy covers the following: How We Use Information Sharing of Information Links to Third Party Sites Data Security How to Access or Update Your Information Changes to this Privacy Policy Other Important Information,"{""Other Type"": {""endIndexInSegment"": 298, ""startIndexInSegment"": 0, ""selectedText"": ""This Privacy Policy covers the following: How We Use Information Sharing of Information Links to Third Party Sites Data Security How to Access or Update Your Information Changes to this Privacy Policy Other Important Information"", ""value"": ""Introductory/Generic""}}",0,298
4,191,3622,2,Introductory/Generic,9,This Privacy Policy covers the following:,"{""Other Type"": {""endIndexInSegment"": 41, ""startIndexInSegment"": 0, ""selectedText"": ""This Privacy Policy covers the following:"", ""value"": ""Introductory/Generic""}}",0,41
5,192,3622,3,First Party Collection/Use,0,col,"{""Collection Mode"": {""endIndexInSegment"": 62, ""startIndexInSegment"": 59, ""selectedText"": ""col"", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 87, ""startIndexInSegment"": 67, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 54, ""startIndexInSegment"": 52, ""selectedText"": ""We"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",59,62
6,192,3622,3,First Party Collection/Use,0,We,"{""Collection Mode"": {""endIndexInSegment"": 62, ""startIndexInSegment"": 59, ""selectedText"": ""col"", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 87, ""startIndexInSegment"": 67, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 54, ""startIndexInSegment"": 52, ""selectedText"": ""We"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",52,54
7,193,3622,3,First Party Collection/Use,0,col,"{""Collection Mode"": {""endIndexInSegment"": 62, ""startIndexInSegment"": 59, ""selectedText"": ""col"", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 310, ""startIndexInSegment"": 284, ""selectedText"": ""publicly available sources"", ""value"": ""Receive from other service/third-party (unnamed)""}, ""Personal Information Type"": {""endIndexInSegment"": 87, ""startIndexInSegment"": 67, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 54, ""startIndexInSegment"": 52, ""selectedText"": ""We"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",59,62
8,193,3622,3,First Party Collection/Use,0,publicly available sources,"{""Collection Mode"": {""endIndexInSegment"": 62, ""startIndexInSegment"": 59, ""selectedText"": ""col"", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 310, ""startIndexInSegment"": 284, ""selectedText"": ""publicly available sources"", ""value"": ""Receive from other service/third-party (unnamed)""}, ""Personal Information Type"": {""endIndexInSegment"": 87, ""startIndexInSegment"": 67, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 54, ""startIndexInSegment"": 52, ""selectedText"": ""We"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",284,310
9,193,3622,3,First Party Collection/Use,0,We,"{""Collection Mode"": {""endIndexInSegment"": 62, ""startIndexInSegment"": 59, ""selectedText"": ""col"", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 310, ""startIndexInSegment"": 284, ""selectedText"": ""publicly available sources"", ""value"": ""Receive from other service/third-party (unnamed)""}, ""Personal Information Type"": {""endIndexInSegment"": 87, ""startIndexInSegment"": 67, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 54, ""startIndexInSegment"": 52, ""selectedText"": ""We"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",52,54
