,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C2660,3630,0,Introductory/Generic,9,"This Privacy Policy covers all of the sites on the Kinja platform, which is created and owned by Kinja KFT (""Kinja"", ""us"" or ""we""). The Privacy Policy governs your access to and use of the services, websites, and applications offered by Kinja (the ""Services""). Please read this statement carefully before using or proceeding to access Kinja. Your use of Kinja indicates that you have read and understood this Privacy Policy and indicates your agreement to abide by the Terms of Use in effect and to be subject to this policy.","{""Other Type"": {""endIndexInSegment"": 614, ""startIndexInSegment"": 89, ""selectedText"": ""This Privacy Policy covers all of the sites on the Kinja platform, which is created and owned by Kinja KFT (\""Kinja\"", \""us\"" or \""we\""). The Privacy Policy governs your access to and use of the services, websites, and applications offered by Kinja (the \""Services\""). Please read this statement carefully before using or proceeding to access Kinja. Your use of Kinja indicates that you have read and understood this Privacy Policy and indicates your agreement to abide by the Terms of Use in effect and to be subject to this policy."", ""value"": ""Introductory/Generic""}}",89,614
1,C2661,3630,1,First Party Collection/Use,0,collect,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 89, ""startIndexInSegment"": 82, ""selectedText"": ""collect"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 154, ""startIndexInSegment"": 55, ""selectedText"": ""Kinja or third parties may collect information from our users at several different points on Kinja."", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",82,89
2,C2661,3630,1,First Party Collection/Use,0,Kinja or third parties may collect information from our users at several different points on Kinja.,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 89, ""startIndexInSegment"": 82, ""selectedText"": ""collect"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 154, ""startIndexInSegment"": 55, ""selectedText"": ""Kinja or third parties may collect information from our users at several different points on Kinja."", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",55,154
3,C2662,3630,1,Third Party Sharing/Collection,1,third parties,"{""Third Party Entity"": {""endIndexInSegment"": 77, ""startIndexInSegment"": 64, ""selectedText"": ""third parties"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 101, ""startIndexInSegment"": 90, ""selectedText"": ""information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 89, ""startIndexInSegment"": 78, ""selectedText"": ""may collect"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 154, ""startIndexInSegment"": 64, ""selectedText"": ""third parties may collect information from our users at several different points on Kinja."", ""value"": ""Collect on first party website/app""}}",64,77
4,C2662,3630,1,Third Party Sharing/Collection,1,third parties may collect information from our users at several different points on Kinja.,"{""Third Party Entity"": {""endIndexInSegment"": 77, ""startIndexInSegment"": 64, ""selectedText"": ""third parties"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 101, ""startIndexInSegment"": 90, ""selectedText"": ""information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 89, ""startIndexInSegment"": 78, ""selectedText"": ""may collect"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 154, ""startIndexInSegment"": 64, ""selectedText"": ""third parties may collect information from our users at several different points on Kinja."", ""value"": ""Collect on first party website/app""}}",64,154
5,C2662,3630,1,Third Party Sharing/Collection,1,may collect,"{""Third Party Entity"": {""endIndexInSegment"": 77, ""startIndexInSegment"": 64, ""selectedText"": ""third parties"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 101, ""startIndexInSegment"": 90, ""selectedText"": ""information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 89, ""startIndexInSegment"": 78, ""selectedText"": ""may collect"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 154, ""startIndexInSegment"": 64, ""selectedText"": ""third parties may collect information from our users at several different points on Kinja."", ""value"": ""Collect on first party website/app""}}",78,89
6,2014,3630,1,First Party Collection/Use,0,may,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 81, ""startIndexInSegment"": 78, ""selectedText"": ""may"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",78,81
7,2802,3630,1,Third Party Sharing/Collection,1,third parties may collect information from our users at several different points on Kinja.,"{""Third Party Entity"": {""endIndexInSegment"": 154, ""startIndexInSegment"": 64, ""selectedText"": ""third parties may collect information from our users at several different points on Kinja."", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 89, ""startIndexInSegment"": 64, ""selectedText"": ""third parties may collect"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 89, ""startIndexInSegment"": 64, ""selectedText"": ""third parties may collect"", ""value"": ""Collect on first party website/app""}}",64,154
8,2802,3630,1,Third Party Sharing/Collection,1,third parties may collect,"{""Third Party Entity"": {""endIndexInSegment"": 154, ""startIndexInSegment"": 64, ""selectedText"": ""third parties may collect information from our users at several different points on Kinja."", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 89, ""startIndexInSegment"": 64, ""selectedText"": ""third parties may collect"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 89, ""startIndexInSegment"": 64, ""selectedText"": ""third parties may collect"", ""value"": ""Collect on first party website/app""}}",64,89
9,2802,3630,1,Third Party Sharing/Collection,1,third parties may collect,"{""Third Party Entity"": {""endIndexInSegment"": 154, ""startIndexInSegment"": 64, ""selectedText"": ""third parties may collect information from our users at several different points on Kinja."", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 89, ""startIndexInSegment"": 64, ""selectedText"": ""third parties may collect"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 89, ""startIndexInSegment"": 64, ""selectedText"": ""third parties may collect"", ""value"": ""Collect on first party website/app""}}",64,89
