,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C442,3867,0,Introductory/Generic,9,"Last Updated on June 10, 2015","{""Other Type"": {""selectedText"": ""Last Updated on June 10, 2015"", ""startIndexInSegment"": 44, ""endIndexInSegment"": 73, ""value"": ""Introductory/Generic""}}",44,73
1,16927,3867,0,Policy Change,6,"Last Updated on June 10, 2015","{""Change Type"": {""selectedText"": ""Last Updated on June 10, 2015"", ""startIndexInSegment"": 44, ""endIndexInSegment"": 73, ""value"": ""Unspecified""}, ""User Choice"": {""selectedText"": ""Last Updated on June 10, 2015"", ""startIndexInSegment"": 44, ""endIndexInSegment"": 78, ""value"": ""Unspecified""}, ""Notification Type"": {""selectedText"": ""Last Updated on June 10, 2015"", ""startIndexInSegment"": 44, ""endIndexInSegment"": 78, ""value"": ""General notice in privacy policy""}}",44,73
2,C443,3867,1,Introductory/Generic,9,"This Privacy Policy discloses the privacy practices for The New York Times newspaper and NYTimes.com (including international.nytimes.com, the online edition of The International New York Times), The New York Times Home Delivery website, The New York Times Neediest Cases Fund, The New York Times Store, Times Journeys and The New York Times Learning Network, our email newsletters and other applications owned and operated by The New York Times Company (collectively referred to as the ""NYT Services""), and to any services that display this notice. For the purposes of this Privacy Policy, unless otherwise noted, all references to ""The New York Times"" include NYTimes.com and The New York Times newspaper.","{""Other Type"": {""selectedText"": ""This Privacy Policy discloses the privacy practices for The New York Times newspaper and NYTimes.com (including international.nytimes.com, the online edition of The International New York Times), The New York Times Home Delivery website, The New York Times Neediest Cases Fund, The New York Times Store, Times Journeys and The New York Times Learning Network, our email newsletters and other applications owned and operated by The New York Times Company (collectively referred to as the \""NYT Services\""), and to any services that display this notice. For the purposes of this Privacy Policy, unless otherwise noted, all references to \""The New York Times\"" include NYTimes.com and The New York Times newspaper."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 707, ""value"": ""Introductory/Generic""}}",0,707
3,C444,3867,2,Other,0,"The New York Times Replica Edition, maintained by NewspaperDirect, is governed by its own Privacy Policy.","{""Other Type"": {""selectedText"": ""The New York Times Replica Edition, maintained by NewspaperDirect, is governed by its own Privacy Policy."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 110, ""value"": ""Other""}}",0,110
4,C445,3867,3,Other,0,"The New York Times advertising portal, for advertisers of The Times, also maintains a separate Privacy Policy.","{""Other Type"": {""selectedText"": ""The New York Times advertising portal, for advertisers of The Times, also maintains a separate Privacy Policy."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 110, ""value"": ""Other""}}",0,110
5,C446,3867,4,Other,0,The NYT Services may contain links to other websites for your convenience and information. We are not responsible for the privacy practices or the content of those sites.,"{""Other Type"": {""selectedText"": ""The NYT Services may contain links to other websites for your convenience and information. We are not responsible for the privacy practices or the content of those sites."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 175, ""value"": ""Other""}}",0,175
6,C447,3867,5,Introductory/Generic,9,This Privacy Policy covers: What information do we gather about you- What do we do with the information we collect about you- With whom do we share the information that we gather- What is our email policy- How do I change or update my personal information- How do I opt-out from receiving emails- Is my information protected- Compliance With Legal Process Children's Guidelines Your California Privacy Rights Changes to This Privacy Policy,"{""Other Type"": {""selectedText"": ""This Privacy Policy covers: What information do we gather about you- What do we do with the information we collect about you- With whom do we share the information that we gather- What is our email policy- How do I change or update my personal information- How do I opt-out from receiving emails- Is my information protected- Compliance With Legal Process Children's Guidelines Your California Privacy Rights Changes to This Privacy Policy"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 499, ""value"": ""Introductory/Generic""}}",0,499
7,C448,3867,6,Other,0,TRUSTe : The New York Times has received TRUSTe's Privacy Seal signifying that this privacy statement and our practices have been reviewed for compliance with the TRUSTe program viewable on the validation page available by clicking the TRUSTe seal.,"{""Other Type"": {""selectedText"": ""TRUSTe : The New York Times has received TRUSTe's Privacy Seal signifying that this privacy statement and our practices have been reviewed for compliance with the TRUSTe program viewable on the validation page available by clicking the TRUSTe seal."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 248, ""value"": ""Other""}}",0,248
8,18234,3867,6,Data Security,5,TRUSTe : The New York Times has received TRUSTe's Privacy Seal signifying that this privacy statement and our practices have been reviewed for compliance with the TRUSTe program viewable on the validation page available by clicking the TRUSTe seal,"{""Security Measure"": {""selectedText"": ""TRUSTe : The New York Times has received TRUSTe's Privacy Seal signifying that this privacy statement and our practices have been reviewed for compliance with the TRUSTe program viewable on the validation page available by clicking the TRUSTe seal"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 247, ""value"": ""Privacy/Security program""}}",0,247
9,C449,3867,7,Privacy contact information,11,"If you have an unresolved privacy or data use concern that we have not addressed satisfactorily, please contact TRUSTe at https://feedback-form.truste.com/watchdog/request.","{""Other Type"": {""selectedText"": ""If you have an unresolved privacy or data use concern that we have not addressed satisfactorily, please contact TRUSTe at https://feedback-form.truste.com/watchdog/request."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 172, ""value"": ""Privacy contact information""}}",0,172
