,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C3246,3726,0,Introductory/Generic,9,Table of Contents,"{""Other Type"": {""endIndexInSegment"": 107, ""startIndexInSegment"": 90, ""selectedText"": ""Table of Contents"", ""value"": ""Introductory/Generic""}}",90,107
1,7031,3726,0,Introductory/Generic,9,"Essence PRIVACY POLICY Table of Contents The Information We Collect How We Use the Information Privacy Options Your California Privacy Rights: Notice to California Customers Collection of Information by Third-Party Sites and Sponsors Cookies Our Commitment to Security Accessing, Correcting, and Deleting Your Personal Information Retention of Personal Information Special Note for Parents Changes to this Privacy Policy How to Contact Us Safe Harbor Privacy Policy European Union Privacy Information For citizens of member countries of the European Union, and Switzerland, Norway, Lichtenstein, Iceland, Australia, and New Zealand Canada Privacy Information","{""Other Type"": {""endIndexInSegment"": 895, ""startIndexInSegment"": 9, ""selectedText"": ""Essence PRIVACY POLICY Table of Contents The Information We Collect How We Use the Information Privacy Options Your California Privacy Rights: Notice to California Customers Collection of Information by Third-Party Sites and Sponsors Cookies Our Commitment to Security Accessing, Correcting, and Deleting Your Personal Information Retention of Personal Information Special Note for Parents Changes to this Privacy Policy How to Contact Us Safe Harbor Privacy Policy European Union Privacy Information For citizens of member countries of the European Union, and Switzerland, Norway, Lichtenstein, Iceland, Australia, and New Zealand Canada Privacy Information"", ""value"": ""Introductory/Generic""}}",9,895
2,7032,3726,1,Introductory/Generic,9,"This is the Privacy Policy which applies to you if you live outside the European Union, Switzerland, Norway, Lichtenstein, Iceland, Australia, New Zealand, and Canada.","{""Other Type"": {""endIndexInSegment"": 167, ""startIndexInSegment"": 0, ""selectedText"": ""This is the Privacy Policy which applies to you if you live outside the European Union, Switzerland, Norway, Lichtenstein, Iceland, Australia, New Zealand, and Canada."", ""value"": ""Introductory/Generic""}}",0,167
3,C3248,3726,2,Introductory/Generic,9,"Thank you for visiting Essence, or using our mobile device applications (the ""Apps"") or other services (together with the Apps, the ""Services""), Services within the network of Time Inc. and its subsidiaries, each of which have adopted this Privacy Policy. Your privacy is important to us. To better protect your privacy, we provide this notice explaining our information practices and the choices you can make about the way your information is collected and used by Time Inc. and its subsidiaries. Click here for a list of the sites of Time Inc. and its subsidiaries which are governed by this Privacy Notice.","{""Other Type"": {""endIndexInSegment"": 609, ""startIndexInSegment"": 0, ""selectedText"": ""Thank you for visiting Essence, or using our mobile device applications (the \""Apps\"") or other services (together with the Apps, the \""Services\""), Services within the network of Time Inc. and its subsidiaries, each of which have adopted this Privacy Policy. Your privacy is important to us. To better protect your privacy, we provide this notice explaining our information practices and the choices you can make about the way your information is collected and used by Time Inc. and its subsidiaries. Click here for a list of the sites of Time Inc. and its subsidiaries which are governed by this Privacy Notice."", ""value"": ""Introductory/Generic""}}",0,609
4,5227,3726,3,First Party Collection/Use,0,"order publications and products; engage in various activities like entering contests or sweepstakes, playing games, taking quizzes, voting in polls or otherwise expressing an opinion; subscribe to one of our services, such as newsletters; or participate in one of our online forums or communitie","{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 418, ""startIndexInSegment"": 123, ""selectedText"": ""order publications and products; engage in various activities like entering contests or sweepstakes, playing games, taking quizzes, voting in polls or otherwise expressing an opinion; subscribe to one of our services, such as newsletters; or participate in one of our online forums or communitie"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 461, ""startIndexInSegment"": 426, ""selectedText"": ""personally identifiable information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 449, ""startIndexInSegment"": 437, ""selectedText"": ""identifiable"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 465, ""startIndexInSegment"": 462, ""selectedText"": ""may"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": 717, ""startIndexInSegment"": 713, ""selectedText"": ""name"", ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 580, ""startIndexInSegment"": 481, ""selectedText"": ""engage in these activities as well as to receive products and services that you may have requested."", ""value"": ""Basic service/feature""}}",123,418
5,5227,3726,3,First Party Collection/Use,0,may,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 418, ""startIndexInSegment"": 123, ""selectedText"": ""order publications and products; engage in various activities like entering contests or sweepstakes, playing games, taking quizzes, voting in polls or otherwise expressing an opinion; subscribe to one of our services, such as newsletters; or participate in one of our online forums or communitie"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 461, ""startIndexInSegment"": 426, ""selectedText"": ""personally identifiable information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 449, ""startIndexInSegment"": 437, ""selectedText"": ""identifiable"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 465, ""startIndexInSegment"": 462, ""selectedText"": ""may"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": 717, ""startIndexInSegment"": 713, ""selectedText"": ""name"", ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 580, ""startIndexInSegment"": 481, ""selectedText"": ""engage in these activities as well as to receive products and services that you may have requested."", ""value"": ""Basic service/feature""}}",462,465
6,5228,3726,3,First Party Collection/Use,0,"order publications and products; engage in various activities like entering contests or sweepstakes, playing games, taking quizzes, voting in polls or otherwise expressing an opinion; subscribe to one of our services, such as newsletters; or participate in one of our online forums or communitie","{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 418, ""startIndexInSegment"": 123, ""selectedText"": ""order publications and products; engage in various activities like entering contests or sweepstakes, playing games, taking quizzes, voting in polls or otherwise expressing an opinion; subscribe to one of our services, such as newsletters; or participate in one of our online forums or communitie"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 717, ""startIndexInSegment"": 713, ""selectedText"": ""name"", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 449, ""startIndexInSegment"": 437, ""selectedText"": ""identifiable"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 465, ""startIndexInSegment"": 462, ""selectedText"": ""may"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": 717, ""startIndexInSegment"": 713, ""selectedText"": ""name"", ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 580, ""startIndexInSegment"": 481, ""selectedText"": ""engage in these activities as well as to receive products and services that you may have requested."", ""value"": ""Basic service/feature""}}",123,418
7,5228,3726,3,First Party Collection/Use,0,may,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 418, ""startIndexInSegment"": 123, ""selectedText"": ""order publications and products; engage in various activities like entering contests or sweepstakes, playing games, taking quizzes, voting in polls or otherwise expressing an opinion; subscribe to one of our services, such as newsletters; or participate in one of our online forums or communitie"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 717, ""startIndexInSegment"": 713, ""selectedText"": ""name"", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 449, ""startIndexInSegment"": 437, ""selectedText"": ""identifiable"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 465, ""startIndexInSegment"": 462, ""selectedText"": ""may"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": 717, ""startIndexInSegment"": 713, ""selectedText"": ""name"", ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 580, ""startIndexInSegment"": 481, ""selectedText"": ""engage in these activities as well as to receive products and services that you may have requested."", ""value"": ""Basic service/feature""}}",462,465
8,5229,3726,3,First Party Collection/Use,0,"order publications and products; engage in various activities like entering contests or sweepstakes, playing games, taking quizzes, voting in polls or otherwise expressing an opinion; subscribe to one of our services, such as newsletters; or participate in one of our online forums or communitie","{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 418, ""startIndexInSegment"": 123, ""selectedText"": ""order publications and products; engage in various activities like entering contests or sweepstakes, playing games, taking quizzes, voting in polls or otherwise expressing an opinion; subscribe to one of our services, such as newsletters; or participate in one of our online forums or communitie"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 726, ""startIndexInSegment"": 719, ""selectedText"": ""address"", ""value"": ""Location""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 449, ""startIndexInSegment"": 437, ""selectedText"": ""identifiable"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 465, ""startIndexInSegment"": 462, ""selectedText"": ""may"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": 717, ""startIndexInSegment"": 713, ""selectedText"": ""name"", ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 580, ""startIndexInSegment"": 481, ""selectedText"": ""engage in these activities as well as to receive products and services that you may have requested."", ""value"": ""Basic service/feature""}}",123,418
9,5229,3726,3,First Party Collection/Use,0,may,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 418, ""startIndexInSegment"": 123, ""selectedText"": ""order publications and products; engage in various activities like entering contests or sweepstakes, playing games, taking quizzes, voting in polls or otherwise expressing an opinion; subscribe to one of our services, such as newsletters; or participate in one of our online forums or communitie"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 726, ""startIndexInSegment"": 719, ""selectedText"": ""address"", ""value"": ""Location""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 449, ""startIndexInSegment"": 437, ""selectedText"": ""identifiable"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 465, ""startIndexInSegment"": 462, ""selectedText"": ""may"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": 717, ""startIndexInSegment"": 713, ""selectedText"": ""name"", ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 580, ""startIndexInSegment"": 481, ""selectedText"": ""engage in these activities as well as to receive products and services that you may have requested."", ""value"": ""Basic service/feature""}}",462,465
