,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C3308,3632,0,Introductory/Generic,9,"PRIVACY POLICY Freedom Communications, Inc. (Freedom) has agreed to sell the assets of the Lima News, Sedalia Democrat, Jacksonville Journal Courier and Alton Telegraph (the Properties) to an affiliate of Ohio Community Media, an Ohio-based publisher of community newspapers. This affiliate, called Testor FCI Acquisition, LLC (Publisher), plans to continue the Properties operations uninterrupted after the sale to provide readers with high quality local news services.","{""Other Type"": {""endIndexInSegment"": 470, ""startIndexInSegment"": 0, ""selectedText"": ""PRIVACY POLICY Freedom Communications, Inc. (Freedom) has agreed to sell the assets of the Lima News, Sedalia Democrat, Jacksonville Journal Courier and Alton Telegraph (the Properties) to an affiliate of Ohio Community Media, an Ohio-based publisher of community newspapers. This affiliate, called Testor FCI Acquisition, LLC (Publisher), plans to continue the Properties operations uninterrupted after the sale to provide readers with high quality local news services."", ""value"": ""Introductory/Generic""}}",0,470
1,2398,3632,1,Third Party Sharing/Collection,1,Freedom will be transferring to Publisher customer data collected from users of the Properties websites.,"{""Third Party Entity"": {""endIndexInSegment"": 126, ""startIndexInSegment"": 22, ""selectedText"": ""Freedom will be transferring to Publisher customer data collected from users of the Properties websites."", ""value"": ""Named third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 20, ""startIndexInSegment"": 16, ""selectedText"": ""sale"", ""value"": ""Merger/Acquisition""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 37, ""startIndexInSegment"": 30, ""selectedText"": ""will be"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 50, ""startIndexInSegment"": 38, ""selectedText"": ""transferring"", ""value"": ""Receive/Shared with""}}",22,126
2,2398,3632,1,Third Party Sharing/Collection,1,transferring,"{""Third Party Entity"": {""endIndexInSegment"": 126, ""startIndexInSegment"": 22, ""selectedText"": ""Freedom will be transferring to Publisher customer data collected from users of the Properties websites."", ""value"": ""Named third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 20, ""startIndexInSegment"": 16, ""selectedText"": ""sale"", ""value"": ""Merger/Acquisition""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 37, ""startIndexInSegment"": 30, ""selectedText"": ""will be"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 50, ""startIndexInSegment"": 38, ""selectedText"": ""transferring"", ""value"": ""Receive/Shared with""}}",38,50
3,2398,3632,1,Third Party Sharing/Collection,1,will be,"{""Third Party Entity"": {""endIndexInSegment"": 126, ""startIndexInSegment"": 22, ""selectedText"": ""Freedom will be transferring to Publisher customer data collected from users of the Properties websites."", ""value"": ""Named third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 20, ""startIndexInSegment"": 16, ""selectedText"": ""sale"", ""value"": ""Merger/Acquisition""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 37, ""startIndexInSegment"": 30, ""selectedText"": ""will be"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 50, ""startIndexInSegment"": 38, ""selectedText"": ""transferring"", ""value"": ""Receive/Shared with""}}",30,37
4,3253,3632,1,Practice not covered,10,"Customer data transferred to Publisher will be held and maintained by Publisher pursuant to Publishers respective privacy policies, which can be found at the following: http://lima.ohcommedia.com, http://sedalia.ohcommedia.com, http://jacksonville.ohcommedia.com and http://alton.ohcommedia.com.","{""Other Type"": {""endIndexInSegment"": 422, ""startIndexInSegment"": 127, ""selectedText"": ""Customer data transferred to Publisher will be held and maintained by Publisher pursuant to Publishers respective privacy policies, which can be found at the following: http://lima.ohcommedia.com, http://sedalia.ohcommedia.com, http://jacksonville.ohcommedia.com and http://alton.ohcommedia.com."", ""value"": ""Practice not covered""}}",127,422
5,3254,3632,1,Third Party Sharing/Collection,1,"As part of this sale, Freedom will be transferring to Publisher customer data collected from users of the Properties websites.","{""Third Party Entity"": {""endIndexInSegment"": 126, ""startIndexInSegment"": 0, ""selectedText"": ""As part of this sale, Freedom will be transferring to Publisher customer data collected from users of the Properties websites."", ""value"": ""Named third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 20, ""startIndexInSegment"": 0, ""selectedText"": ""As part of this sale"", ""value"": ""Merger/Acquisition""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 77, ""startIndexInSegment"": 22, ""selectedText"": ""Freedom will be transferring to Publisher customer data"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 77, ""startIndexInSegment"": 22, ""selectedText"": ""Freedom will be transferring to Publisher customer data"", ""value"": ""Receive/Shared with""}}",0,126
6,3254,3632,1,Third Party Sharing/Collection,1,Freedom will be transferring to Publisher customer data,"{""Third Party Entity"": {""endIndexInSegment"": 126, ""startIndexInSegment"": 0, ""selectedText"": ""As part of this sale, Freedom will be transferring to Publisher customer data collected from users of the Properties websites."", ""value"": ""Named third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 20, ""startIndexInSegment"": 0, ""selectedText"": ""As part of this sale"", ""value"": ""Merger/Acquisition""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 77, ""startIndexInSegment"": 22, ""selectedText"": ""Freedom will be transferring to Publisher customer data"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 77, ""startIndexInSegment"": 22, ""selectedText"": ""Freedom will be transferring to Publisher customer data"", ""value"": ""Receive/Shared with""}}",22,77
7,3254,3632,1,Third Party Sharing/Collection,1,Freedom will be transferring to Publisher customer data,"{""Third Party Entity"": {""endIndexInSegment"": 126, ""startIndexInSegment"": 0, ""selectedText"": ""As part of this sale, Freedom will be transferring to Publisher customer data collected from users of the Properties websites."", ""value"": ""Named third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 20, ""startIndexInSegment"": 0, ""selectedText"": ""As part of this sale"", ""value"": ""Merger/Acquisition""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 77, ""startIndexInSegment"": 22, ""selectedText"": ""Freedom will be transferring to Publisher customer data"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 77, ""startIndexInSegment"": 22, ""selectedText"": ""Freedom will be transferring to Publisher customer data"", ""value"": ""Receive/Shared with""}}",22,77
8,3320,3632,1,Third Party Sharing/Collection,1,Publisher,"{""Third Party Entity"": {""endIndexInSegment"": 63, ""startIndexInSegment"": 54, ""selectedText"": ""Publisher"", ""value"": ""Named third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 125, ""startIndexInSegment"": 22, ""selectedText"": ""Freedom will be transferring to Publisher customer data collected from users of the Properties websites"", ""value"": ""Merger/Acquisition""}, ""Personal Information Type"": {""endIndexInSegment"": 77, ""startIndexInSegment"": 64, ""selectedText"": ""customer data"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": 565, ""startIndexInSegment"": 423, ""selectedText"": ""Please do not register or submit information to any of the Properties websites if you do not want your customer data transferred to Publisher."", ""value"": ""Dont use service/feature""}, ""Identifiability"": {""endIndexInSegment"": 125, ""startIndexInSegment"": 64, ""selectedText"": ""customer data collected from users of the Properties websites"", ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 50, ""startIndexInSegment"": 30, ""selectedText"": ""will be transferring"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 50, ""startIndexInSegment"": 30, ""selectedText"": ""will be transferring"", ""value"": ""Receive/Shared with""}}",54,63
9,3320,3632,1,Third Party Sharing/Collection,1,will be transferring,"{""Third Party Entity"": {""endIndexInSegment"": 63, ""startIndexInSegment"": 54, ""selectedText"": ""Publisher"", ""value"": ""Named third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 125, ""startIndexInSegment"": 22, ""selectedText"": ""Freedom will be transferring to Publisher customer data collected from users of the Properties websites"", ""value"": ""Merger/Acquisition""}, ""Personal Information Type"": {""endIndexInSegment"": 77, ""startIndexInSegment"": 64, ""selectedText"": ""customer data"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": 565, ""startIndexInSegment"": 423, ""selectedText"": ""Please do not register or submit information to any of the Properties websites if you do not want your customer data transferred to Publisher."", ""value"": ""Dont use service/feature""}, ""Identifiability"": {""endIndexInSegment"": 125, ""startIndexInSegment"": 64, ""selectedText"": ""customer data collected from users of the Properties websites"", ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 50, ""startIndexInSegment"": 30, ""selectedText"": ""will be transferring"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 50, ""startIndexInSegment"": 30, ""selectedText"": ""will be transferring"", ""value"": ""Receive/Shared with""}}",30,50
