,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C562,3790,0,Introductory/Generic,9,Vox Media Privacy Policy,"{""Other Type"": {""endIndexInSegment"": 24, ""startIndexInSegment"": 0, ""selectedText"": ""Vox Media Privacy Policy"", ""value"": ""Introductory/Generic""}}",0,24
1,C563,3790,1,Introductory/Generic,9,Vox Media Policies Terms of Use Privacy Policy Privacy Policy: Advertising Addendum Security,"{""Other Type"": {""endIndexInSegment"": 230, ""startIndexInSegment"": 52, ""selectedText"": ""Vox Media Policies Terms of Use Privacy Policy Privacy Policy: Advertising Addendum Security"", ""value"": ""Introductory/Generic""}}",52,230
2,11602,3790,1,Policy Change,6,Updated as of May 2014,"{""Change Type"": {""endIndexInSegment"": 31, ""startIndexInSegment"": 9, ""selectedText"": ""Updated as of May 2014"", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 31, ""startIndexInSegment"": 9, ""selectedText"": ""Updated as of May 2014"", ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 31, ""startIndexInSegment"": 9, ""selectedText"": ""Updated as of May 2014"", ""value"": ""General notice in privacy policy""}}",9,31
3,C564,3790,2,Privacy contact information,11,Contact Us Privacy Terms of Use Questions Media Press Inquiries National Ad Team International Ad Team Security Reporting,"{""Other Type"": {""endIndexInSegment"": 248, ""startIndexInSegment"": 9, ""selectedText"": ""Contact Us Privacy Terms of Use Questions Media Press Inquiries National Ad Team International Ad Team Security Reporting"", ""value"": ""Privacy contact information""}}",9,248
4,C565,3790,3,Practice not covered,10,"This Privacy Policy does not govern our use of any information you provide to us when you call us, write to us, or communicate with us in any manner other than through the Services. Because the Internet is global, information about you that we collect or that you submit may be transferred to, processed in, and held in countries (including the United States) other than the one in which you reside.","{""Other Type"": {""endIndexInSegment"": 829, ""startIndexInSegment"": 430, ""selectedText"": ""This Privacy Policy does not govern our use of any information you provide to us when you call us, write to us, or communicate with us in any manner other than through the Services. Because the Internet is global, information about you that we collect or that you submit may be transferred to, processed in, and held in countries (including the United States) other than the one in which you reside."", ""value"": ""Practice not covered""}}",430,829
5,11605,3790,3,Data Security,5,"Your privacy is important to us and we have prepared this Privacy Policy to explain to you how we collect, use, and share information we obtain through your use of the Internet sites, applications and services ('services"") that are operated by, controlled by or are affiliate with Vox Media, Inc., including without limitation SB Nation, The Verge, Polygon, Curbed, Eater, Racked, and Vox.com (collectively, ""we,"" ""us"" or ""our"").","{""Security Measure"": {""endIndexInSegment"": 429, ""startIndexInSegment"": 0, ""selectedText"": ""Your privacy is important to us and we have prepared this Privacy Policy to explain to you how we collect, use, and share information we obtain through your use of the Internet sites, applications and services ('services\"") that are operated by, controlled by or are affiliate with Vox Media, Inc., including without limitation SB Nation, The Verge, Polygon, Curbed, Eater, Racked, and Vox.com (collectively, \""we,\"" \""us\"" or \""our\"")."", ""value"": ""Generic""}}",0,429
6,11607,3790,3,User Choice/Control,2,By using the Services,"{""Choice Type"": {""endIndexInSegment"": 870, ""startIndexInSegment"": 849, ""selectedText"": ""By using the Services"", ""value"": ""Dont use service/feature""}, ""Choice Scope"": {""endIndexInSegment"": 894, ""startIndexInSegment"": 872, ""selectedText"": ""you explicitly consent"", ""value"": ""Unspecified""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 973, ""startIndexInSegment"": 849, ""selectedText"": ""By using the Services, you explicitly consent to such use of your information and agree to the terms of this Privacy Policy."", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 926, ""startIndexInSegment"": 910, ""selectedText"": ""your information"", ""value"": ""Unspecified""}}",849,870
7,11607,3790,3,User Choice/Control,2,you explicitly consent,"{""Choice Type"": {""endIndexInSegment"": 870, ""startIndexInSegment"": 849, ""selectedText"": ""By using the Services"", ""value"": ""Dont use service/feature""}, ""Choice Scope"": {""endIndexInSegment"": 894, ""startIndexInSegment"": 872, ""selectedText"": ""you explicitly consent"", ""value"": ""Unspecified""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 973, ""startIndexInSegment"": 849, ""selectedText"": ""By using the Services, you explicitly consent to such use of your information and agree to the terms of this Privacy Policy."", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 926, ""startIndexInSegment"": 910, ""selectedText"": ""your information"", ""value"": ""Unspecified""}}",872,894
8,C566,3790,4,First Party Collection/Use,0,automatically,"{""Collection Mode"": {""endIndexInSegment"": 83, ""startIndexInSegment"": 70, ""selectedText"": ""automatically"", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 91, ""startIndexInSegment"": 67, ""selectedText"": ""We automatically collect"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 111, ""startIndexInSegment"": 92, ""selectedText"": ""certain information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 164, ""startIndexInSegment"": 112, ""selectedText"": ""to help us understand how our users use the Services"", ""value"": ""Service Operation and Security""}}",70,83
9,C566,3790,4,First Party Collection/Use,0,We automatically collect,"{""Collection Mode"": {""endIndexInSegment"": 83, ""startIndexInSegment"": 70, ""selectedText"": ""automatically"", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 91, ""startIndexInSegment"": 67, ""selectedText"": ""We automatically collect"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 111, ""startIndexInSegment"": 92, ""selectedText"": ""certain information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 164, ""startIndexInSegment"": 112, ""selectedText"": ""to help us understand how our users use the Services"", ""value"": ""Service Operation and Security""}}",67,91
