,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,16222,3831,0,Introductory/Generic,9,Full Privacy Policy Last updated: 14 January 2015,"{""Other Type"": {""selectedText"": ""Full Privacy Policy Last updated: 14 January 2015"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 59, ""value"": ""Introductory/Generic""}}",0,59
1,C607,3831,1,Introductory/Generic,9,"This Privacy Policy describes the privacy practices of NBCUniversal Media LLC including our affiliate companies (""NBCUniversal"", ""we"", ""our"" or ""us""). You can find information about NBCUniversal, including our affiliates, here.","{""Other Type"": {""selectedText"": ""This Privacy Policy describes the privacy practices of NBCUniversal Media LLC including our affiliate companies (\""NBCUniversal\"", \""we\"", \""our\"" or \""us\""). You can find information about NBCUniversal, including our affiliates, here."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 232, ""value"": ""Introductory/Generic""}}",0,232
2,C608,3831,2,Introductory/Generic,9,"This Privacy Policy explains how we collect, use, disclose and transfer the information you provide when you interact with us including (but not limited to) via our websites, downloadable applications, such as games, interactive TV and Mobile Apps (as defined below) that link to this policy (""online services""). This policy only applies to those online services that link to this policy. This policy also tells you how we use tracking technologies, cookies and browsing data we collect from your use of the online services, the measures we take to protect the security of the information you provide to us through the online services, and how you can contact us if you have any questions regarding the online services (including if you want to unsubscribe from our services or update your contact details).","{""Other Type"": {""selectedText"": ""This Privacy Policy explains how we collect, use, disclose and transfer the information you provide when you interact with us including (but not limited to) via our websites, downloadable applications, such as games, interactive TV and Mobile Apps (as defined below) that link to this policy (\""online services\""). This policy only applies to those online services that link to this policy. This policy also tells you how we use tracking technologies, cookies and browsing data we collect from your use of the online services, the measures we take to protect the security of the information you provide to us through the online services, and how you can contact us if you have any questions regarding the online services (including if you want to unsubscribe from our services or update your contact details)."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 812, ""value"": ""Introductory/Generic""}}",0,812
3,C609,3831,3,Introductory/Generic,9,1. SCOPE AND CONSENT 2. TYPES OF INFORMATION WE COLLECT 3. HOW WE COLLECT YOUR INFORMATION 4. HOW WE USE YOUR INFORMATION 5. HOW WE SHARE YOUR INFORMATION 6. CHILDREN 7. HOW WE PROTECT YOUR INFORMATION 8. YOUR RIGHTS AND CHOICES 9. WHERE YOUR INFORMATION WILL BE USED 10. COOKIES AND OTHER TECHNOLOGIES 11. MOBILE APPS 12. IMPORTANT INFORMATION 13. UPDATES TO OUR PRIVACY POLICY 14. CONTACT US,"{""Other Type"": {""selectedText"": ""1. SCOPE AND CONSENT 2. TYPES OF INFORMATION WE COLLECT 3. HOW WE COLLECT YOUR INFORMATION 4. HOW WE USE YOUR INFORMATION 5. HOW WE SHARE YOUR INFORMATION 6. CHILDREN 7. HOW WE PROTECT YOUR INFORMATION 8. YOUR RIGHTS AND CHOICES 9. WHERE YOUR INFORMATION WILL BE USED 10. COOKIES AND OTHER TECHNOLOGIES 11. MOBILE APPS 12. IMPORTANT INFORMATION 13. UPDATES TO OUR PRIVACY POLICY 14. CONTACT US"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 528, ""value"": ""Introductory/Generic""}}",0,528
4,14015,3831,4,First Party Collection/Use,0,"When you use the online services, you are contracting with NBCUniversal. If you reside outside of the United States, NBCUniversal is your data controller. By using the online services, you expressly consent to our collection, use, disclosure, and retention","{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 287, ""startIndexInSegment"": 31, ""selectedText"": ""When you use the online services, you are contracting with NBCUniversal. If you reside outside of the United States, NBCUniversal is your data controller. By using the online services, you expressly consent to our collection, use, disclosure, and retention"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 316, ""startIndexInSegment"": 291, ""selectedText"": ""your personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 353, ""startIndexInSegment"": 317, ""selectedText"": ""as described in this Privacy Policy."", ""value"": ""Unspecified""}}",31,287
5,16226,3831,4,Introductory/Generic,9,"1. SCOPE AND CONSENT When you use the online services, you are contracting with NBCUniversal. If you reside outside of the United States, NBCUniversal is your data controller. By using the online services, you expressly consent to our collection, use, disclosure, and retention of your personal information as described in this Privacy Policy.","{""Other Type"": {""selectedText"": ""1. SCOPE AND CONSENT When you use the online services, you are contracting with NBCUniversal. If you reside outside of the United States, NBCUniversal is your data controller. By using the online services, you expressly consent to our collection, use, disclosure, and retention of your personal information as described in this Privacy Policy."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 358, ""value"": ""Introductory/Generic""}}",0,358
6,21878,3831,4,User Choice/Control,2,By using the online services,"{""Choice Type"": {""selectedText"": ""By using the online services"", ""startIndexInSegment"": 186, ""endIndexInSegment"": 214, ""value"": ""Dont use service/feature""}, ""Choice Scope"": {""selectedText"": ""collection"", ""startIndexInSegment"": 245, ""endIndexInSegment"": 255, ""value"": ""First party collection""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""your personal information as described in this Privacy Policy."", ""startIndexInSegment"": 291, ""endIndexInSegment"": 353, ""value"": ""Other""}}",186,214
7,21878,3831,4,User Choice/Control,2,collection,"{""Choice Type"": {""selectedText"": ""By using the online services"", ""startIndexInSegment"": 186, ""endIndexInSegment"": 214, ""value"": ""Dont use service/feature""}, ""Choice Scope"": {""selectedText"": ""collection"", ""startIndexInSegment"": 245, ""endIndexInSegment"": 255, ""value"": ""First party collection""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""your personal information as described in this Privacy Policy."", ""startIndexInSegment"": 291, ""endIndexInSegment"": 353, ""value"": ""Other""}}",245,255
8,21879,3831,4,User Choice/Control,2,By using the online services,"{""Choice Type"": {""selectedText"": ""By using the online services"", ""startIndexInSegment"": 186, ""endIndexInSegment"": 214, ""value"": ""Dont use service/feature""}, ""Choice Scope"": {""selectedText"": ""use"", ""startIndexInSegment"": 257, ""endIndexInSegment"": 260, ""value"": ""First party use""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""your personal information as described in this Privacy Policy."", ""startIndexInSegment"": 291, ""endIndexInSegment"": 353, ""value"": ""Other""}}",186,214
9,21879,3831,4,User Choice/Control,2,use,"{""Choice Type"": {""selectedText"": ""By using the online services"", ""startIndexInSegment"": 186, ""endIndexInSegment"": 214, ""value"": ""Dont use service/feature""}, ""Choice Scope"": {""selectedText"": ""use"", ""startIndexInSegment"": 257, ""endIndexInSegment"": 260, ""value"": ""First party use""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""your personal information as described in this Privacy Policy."", ""startIndexInSegment"": 291, ""endIndexInSegment"": 353, ""value"": ""Other""}}",257,260
