,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C3608,3703,0,Other,0,Last Updated: March 2015,"{""Other Type"": {""endIndexInSegment"": 66, ""startIndexInSegment"": 42, ""selectedText"": ""Last Updated: March 2015"", ""value"": ""Other""}}",42,66
1,7971,3703,0,Introductory/Generic,9,Walmart Privacy Policy,"{""Other Type"": {""endIndexInSegment"": 22, ""startIndexInSegment"": 0, ""selectedText"": ""Walmart Privacy Policy"", ""value"": ""Introductory/Generic""}}",0,22
2,C3609,3703,1,Introductory/Generic,9,"At Walmart, our customers are number one - always. That's why everything we do is focused on providing excellent customer service and delivering low prices.","{""Other Type"": {""endIndexInSegment"": 156, ""startIndexInSegment"": 0, ""selectedText"": ""At Walmart, our customers are number one - always. That's why everything we do is focused on providing excellent customer service and delivering low prices."", ""value"": ""Introductory/Generic""}}",0,156
3,17768,3703,1,First Party Collection/Use,0,information you share with,"{""Collection Mode"": {""endIndexInSegment"": 187, ""startIndexInSegment"": 161, ""selectedText"": ""information you share with"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 172, ""startIndexInSegment"": 161, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 187, ""startIndexInSegment"": 173, ""selectedText"": ""you share with"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 251, ""startIndexInSegment"": 206, ""selectedText"": ""to provide the products and services you need"", ""value"": ""Basic service/feature""}}",161,187
4,17768,3703,1,First Party Collection/Use,0,you share with,"{""Collection Mode"": {""endIndexInSegment"": 187, ""startIndexInSegment"": 161, ""selectedText"": ""information you share with"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 172, ""startIndexInSegment"": 161, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 187, ""startIndexInSegment"": 173, ""selectedText"": ""you share with"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 251, ""startIndexInSegment"": 206, ""selectedText"": ""to provide the products and services you need"", ""value"": ""Basic service/feature""}}",173,187
5,17769,3703,1,First Party Collection/Use,0,information you share with,"{""Collection Mode"": {""endIndexInSegment"": 187, ""startIndexInSegment"": 161, ""selectedText"": ""information you share with"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 172, ""startIndexInSegment"": 161, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 187, ""startIndexInSegment"": 173, ""selectedText"": ""you share with"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 312, ""startIndexInSegment"": 267, ""selectedText"": ""giving you the very best shopping experience."", ""value"": ""Unspecified""}}",161,187
6,17769,3703,1,First Party Collection/Use,0,you share with,"{""Collection Mode"": {""endIndexInSegment"": 187, ""startIndexInSegment"": 161, ""selectedText"": ""information you share with"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 172, ""startIndexInSegment"": 161, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 187, ""startIndexInSegment"": 173, ""selectedText"": ""you share with"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 312, ""startIndexInSegment"": 267, ""selectedText"": ""giving you the very best shopping experience."", ""value"": ""Unspecified""}}",173,187
7,C3610,3703,2,Introductory/Generic,9,"Our founder Sam Walton reminded us that ""a promise we make is a promise we keep,"" and it's our promise to customers that we respect the trust you place in us and the privacy of the information you share. Part of providing superior customer service includes making sure that we're building a relationship of trust with customers. Our way of doing that is to let you know in a clear, prominent, and easily accessible way how we collect, use, share, and above all protect your personal information.","{""Other Type"": {""endIndexInSegment"": 495, ""startIndexInSegment"": 0, ""selectedText"": ""Our founder Sam Walton reminded us that \""a promise we make is a promise we keep,\"" and it's our promise to customers that we respect the trust you place in us and the privacy of the information you share. Part of providing superior customer service includes making sure that we're building a relationship of trust with customers. Our way of doing that is to let you know in a clear, prominent, and easily accessible way how we collect, use, share, and above all protect your personal information."", ""value"": ""Introductory/Generic""}}",0,495
8,C3611,3703,3,Introductory/Generic,9,"Our Policy outlines: How and why we collect your personal information; How your personal information is used and protected; When and with whom we share your personal information; and What choices you can make about how we collect, use, and share your personal information.","{""Other Type"": {""endIndexInSegment"": 358, ""startIndexInSegment"": 0, ""selectedText"": ""Our Policy outlines: How and why we collect your personal information; How your personal information is used and protected; When and with whom we share your personal information; and What choices you can make about how we collect, use, and share your personal information."", ""value"": ""Introductory/Generic""}}",0,358
9,C3612,3703,4,Introductory/Generic,9,"What Does Our Privacy Policy Include? Our Policy covers how and why we collect, use, protect, and share your personal information: At Walmart and Amigo retail stores in the United States and Puerto Rico, and On our websites and mobile services where this Policy is posted. Our Policy focuses on personal information - - information that identifies you or reasonably can be linked to information that identifies you.","{""Other Type"": {""endIndexInSegment"": 476, ""startIndexInSegment"": 9, ""selectedText"": ""What Does Our Privacy Policy Include? Our Policy covers how and why we collect, use, protect, and share your personal information: At Walmart and Amigo retail stores in the United States and Puerto Rico, and On our websites and mobile services where this Policy is posted. Our Policy focuses on personal information - - information that identifies you or reasonably can be linked to information that identifies you."", ""value"": ""Introductory/Generic""}}",9,476
