,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C4495,3625,0,Introductory/Generic,9,"Effective Date: April 1, 2015","{""Other Type"": {""endIndexInSegment"": 73, ""startIndexInSegment"": 44, ""selectedText"": ""Effective Date: April 1, 2015"", ""value"": ""Introductory/Generic""}}",44,73
1,1806,3625,0,Policy Change,6,"Effective Date: April 1, 2015","{""Change Type"": {""endIndexInSegment"": 73, ""startIndexInSegment"": 44, ""selectedText"": ""Effective Date: April 1, 2015"", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 73, ""startIndexInSegment"": 44, ""selectedText"": ""Effective Date: April 1, 2015"", ""value"": ""General notice in privacy policy""}}",44,73
2,C4496,3625,1,Introductory/Generic,9,"This Privacy Policy applies to personal and other information that may be collected when you interact with the Barnes & Noble enterprise, which consists of (a) Barnes & Noble, Inc. and its subsidiaries, including their respective businesses and operations (collectively, ""Barnes & Noble""); (b) businesses and operations managed or operated by Barnes & Noble; (c) websites owned, operated and managed by Barnes & Noble, including each website that links to this Privacy Policy, and any digital content stores operated by Barnes & Noble (collectively, ""Barnes & Noble Websites""); and (d) Barnes & Noble and NOOK devices (""Devices""), content, software and mobile applications (""Apps"").","{""Other Type"": {""endIndexInSegment"": 682, ""startIndexInSegment"": 0, ""selectedText"": ""This Privacy Policy applies to personal and other information that may be collected when you interact with the Barnes & Noble enterprise, which consists of (a) Barnes & Noble, Inc. and its subsidiaries, including their respective businesses and operations (collectively, \""Barnes & Noble\""); (b) businesses and operations managed or operated by Barnes & Noble; (c) websites owned, operated and managed by Barnes & Noble, including each website that links to this Privacy Policy, and any digital content stores operated by Barnes & Noble (collectively, \""Barnes & Noble Websites\""); and (d) Barnes & Noble and NOOK devices (\""Devices\""), content, software and mobile applications (\""Apps\"")."", ""value"": ""Introductory/Generic""}}",0,682
3,809,3625,1,First Party Collection/Use,0,"websites owned, operated and managed by Barnes & Noble, including each website that links to this Privacy Policy, and any digital content stores operated by Barnes & Noble (collectively, ""Barnes & Noble Websites"")","{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": 83, ""startIndexInSegment"": 74, ""selectedText"": ""collected"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": 576, ""startIndexInSegment"": 363, ""selectedText"": ""websites owned, operated and managed by Barnes & Noble, including each website that links to this Privacy Policy, and any digital content stores operated by Barnes & Noble (collectively, \""Barnes & Noble Websites\"")"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 61, ""startIndexInSegment"": 31, ""selectedText"": ""personal and other information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 137, ""startIndexInSegment"": 31, ""selectedText"": ""personal and other information that may be collected when you interact with the Barnes & Noble enterprise,"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",363,576
4,809,3625,1,First Party Collection/Use,0,"personal and other information that may be collected when you interact with the Barnes & Noble enterprise,","{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": 83, ""startIndexInSegment"": 74, ""selectedText"": ""collected"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": 576, ""startIndexInSegment"": 363, ""selectedText"": ""websites owned, operated and managed by Barnes & Noble, including each website that links to this Privacy Policy, and any digital content stores operated by Barnes & Noble (collectively, \""Barnes & Noble Websites\"")"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 61, ""startIndexInSegment"": 31, ""selectedText"": ""personal and other information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 137, ""startIndexInSegment"": 31, ""selectedText"": ""personal and other information that may be collected when you interact with the Barnes & Noble enterprise,"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",31,137
5,810,3625,1,First Party Collection/Use,0,"Barnes & Noble and NOOK devices (""Devices""), content, software and mobile applications (""Apps"").","{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": 83, ""startIndexInSegment"": 74, ""selectedText"": ""collected"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": 682, ""startIndexInSegment"": 586, ""selectedText"": ""Barnes & Noble and NOOK devices (\""Devices\""), content, software and mobile applications (\""Apps\"")."", ""value"": ""Collect in mobile app""}, ""Personal Information Type"": {""endIndexInSegment"": 61, ""startIndexInSegment"": 31, ""selectedText"": ""personal and other information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 137, ""startIndexInSegment"": 31, ""selectedText"": ""personal and other information that may be collected when you interact with the Barnes & Noble enterprise,"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",586,682
6,810,3625,1,First Party Collection/Use,0,"personal and other information that may be collected when you interact with the Barnes & Noble enterprise,","{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": 83, ""startIndexInSegment"": 74, ""selectedText"": ""collected"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": 682, ""startIndexInSegment"": 586, ""selectedText"": ""Barnes & Noble and NOOK devices (\""Devices\""), content, software and mobile applications (\""Apps\"")."", ""value"": ""Collect in mobile app""}, ""Personal Information Type"": {""endIndexInSegment"": 61, ""startIndexInSegment"": 31, ""selectedText"": ""personal and other information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 137, ""startIndexInSegment"": 31, ""selectedText"": ""personal and other information that may be collected when you interact with the Barnes & Noble enterprise,"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",31,137
7,814,3625,1,First Party Collection/Use,0,"Barnes & Noble, Inc. and its subsidiaries, including their respective businesses and operations (collectively, ""Barnes & Noble""); (b) businesses and operations managed or operated by Barnes & Noble;","{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": 83, ""startIndexInSegment"": 74, ""selectedText"": ""collected"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": 358, ""startIndexInSegment"": 160, ""selectedText"": ""Barnes & Noble, Inc. and its subsidiaries, including their respective businesses and operations (collectively, \""Barnes & Noble\""); (b) businesses and operations managed or operated by Barnes & Noble;"", ""value"": ""Receive from other parts of company/affiliates""}, ""Personal Information Type"": {""endIndexInSegment"": 61, ""startIndexInSegment"": 31, ""selectedText"": ""personal and other information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 137, ""startIndexInSegment"": 31, ""selectedText"": ""personal and other information that may be collected when you interact with the Barnes & Noble enterprise,"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",160,358
8,814,3625,1,First Party Collection/Use,0,"personal and other information that may be collected when you interact with the Barnes & Noble enterprise,","{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": 83, ""startIndexInSegment"": 74, ""selectedText"": ""collected"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": 358, ""startIndexInSegment"": 160, ""selectedText"": ""Barnes & Noble, Inc. and its subsidiaries, including their respective businesses and operations (collectively, \""Barnes & Noble\""); (b) businesses and operations managed or operated by Barnes & Noble;"", ""value"": ""Receive from other parts of company/affiliates""}, ""Personal Information Type"": {""endIndexInSegment"": 61, ""startIndexInSegment"": 31, ""selectedText"": ""personal and other information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 137, ""startIndexInSegment"": 31, ""selectedText"": ""personal and other information that may be collected when you interact with the Barnes & Noble enterprise,"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",31,137
9,C4497,3625,2,Data Security,5,"Protecting the privacy and security of your personal information is a priority at Barnes & Noble, and we believe that a single, comprehensive privacy policy that is straightforward and clear is in the best interests of our customers and our businesses.","{""Security Measure"": {""endIndexInSegment"": 252, ""startIndexInSegment"": 0, ""selectedText"": ""Protecting the privacy and security of your personal information is a priority at Barnes & Noble, and we believe that a single, comprehensive privacy policy that is straightforward and clear is in the best interests of our customers and our businesses."", ""value"": ""Generic""}}",0,252
