,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C4610,3719,0,Introductory/Generic,9,Geekdo takes your privacy seriously. Please read the following to learn more about our privacy policy.,"{""Other Type"": {""endIndexInSegment"": 127, ""startIndexInSegment"": 25, ""selectedText"": ""Geekdo takes your privacy seriously. Please read the following to learn more about our privacy policy."", ""value"": ""Introductory/Generic""}}",25,127
1,C4611,3719,1,Third Party Sharing/Collection,1,"Geekdo does not rent, sell, or share personal information about you with other people or companies , except when we have your explicit permission","{""Third Party Entity"": {""endIndexInSegment"": 145, ""startIndexInSegment"": 0, ""selectedText"": ""Geekdo does not rent, sell, or share personal information about you with other people or companies , except when we have your explicit permission"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 57, ""startIndexInSegment"": 37, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": 145, ""startIndexInSegment"": 101, ""selectedText"": ""except when we have your explicit permission"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": 57, ""startIndexInSegment"": 37, ""selectedText"": ""personal information"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 15, ""startIndexInSegment"": 7, ""selectedText"": ""does not"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 36, ""startIndexInSegment"": 16, ""selectedText"": ""rent, sell, or share"", ""value"": ""Receive/Shared with""}}",0,145
2,C4611,3719,1,Third Party Sharing/Collection,1,"rent, sell, or share","{""Third Party Entity"": {""endIndexInSegment"": 145, ""startIndexInSegment"": 0, ""selectedText"": ""Geekdo does not rent, sell, or share personal information about you with other people or companies , except when we have your explicit permission"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 57, ""startIndexInSegment"": 37, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": 145, ""startIndexInSegment"": 101, ""selectedText"": ""except when we have your explicit permission"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": 57, ""startIndexInSegment"": 37, ""selectedText"": ""personal information"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 15, ""startIndexInSegment"": 7, ""selectedText"": ""does not"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 36, ""startIndexInSegment"": 16, ""selectedText"": ""rent, sell, or share"", ""value"": ""Receive/Shared with""}}",16,36
3,C4611,3719,1,Third Party Sharing/Collection,1,does not,"{""Third Party Entity"": {""endIndexInSegment"": 145, ""startIndexInSegment"": 0, ""selectedText"": ""Geekdo does not rent, sell, or share personal information about you with other people or companies , except when we have your explicit permission"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 57, ""startIndexInSegment"": 37, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": 145, ""startIndexInSegment"": 101, ""selectedText"": ""except when we have your explicit permission"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": 57, ""startIndexInSegment"": 37, ""selectedText"": ""personal information"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 15, ""startIndexInSegment"": 7, ""selectedText"": ""does not"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 36, ""startIndexInSegment"": 16, ""selectedText"": ""rent, sell, or share"", ""value"": ""Receive/Shared with""}}",7,15
4,C4612,3719,1,Third Party Sharing/Collection,1,ompanies,"{""Third Party Entity"": {""endIndexInSegment"": 98, ""startIndexInSegment"": 90, ""selectedText"": ""ompanies"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 57, ""startIndexInSegment"": 37, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": 145, ""startIndexInSegment"": 113, ""selectedText"": ""we have your explicit permission"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 15, ""startIndexInSegment"": 7, ""selectedText"": ""does not"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 36, ""startIndexInSegment"": 31, ""selectedText"": ""share"", ""value"": ""Receive/Shared with""}}",90,98
5,C4612,3719,1,Third Party Sharing/Collection,1,share,"{""Third Party Entity"": {""endIndexInSegment"": 98, ""startIndexInSegment"": 90, ""selectedText"": ""ompanies"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 57, ""startIndexInSegment"": 37, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": 145, ""startIndexInSegment"": 113, ""selectedText"": ""we have your explicit permission"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 15, ""startIndexInSegment"": 7, ""selectedText"": ""does not"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 36, ""startIndexInSegment"": 31, ""selectedText"": ""share"", ""value"": ""Receive/Shared with""}}",31,36
6,C4612,3719,1,Third Party Sharing/Collection,1,does not,"{""Third Party Entity"": {""endIndexInSegment"": 98, ""startIndexInSegment"": 90, ""selectedText"": ""ompanies"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 57, ""startIndexInSegment"": 37, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": 145, ""startIndexInSegment"": 113, ""selectedText"": ""we have your explicit permission"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 15, ""startIndexInSegment"": 7, ""selectedText"": ""does not"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 36, ""startIndexInSegment"": 31, ""selectedText"": ""share"", ""value"": ""Receive/Shared with""}}",7,15
7,C4613,3719,2,First Party Collection/Use,0,Geekdo collects,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 15, ""startIndexInSegment"": 0, ""selectedText"": ""Geekdo collects"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 35, ""startIndexInSegment"": 16, ""selectedText"": ""personal informatio"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 136, ""startIndexInSegment"": 37, ""selectedText"": ""when you register with Geekdo, when you use Geekdo products or services, when you visit Geekdo page"", ""value"": ""Basic service/feature""}}",0,15
8,C4614,3719,2,First Party Collection/Use,0,Geekdo collects personal information when you register with Geekdo,"{""Collection Mode"": {""endIndexInSegment"": 66, ""startIndexInSegment"": 0, ""selectedText"": ""Geekdo collects personal information when you register with Geekdo"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 15, ""startIndexInSegment"": 7, ""selectedText"": ""collects"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 36, ""startIndexInSegment"": 16, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 36, ""startIndexInSegment"": 16, ""selectedText"": ""personal information"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 214, ""startIndexInSegment"": 0, ""selectedText"": ""Geekdo collects personal information when you register with Geekdo, when you use Geekdo products or services, when you visit Geekdo pages or the pages of certain Geekdo partners, and when you enter Geekdo contests."", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": 66, ""startIndexInSegment"": 37, ""selectedText"": ""when you register with Geekdo"", ""value"": ""User with account""}, ""Purpose"": {""endIndexInSegment"": 66, ""startIndexInSegment"": 37, ""selectedText"": ""when you register with Geekdo"", ""value"": ""Basic service/feature""}}",0,66
9,C4614,3719,2,First Party Collection/Use,0,collects,"{""Collection Mode"": {""endIndexInSegment"": 66, ""startIndexInSegment"": 0, ""selectedText"": ""Geekdo collects personal information when you register with Geekdo"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 15, ""startIndexInSegment"": 7, ""selectedText"": ""collects"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 36, ""startIndexInSegment"": 16, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 36, ""startIndexInSegment"": 16, ""selectedText"": ""personal information"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 214, ""startIndexInSegment"": 0, ""selectedText"": ""Geekdo collects personal information when you register with Geekdo, when you use Geekdo products or services, when you visit Geekdo pages or the pages of certain Geekdo partners, and when you enter Geekdo contests."", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": 66, ""startIndexInSegment"": 37, ""selectedText"": ""when you register with Geekdo"", ""value"": ""User with account""}, ""Purpose"": {""endIndexInSegment"": 66, ""startIndexInSegment"": 37, ""selectedText"": ""when you register with Geekdo"", ""value"": ""Basic service/feature""}}",7,15
