,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C4690,3629,0,Introductory/Generic,9,"The Frederick News-Post and its owner, Randall Family, LLC (collectively, ""The News-Post""), recognize the importance of protecting the privacy of personally identifiable information collected about you, our customers. This customer privacy policy is intended to outline our legitimate business interests in collecting and using information and your reasonable expectations of privacy.","{""Other Type"": {""endIndexInSegment"": 604, ""startIndexInSegment"": 220, ""selectedText"": ""The Frederick News-Post and its owner, Randall Family, LLC (collectively, \""The News-Post\""), recognize the importance of protecting the privacy of personally identifiable information collected about you, our customers. This customer privacy policy is intended to outline our legitimate business interests in collecting and using information and your reasonable expectations of privacy."", ""value"": ""Introductory/Generic""}}",220,604
1,2176,3629,0,First Party Collection/Use,0,collected about yo,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 401, ""startIndexInSegment"": 391, ""selectedText"": ""nformation"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 389, ""startIndexInSegment"": 366, ""selectedText"": ""personally identifiable"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 420, ""startIndexInSegment"": 402, ""selectedText"": ""collected about yo"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",402,420
2,2768,3629,0,Policy Change,6,"Posted: Tuesday, September 18, 2012 12:29 pm Updated: Thursday, May 21, 2015 3:22 pm.","{""Change Type"": {""endIndexInSegment"": 148, ""startIndexInSegment"": 44, ""selectedText"": ""Posted: Tuesday, September 18, 2012 12:29 pm Updated: Thursday, May 21, 2015 3:22 pm."", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 148, ""startIndexInSegment"": 44, ""selectedText"": ""Posted: Tuesday, September 18, 2012 12:29 pm Updated: Thursday, May 21, 2015 3:22 pm."", ""value"": ""General notice in privacy policy""}}",44,148
3,C4691,3629,1,Data Security,5,When entering payment and personal information on our web pages you will see that we use SSL certificates to encrypt your data as you submit it.,"{""Security Measure"": {""endIndexInSegment"": 294, ""startIndexInSegment"": 150, ""selectedText"": ""When entering payment and personal information on our web pages you will see that we use SSL certificates to encrypt your data as you submit it."", ""value"": ""Secure data storage""}}",150,294
4,1950,3629,1,Data Security,5,We take the responsibility for keeping your payment and personal information private and secure very seriously,"{""Security Measure"": {""endIndexInSegment"": 148, ""startIndexInSegment"": 38, ""selectedText"": ""We take the responsibility for keeping your payment and personal information private and secure very seriously"", ""value"": ""Generic""}}",38,148
5,2179,3629,1,Data Security,5,Our internal systems and procedures are periodically reviewed for compliance with industry standards on data security.,"{""Security Measure"": {""endIndexInSegment"": 413, ""startIndexInSegment"": 295, ""selectedText"": ""Our internal systems and procedures are periodically reviewed for compliance with industry standards on data security."", ""value"": ""Privacy review/audit""}}",295,413
6,C4692,3629,2,First Party Collection/Use,0,The News-Post gathers identifying information about you only when you provide that information on a voluntary,"{""Collection Mode"": {""endIndexInSegment"": 165, ""startIndexInSegment"": 56, ""selectedText"": ""The News-Post gathers identifying information about you only when you provide that information on a voluntary"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 111, ""startIndexInSegment"": 70, ""selectedText"": ""gathers identifying information about you"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 503, ""startIndexInSegment"": 439, ""selectedText"": ""your name, age, email address, mailing address and phone number."", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 101, ""startIndexInSegment"": 78, ""selectedText"": ""identifying information"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 332, ""startIndexInSegment"": 56, ""selectedText"": ""The News-Post gathers identifying information about you only when you provide that information on a voluntary basis for such purposes as member or subscriber registration, reader comments and blogs, contests, news alerts, purchasing products and using social networking tools."", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 331, ""startIndexInSegment"": 172, ""selectedText"": ""for such purposes as member or subscriber registration, reader comments and blogs, contests, news alerts, purchasing products and using social networking tools"", ""value"": ""Basic service/feature""}}",56,165
7,C4692,3629,2,First Party Collection/Use,0,gathers identifying information about you,"{""Collection Mode"": {""endIndexInSegment"": 165, ""startIndexInSegment"": 56, ""selectedText"": ""The News-Post gathers identifying information about you only when you provide that information on a voluntary"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 111, ""startIndexInSegment"": 70, ""selectedText"": ""gathers identifying information about you"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 503, ""startIndexInSegment"": 439, ""selectedText"": ""your name, age, email address, mailing address and phone number."", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 101, ""startIndexInSegment"": 78, ""selectedText"": ""identifying information"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 332, ""startIndexInSegment"": 56, ""selectedText"": ""The News-Post gathers identifying information about you only when you provide that information on a voluntary basis for such purposes as member or subscriber registration, reader comments and blogs, contests, news alerts, purchasing products and using social networking tools."", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 331, ""startIndexInSegment"": 172, ""selectedText"": ""for such purposes as member or subscriber registration, reader comments and blogs, contests, news alerts, purchasing products and using social networking tools"", ""value"": ""Basic service/feature""}}",70,111
8,C4692,3629,2,First Party Collection/Use,0,"The News-Post gathers identifying information about you only when you provide that information on a voluntary basis for such purposes as member or subscriber registration, reader comments and blogs, contests, news alerts, purchasing products and using social networking tools.","{""Collection Mode"": {""endIndexInSegment"": 165, ""startIndexInSegment"": 56, ""selectedText"": ""The News-Post gathers identifying information about you only when you provide that information on a voluntary"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 111, ""startIndexInSegment"": 70, ""selectedText"": ""gathers identifying information about you"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 503, ""startIndexInSegment"": 439, ""selectedText"": ""your name, age, email address, mailing address and phone number."", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 101, ""startIndexInSegment"": 78, ""selectedText"": ""identifying information"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 332, ""startIndexInSegment"": 56, ""selectedText"": ""The News-Post gathers identifying information about you only when you provide that information on a voluntary basis for such purposes as member or subscriber registration, reader comments and blogs, contests, news alerts, purchasing products and using social networking tools."", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 331, ""startIndexInSegment"": 172, ""selectedText"": ""for such purposes as member or subscriber registration, reader comments and blogs, contests, news alerts, purchasing products and using social networking tools"", ""value"": ""Basic service/feature""}}",56,332
9,1952,3629,2,First Party Collection/Use,0,only when you provide that information on a voluntary basis,"{""Collection Mode"": {""endIndexInSegment"": 171, ""startIndexInSegment"": 112, ""selectedText"": ""only when you provide that information on a voluntary basis"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 77, ""startIndexInSegment"": 56, ""selectedText"": ""The News-Post gathers"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 422, ""startIndexInSegment"": 333, ""selectedText"": ""The personal information required to use our site services varies from service to service"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 89, ""startIndexInSegment"": 78, ""selectedText"": ""identifying"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 77, ""startIndexInSegment"": 70, ""selectedText"": ""gathers"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 277, ""startIndexInSegment"": 193, ""selectedText"": ""member or subscriber registration, reader comments and blogs, contests, news alerts,"", ""value"": ""Basic service/feature""}}",112,171
