,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C282,3826,0,Introductory/Generic,9,"Privacy, Security, and Accessibility Policies","{""Other Type"": {""endIndexInSegment"": 45, ""startIndexInSegment"": 0, ""selectedText"": ""Privacy, Security, and Accessibility Policies"", ""value"": ""Introductory/Generic""}}",0,45
1,C283,3826,1,First Party Collection/Use,0,unless you choose to provide that information.,"{""Collection Mode"": {""endIndexInSegment"": 119, ""startIndexInSegment"": 73, ""selectedText"": ""unless you choose to provide that information."", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 72, ""startIndexInSegment"": 45, ""selectedText"": ""when you visit our web site"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 44, ""startIndexInSegment"": 24, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": 119, ""startIndexInSegment"": 73, ""selectedText"": ""unless you choose to provide that information."", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 23, ""startIndexInSegment"": 8, ""selectedText"": ""doesn't collect"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",73,119
2,C283,3826,1,First Party Collection/Use,0,when you visit our web site,"{""Collection Mode"": {""endIndexInSegment"": 119, ""startIndexInSegment"": 73, ""selectedText"": ""unless you choose to provide that information."", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 72, ""startIndexInSegment"": 45, ""selectedText"": ""when you visit our web site"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 44, ""startIndexInSegment"": 24, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": 119, ""startIndexInSegment"": 73, ""selectedText"": ""unless you choose to provide that information."", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 23, ""startIndexInSegment"": 8, ""selectedText"": ""doesn't collect"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",45,72
3,C283,3826,1,First Party Collection/Use,0,doesn't collect,"{""Collection Mode"": {""endIndexInSegment"": 119, ""startIndexInSegment"": 73, ""selectedText"": ""unless you choose to provide that information."", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 72, ""startIndexInSegment"": 45, ""selectedText"": ""when you visit our web site"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 44, ""startIndexInSegment"": 24, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": 119, ""startIndexInSegment"": 73, ""selectedText"": ""unless you choose to provide that information."", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 23, ""startIndexInSegment"": 8, ""selectedText"": ""doesn't collect"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",8,23
4,11935,3826,1,First Party Collection/Use,0,when you visit our web site,"{""Collection Mode"": {""endIndexInSegment"": 72, ""startIndexInSegment"": 45, ""selectedText"": ""when you visit our web site"", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": 118, ""startIndexInSegment"": 94, ""selectedText"": ""provide that information"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": 23, ""startIndexInSegment"": 0, ""selectedText"": ""USA.gov doesn't collect"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 44, ""startIndexInSegment"": 24, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": 119, ""startIndexInSegment"": 73, ""selectedText"": ""unless you choose to provide that information."", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 15, ""startIndexInSegment"": 8, ""selectedText"": ""doesn't"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",45,72
5,11935,3826,1,First Party Collection/Use,0,USA.gov doesn't collect,"{""Collection Mode"": {""endIndexInSegment"": 72, ""startIndexInSegment"": 45, ""selectedText"": ""when you visit our web site"", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": 118, ""startIndexInSegment"": 94, ""selectedText"": ""provide that information"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": 23, ""startIndexInSegment"": 0, ""selectedText"": ""USA.gov doesn't collect"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 44, ""startIndexInSegment"": 24, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": 119, ""startIndexInSegment"": 73, ""selectedText"": ""unless you choose to provide that information."", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 15, ""startIndexInSegment"": 8, ""selectedText"": ""doesn't"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",0,23
6,11935,3826,1,First Party Collection/Use,0,doesn't,"{""Collection Mode"": {""endIndexInSegment"": 72, ""startIndexInSegment"": 45, ""selectedText"": ""when you visit our web site"", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": 118, ""startIndexInSegment"": 94, ""selectedText"": ""provide that information"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": 23, ""startIndexInSegment"": 0, ""selectedText"": ""USA.gov doesn't collect"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 44, ""startIndexInSegment"": 24, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": 119, ""startIndexInSegment"": 73, ""selectedText"": ""unless you choose to provide that information."", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 15, ""startIndexInSegment"": 8, ""selectedText"": ""doesn't"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",8,15
7,C284,3826,2,Introductory/Generic,9,What's on This Page Information Collected and Stored Automatically Site Security Use of Persistent Cookies Accessibility Policy External Links If You Send Us Personal Information,"{""Other Type"": {""endIndexInSegment"": 308, ""startIndexInSegment"": 0, ""selectedText"": ""What's on This Page Information Collected and Stored Automatically Site Security Use of Persistent Cookies Accessibility Policy External Links If You Send Us Personal Information"", ""value"": ""Introductory/Generic""}}",0,308
8,12890,3826,2,Introductory/Generic,9,What's on This Page,"{""Other Type"": {""endIndexInSegment"": 19, ""startIndexInSegment"": 0, ""selectedText"": ""What's on This Page"", ""value"": ""Introductory/Generic""}}",0,19
9,C285,3826,3,First Party Collection/Use,0,we may store some or all of the following:,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 142, ""startIndexInSegment"": 100, ""selectedText"": ""we may store some or all of the following:"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 172, ""startIndexInSegment"": 147, ""selectedText"": ""Internet protocol address"", ""value"": ""IP address and device IDs""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",100,142
10,C286,3826,3,First Party Collection/Use,0,we may store some or all of the following:,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 142, ""startIndexInSegment"": 100, ""selectedText"": ""we may store some or all of the following:"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 345, ""startIndexInSegment"": 173, ""selectedText"": ""from which you access USA.gov, date and time, the name of the web site from which you linked to USA.gov, the name of the file or words you searched, items clicked on a page"", ""value"": ""User online activities""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",100,142
11,13129,3826,3,First Party Collection/Use,0,Automatically,"{""Collection Mode"": {""endIndexInSegment"": 55, ""startIndexInSegment"": 42, ""selectedText"": ""Automatically"", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 98, ""startIndexInSegment"": 76, ""selectedText"": ""When you visit USA.gov"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 172, ""startIndexInSegment"": 143, ""selectedText"": ""the Internet protocol address"", ""value"": ""IP address and device IDs""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": 30, ""startIndexInSegment"": 21, ""selectedText"": ""Collected"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",42,55
12,13129,3826,3,First Party Collection/Use,0,When you visit USA.gov,"{""Collection Mode"": {""endIndexInSegment"": 55, ""startIndexInSegment"": 42, ""selectedText"": ""Automatically"", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 98, ""startIndexInSegment"": 76, ""selectedText"": ""When you visit USA.gov"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 172, ""startIndexInSegment"": 143, ""selectedText"": ""the Internet protocol address"", ""value"": ""IP address and device IDs""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": 30, ""startIndexInSegment"": 21, ""selectedText"": ""Collected"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",76,98
13,13129,3826,3,First Party Collection/Use,0,Collected,"{""Collection Mode"": {""endIndexInSegment"": 55, ""startIndexInSegment"": 42, ""selectedText"": ""Automatically"", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 98, ""startIndexInSegment"": 76, ""selectedText"": ""When you visit USA.gov"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 172, ""startIndexInSegment"": 143, ""selectedText"": ""the Internet protocol address"", ""value"": ""IP address and device IDs""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": 30, ""startIndexInSegment"": 21, ""selectedText"": ""Collected"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",21,30
14,13130,3826,3,First Party Collection/Use,0,Automatically,"{""Collection Mode"": {""endIndexInSegment"": 55, ""startIndexInSegment"": 42, ""selectedText"": ""Automatically"", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 98, ""startIndexInSegment"": 76, ""selectedText"": ""When you visit USA.gov"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 388, ""startIndexInSegment"": 351, ""selectedText"": ""the browser and operating system used"", ""value"": ""Computer information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": 30, ""startIndexInSegment"": 21, ""selectedText"": ""Collected"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",42,55
15,13130,3826,3,First Party Collection/Use,0,When you visit USA.gov,"{""Collection Mode"": {""endIndexInSegment"": 55, ""startIndexInSegment"": 42, ""selectedText"": ""Automatically"", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 98, ""startIndexInSegment"": 76, ""selectedText"": ""When you visit USA.gov"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 388, ""startIndexInSegment"": 351, ""selectedText"": ""the browser and operating system used"", ""value"": ""Computer information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": 30, ""startIndexInSegment"": 21, ""selectedText"": ""Collected"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",76,98
16,13130,3826,3,First Party Collection/Use,0,Collected,"{""Collection Mode"": {""endIndexInSegment"": 55, ""startIndexInSegment"": 42, ""selectedText"": ""Automatically"", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 98, ""startIndexInSegment"": 76, ""selectedText"": ""When you visit USA.gov"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 388, ""startIndexInSegment"": 351, ""selectedText"": ""the browser and operating system used"", ""value"": ""Computer information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": 30, ""startIndexInSegment"": 21, ""selectedText"": ""Collected"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",21,30
