,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C541,3697,0,Introductory/Generic,9,Privacy Policy IFSA-Butler is committed to respecting your privacy and protecting the information we receive from you. This policy is intended to outline the information we collect from users who visit and submit applications to our website and how we use and disclose that information.,"{""Other Type"": {""endIndexInSegment"": 315, ""startIndexInSegment"": 9, ""selectedText"": ""Privacy Policy IFSA-Butler is committed to respecting your privacy and protecting the information we receive from you. This policy is intended to outline the information we collect from users who visit and submit applications to our website and how we use and disclose that information."", ""value"": ""Introductory/Generic""}}",9,315
1,13992,3697,0,First Party Collection/Use,0,we collect from users who visit and submit applications to our website,"{""Collection Mode"": {""endIndexInSegment"": 269, ""startIndexInSegment"": 199, ""selectedText"": ""we collect from users who visit and submit applications to our website"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 269, ""startIndexInSegment"": 199, ""selectedText"": ""we collect from users who visit and submit applications to our website"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 198, ""startIndexInSegment"": 187, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 220, ""startIndexInSegment"": 187, ""selectedText"": ""information we collect from users"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 315, ""startIndexInSegment"": 274, ""selectedText"": ""how we use and disclose that information."", ""value"": ""Unspecified""}}",199,269
2,13992,3697,0,First Party Collection/Use,0,we collect from users who visit and submit applications to our website,"{""Collection Mode"": {""endIndexInSegment"": 269, ""startIndexInSegment"": 199, ""selectedText"": ""we collect from users who visit and submit applications to our website"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 269, ""startIndexInSegment"": 199, ""selectedText"": ""we collect from users who visit and submit applications to our website"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 198, ""startIndexInSegment"": 187, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 220, ""startIndexInSegment"": 187, ""selectedText"": ""information we collect from users"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 315, ""startIndexInSegment"": 274, ""selectedText"": ""how we use and disclose that information."", ""value"": ""Unspecified""}}",199,269
3,13992,3697,0,First Party Collection/Use,0,information we collect from users,"{""Collection Mode"": {""endIndexInSegment"": 269, ""startIndexInSegment"": 199, ""selectedText"": ""we collect from users who visit and submit applications to our website"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 269, ""startIndexInSegment"": 199, ""selectedText"": ""we collect from users who visit and submit applications to our website"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 198, ""startIndexInSegment"": 187, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 220, ""startIndexInSegment"": 187, ""selectedText"": ""information we collect from users"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 315, ""startIndexInSegment"": 274, ""selectedText"": ""how we use and disclose that information."", ""value"": ""Unspecified""}}",187,220
4,C542,3697,1,First Party Collection/Use,0,information that is voluntarily supplied by visitors,"{""Collection Mode"": {""endIndexInSegment"": 371, ""startIndexInSegment"": 319, ""selectedText"": ""information that is voluntarily supplied by visitors"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 123, ""startIndexInSegment"": 93, ""selectedText"": ""from visitors to this website:"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 67, ""startIndexInSegment"": 47, ""selectedText"": ""IFSA-Butler collects"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",319,371
5,C542,3697,1,First Party Collection/Use,0,from visitors to this website:,"{""Collection Mode"": {""endIndexInSegment"": 371, ""startIndexInSegment"": 319, ""selectedText"": ""information that is voluntarily supplied by visitors"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 123, ""startIndexInSegment"": 93, ""selectedText"": ""from visitors to this website:"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 67, ""startIndexInSegment"": 47, ""selectedText"": ""IFSA-Butler collects"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",93,123
6,C542,3697,1,First Party Collection/Use,0,IFSA-Butler collects,"{""Collection Mode"": {""endIndexInSegment"": 371, ""startIndexInSegment"": 319, ""selectedText"": ""information that is voluntarily supplied by visitors"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 123, ""startIndexInSegment"": 93, ""selectedText"": ""from visitors to this website:"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 67, ""startIndexInSegment"": 47, ""selectedText"": ""IFSA-Butler collects"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",47,67
7,C543,3697,1,First Party Collection/Use,0,"<strong> Information We Collect <br> </strong> IFSA-Butler collects two types of information from visitors to this website:<ol> <li> non-personally identifiable information that is automatically collected anytime you visit an IFSA-Butler webpage,","{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 246, ""startIndexInSegment"": 0, ""selectedText"": ""<strong> Information We Collect <br> </strong> IFSA-Butler collects two types of information from visitors to this website:<ol> <li> non-personally identifiable information that is automatically collected anytime you visit an IFSA-Butler webpage,"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 307, ""startIndexInSegment"": 267, ""selectedText"": ""browser type, and referring websites and"", ""value"": ""Computer information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": 172, ""startIndexInSegment"": 133, ""selectedText"": ""non-personally identifiable information"", ""value"": ""Aggregated or anonymized""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 123, ""startIndexInSegment"": 47, ""selectedText"": ""IFSA-Butler collects two types of information from visitors to this website:"", ""value"": ""Unspecified""}}",0,246
8,4436,3697,1,First Party Collection/Use,0,automatically collected anytime you visit an IFSA-Butler webpage,"{""Collection Mode"": {""endIndexInSegment"": 245, ""startIndexInSegment"": 181, ""selectedText"": ""automatically collected anytime you visit an IFSA-Butler webpage"", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": 204, ""startIndexInSegment"": 181, ""selectedText"": ""automatically collected"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": 245, ""startIndexInSegment"": 181, ""selectedText"": ""automatically collected anytime you visit an IFSA-Butler webpage"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 265, ""startIndexInSegment"": 255, ""selectedText"": ""IP address"", ""value"": ""IP address and device IDs""}, ""Choice Type"": {""endIndexInSegment"": 245, ""startIndexInSegment"": 181, ""selectedText"": ""automatically collected anytime you visit an IFSA-Butler webpage"", ""value"": ""Dont use service/feature""}, ""Identifiability"": {""endIndexInSegment"": 172, ""startIndexInSegment"": 133, ""selectedText"": ""non-personally identifiable information"", ""value"": ""Other""}, ""Does/Does Not"": {""endIndexInSegment"": 31, ""startIndexInSegment"": 9, ""selectedText"": ""Information We Collect"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",181,245
9,4436,3697,1,First Party Collection/Use,0,automatically collected anytime you visit an IFSA-Butler webpage,"{""Collection Mode"": {""endIndexInSegment"": 245, ""startIndexInSegment"": 181, ""selectedText"": ""automatically collected anytime you visit an IFSA-Butler webpage"", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": 204, ""startIndexInSegment"": 181, ""selectedText"": ""automatically collected"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": 245, ""startIndexInSegment"": 181, ""selectedText"": ""automatically collected anytime you visit an IFSA-Butler webpage"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 265, ""startIndexInSegment"": 255, ""selectedText"": ""IP address"", ""value"": ""IP address and device IDs""}, ""Choice Type"": {""endIndexInSegment"": 245, ""startIndexInSegment"": 181, ""selectedText"": ""automatically collected anytime you visit an IFSA-Butler webpage"", ""value"": ""Dont use service/feature""}, ""Identifiability"": {""endIndexInSegment"": 172, ""startIndexInSegment"": 133, ""selectedText"": ""non-personally identifiable information"", ""value"": ""Other""}, ""Does/Does Not"": {""endIndexInSegment"": 31, ""startIndexInSegment"": 9, ""selectedText"": ""Information We Collect"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",181,245
