,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C738,3713,0,First Party Collection/Use,0,that you voluntarily provide.,"{""Collection Mode"": {""selectedText"": ""that you voluntarily provide."", ""startIndexInSegment"": 336, ""endIndexInSegment"": 365, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""collect personal information"", ""startIndexInSegment"": 307, ""endIndexInSegment"": 335, ""value"": ""Collection""}, ""Action First-Party"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""personal information"", ""startIndexInSegment"": 315, ""endIndexInSegment"": 335, ""value"": ""Generic personal information""}, ""Choice Type"": {""selectedText"": ""you voluntarily provide"", ""startIndexInSegment"": 341, ""endIndexInSegment"": 364, ""value"": ""Opt-in""}, ""Identifiability"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""selectedText"": ""We will only collect"", ""startIndexInSegment"": 294, ""endIndexInSegment"": 314, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""our online visitors and subscribers"", ""startIndexInSegment"": 175, ""endIndexInSegment"": 210, ""value"": ""Other""}, ""Purpose"": {""selectedText"": ""We will only use the personal information you provide for its intended purpose."", ""startIndexInSegment"": 376, ""endIndexInSegment"": 455, ""value"": ""Unspecified""}}",336,365
1,C738,3713,0,First Party Collection/Use,0,We will only collect,"{""Collection Mode"": {""selectedText"": ""that you voluntarily provide."", ""startIndexInSegment"": 336, ""endIndexInSegment"": 365, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""collect personal information"", ""startIndexInSegment"": 307, ""endIndexInSegment"": 335, ""value"": ""Collection""}, ""Action First-Party"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""personal information"", ""startIndexInSegment"": 315, ""endIndexInSegment"": 335, ""value"": ""Generic personal information""}, ""Choice Type"": {""selectedText"": ""you voluntarily provide"", ""startIndexInSegment"": 341, ""endIndexInSegment"": 364, ""value"": ""Opt-in""}, ""Identifiability"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""selectedText"": ""We will only collect"", ""startIndexInSegment"": 294, ""endIndexInSegment"": 314, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""our online visitors and subscribers"", ""startIndexInSegment"": 175, ""endIndexInSegment"": 210, ""value"": ""Other""}, ""Purpose"": {""selectedText"": ""We will only use the personal information you provide for its intended purpose."", ""startIndexInSegment"": 376, ""endIndexInSegment"": 455, ""value"": ""Unspecified""}}",294,314
2,C739,3713,0,Third Party Sharing/Collection,1,government agency,"{""Third Party Entity"": {""endIndexInSegment"": 531, ""startIndexInSegment"": 514, ""selectedText"": ""government agency"", ""value"": ""Other part of company/affiliate""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 550, ""startIndexInSegment"": 535, ""selectedText"": ""required by law"", ""value"": ""Legal requirement""}, ""Personal Information Type"": {""endIndexInSegment"": 508, ""startIndexInSegment"": 488, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 487, ""startIndexInSegment"": 466, ""selectedText"": ""We will only disclose"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 487, ""startIndexInSegment"": 479, ""selectedText"": ""disclose"", ""value"": ""Receive/Shared with""}}",514,531
3,C739,3713,0,Third Party Sharing/Collection,1,disclose,"{""Third Party Entity"": {""endIndexInSegment"": 531, ""startIndexInSegment"": 514, ""selectedText"": ""government agency"", ""value"": ""Other part of company/affiliate""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 550, ""startIndexInSegment"": 535, ""selectedText"": ""required by law"", ""value"": ""Legal requirement""}, ""Personal Information Type"": {""endIndexInSegment"": 508, ""startIndexInSegment"": 488, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 487, ""startIndexInSegment"": 466, ""selectedText"": ""We will only disclose"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 487, ""startIndexInSegment"": 479, ""selectedText"": ""disclose"", ""value"": ""Receive/Shared with""}}",479,487
4,C739,3713,0,Third Party Sharing/Collection,1,We will only disclose,"{""Third Party Entity"": {""endIndexInSegment"": 531, ""startIndexInSegment"": 514, ""selectedText"": ""government agency"", ""value"": ""Other part of company/affiliate""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 550, ""startIndexInSegment"": 535, ""selectedText"": ""required by law"", ""value"": ""Legal requirement""}, ""Personal Information Type"": {""endIndexInSegment"": 508, ""startIndexInSegment"": 488, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 487, ""startIndexInSegment"": 466, ""selectedText"": ""We will only disclose"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 487, ""startIndexInSegment"": 479, ""selectedText"": ""disclose"", ""value"": ""Receive/Shared with""}}",466,487
5,C740,3713,0,Third Party Sharing/Collection,1,to other outside parties,"{""Third Party Entity"": {""endIndexInSegment"": 823, ""startIndexInSegment"": 799, ""selectedText"": ""to other outside parties"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 798, ""startIndexInSegment"": 773, ""selectedText"": ""your personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": 864, ""startIndexInSegment"": 824, ""selectedText"": ""without first obtaining your permission."", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": 772, ""startIndexInSegment"": 752, ""selectedText"": ""We will not disclose"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action Third Party"": {""endIndexInSegment"": 798, ""startIndexInSegment"": 764, ""selectedText"": ""disclose your personal information"", ""value"": ""Receive/Shared with""}}",799,823
6,C740,3713,0,Third Party Sharing/Collection,1,disclose your personal information,"{""Third Party Entity"": {""endIndexInSegment"": 823, ""startIndexInSegment"": 799, ""selectedText"": ""to other outside parties"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 798, ""startIndexInSegment"": 773, ""selectedText"": ""your personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": 864, ""startIndexInSegment"": 824, ""selectedText"": ""without first obtaining your permission."", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": 772, ""startIndexInSegment"": 752, ""selectedText"": ""We will not disclose"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action Third Party"": {""endIndexInSegment"": 798, ""startIndexInSegment"": 764, ""selectedText"": ""disclose your personal information"", ""value"": ""Receive/Shared with""}}",764,798
7,C740,3713,0,Third Party Sharing/Collection,1,We will not disclose,"{""Third Party Entity"": {""endIndexInSegment"": 823, ""startIndexInSegment"": 799, ""selectedText"": ""to other outside parties"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 798, ""startIndexInSegment"": 773, ""selectedText"": ""your personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": 864, ""startIndexInSegment"": 824, ""selectedText"": ""without first obtaining your permission."", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": 772, ""startIndexInSegment"": 752, ""selectedText"": ""We will not disclose"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action Third Party"": {""endIndexInSegment"": 798, ""startIndexInSegment"": 764, ""selectedText"": ""disclose your personal information"", ""value"": ""Receive/Shared with""}}",752,772
8,8391,3713,0,Third Party Sharing/Collection,1,contractors or associates,"{""Third Party Entity"": {""endIndexInSegment"": 633, ""startIndexInSegment"": 608, ""selectedText"": ""contractors or associates"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 660, ""startIndexInSegment"": 637, ""selectedText"": ""carry out your requests"", ""value"": ""Basic service/feature""}, ""Personal Information Type"": {""endIndexInSegment"": 508, ""startIndexInSegment"": 488, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 583, ""startIndexInSegment"": 562, ""selectedText"": ""We will only disclose"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 487, ""startIndexInSegment"": 479, ""selectedText"": ""disclose"", ""value"": ""Receive/Shared with""}}",608,633
9,8391,3713,0,Third Party Sharing/Collection,1,disclose,"{""Third Party Entity"": {""endIndexInSegment"": 633, ""startIndexInSegment"": 608, ""selectedText"": ""contractors or associates"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 660, ""startIndexInSegment"": 637, ""selectedText"": ""carry out your requests"", ""value"": ""Basic service/feature""}, ""Personal Information Type"": {""endIndexInSegment"": 508, ""startIndexInSegment"": 488, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 583, ""startIndexInSegment"": 562, ""selectedText"": ""We will only disclose"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 487, ""startIndexInSegment"": 479, ""selectedText"": ""disclose"", ""value"": ""Receive/Shared with""}}",479,487
10,8391,3713,0,Third Party Sharing/Collection,1,We will only disclose,"{""Third Party Entity"": {""endIndexInSegment"": 633, ""startIndexInSegment"": 608, ""selectedText"": ""contractors or associates"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 660, ""startIndexInSegment"": 637, ""selectedText"": ""carry out your requests"", ""value"": ""Basic service/feature""}, ""Personal Information Type"": {""endIndexInSegment"": 508, ""startIndexInSegment"": 488, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 583, ""startIndexInSegment"": 562, ""selectedText"": ""We will only disclose"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 487, ""startIndexInSegment"": 479, ""selectedText"": ""disclose"", ""value"": ""Receive/Shared with""}}",562,583
11,8392,3713,0,Third Party Sharing/Collection,1,other outside parties,"{""Third Party Entity"": {""endIndexInSegment"": 823, ""startIndexInSegment"": 802, ""selectedText"": ""other outside parties"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": 772, ""startIndexInSegment"": 764, ""selectedText"": ""disclose"", ""value"": ""Use""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 798, ""startIndexInSegment"": 778, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": 863, ""startIndexInSegment"": 824, ""selectedText"": ""without first obtaining your permission"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 763, ""startIndexInSegment"": 755, ""selectedText"": ""will not"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 772, ""startIndexInSegment"": 764, ""selectedText"": ""disclose"", ""value"": ""Receive/Shared with""}}",802,823
12,8392,3713,0,Third Party Sharing/Collection,1,disclose,"{""Third Party Entity"": {""endIndexInSegment"": 823, ""startIndexInSegment"": 802, ""selectedText"": ""other outside parties"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": 772, ""startIndexInSegment"": 764, ""selectedText"": ""disclose"", ""value"": ""Use""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 798, ""startIndexInSegment"": 778, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": 863, ""startIndexInSegment"": 824, ""selectedText"": ""without first obtaining your permission"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 763, ""startIndexInSegment"": 755, ""selectedText"": ""will not"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 772, ""startIndexInSegment"": 764, ""selectedText"": ""disclose"", ""value"": ""Receive/Shared with""}}",764,772
13,8392,3713,0,Third Party Sharing/Collection,1,will not,"{""Third Party Entity"": {""endIndexInSegment"": 823, ""startIndexInSegment"": 802, ""selectedText"": ""other outside parties"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": 772, ""startIndexInSegment"": 764, ""selectedText"": ""disclose"", ""value"": ""Use""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 798, ""startIndexInSegment"": 778, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": 863, ""startIndexInSegment"": 824, ""selectedText"": ""without first obtaining your permission"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 763, ""startIndexInSegment"": 755, ""selectedText"": ""will not"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 772, ""startIndexInSegment"": 764, ""selectedText"": ""disclose"", ""value"": ""Receive/Shared with""}}",755,763
14,8394,3713,0,Data Security,5,We have implemented safeguards to protect any information collected.,"{""Security Measure"": {""endIndexInSegment"": 1032, ""startIndexInSegment"": 964, ""selectedText"": ""We have implemented safeguards to protect any information collected."", ""value"": ""Generic""}}",964,1032
15,9776,3713,0,Introductory/Generic,9,Privacy Policy Protecting your personal information and privacy is important to the Library.,"{""Other Type"": {""endIndexInSegment"": 121, ""startIndexInSegment"": 9, ""selectedText"": ""Privacy Policy Protecting your personal information and privacy is important to the Library."", ""value"": ""Introductory/Generic""}}",9,121
16,9777,3713,0,First Party Collection/Use,0,We will only collect personal information that you voluntarily provide.,"{""Collection Mode"": {""endIndexInSegment"": 365, ""startIndexInSegment"": 294, ""selectedText"": ""We will only collect personal information that you voluntarily provide."", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 194, ""startIndexInSegment"": 122, ""selectedText"": ""We collect, use, and share information obtained from our online visitors"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 160, ""startIndexInSegment"": 149, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 454, ""startIndexInSegment"": 376, ""selectedText"": ""We will only use the personal information you provide for its intended purpose"", ""value"": ""Unspecified""}}",294,365
17,9777,3713,0,First Party Collection/Use,0,"We collect, use, and share information obtained from our online visitors","{""Collection Mode"": {""endIndexInSegment"": 365, ""startIndexInSegment"": 294, ""selectedText"": ""We will only collect personal information that you voluntarily provide."", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 194, ""startIndexInSegment"": 122, ""selectedText"": ""We collect, use, and share information obtained from our online visitors"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 160, ""startIndexInSegment"": 149, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 454, ""startIndexInSegment"": 376, ""selectedText"": ""We will only use the personal information you provide for its intended purpose"", ""value"": ""Unspecified""}}",122,194
18,9778,3713,0,First Party Collection/Use,0,We will only collect personal information that you voluntarily provide.,"{""Collection Mode"": {""endIndexInSegment"": 365, ""startIndexInSegment"": 294, ""selectedText"": ""We will only collect personal information that you voluntarily provide."", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 283, ""startIndexInSegment"": 199, ""selectedText"": ""subscribers to Short Message Service (SMS) notifications only in the following ways:"", ""value"": ""Other""}, ""Personal Information Type"": {""endIndexInSegment"": 160, ""startIndexInSegment"": 149, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 454, ""startIndexInSegment"": 376, ""selectedText"": ""We will only use the personal information you provide for its intended purpose"", ""value"": ""Unspecified""}}",294,365
19,9778,3713,0,First Party Collection/Use,0,subscribers to Short Message Service (SMS) notifications only in the following ways:,"{""Collection Mode"": {""endIndexInSegment"": 365, ""startIndexInSegment"": 294, ""selectedText"": ""We will only collect personal information that you voluntarily provide."", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 283, ""startIndexInSegment"": 199, ""selectedText"": ""subscribers to Short Message Service (SMS) notifications only in the following ways:"", ""value"": ""Other""}, ""Personal Information Type"": {""endIndexInSegment"": 160, ""startIndexInSegment"": 149, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 454, ""startIndexInSegment"": 376, ""selectedText"": ""We will only use the personal information you provide for its intended purpose"", ""value"": ""Unspecified""}}",199,283
20,9779,3713,0,First Party Collection/Use,0,We will only collect personal information that you voluntarily provide.,"{""Collection Mode"": {""endIndexInSegment"": 365, ""startIndexInSegment"": 294, ""selectedText"": ""We will only collect personal information that you voluntarily provide."", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 283, ""startIndexInSegment"": 199, ""selectedText"": ""subscribers to Short Message Service (SMS) notifications only in the following ways:"", ""value"": ""Other""}, ""Personal Information Type"": {""endIndexInSegment"": 508, ""startIndexInSegment"": 488, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 551, ""startIndexInSegment"": 466, ""selectedText"": ""We will only disclose personal information to a government agency if required by law."", ""value"": ""Legal requirement""}}",294,365
