,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C3720,3830,0,Introductory/Generic,9,"PRIVACY POLICY Copyright 2008 Abita and ABITA.COM, LLC TM. All Right Reserved.","{""Other Type"": {""endIndexInSegment"": 107, ""startIndexInSegment"": 9, ""selectedText"": ""PRIVACY POLICY Copyright 2008 Abita and ABITA.COM, LLC TM. All Right Reserved."", ""value"": ""Introductory/Generic""}}",9,107
1,C3721,3830,1,User Choice/Control,2,"By accessing this website, you are consenting to the information collection and use practices described in this privacy statement.","{""Choice Type"": {""endIndexInSegment"": 177, ""startIndexInSegment"": 47, ""selectedText"": ""By accessing this website, you are consenting to the information collection and use practices described in this privacy statement."", ""value"": ""Dont use service/feature""}, ""Choice Scope"": {""endIndexInSegment"": 130, ""startIndexInSegment"": 113, ""selectedText"": ""ollection and use"", ""value"": ""Unspecified""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 111, ""startIndexInSegment"": 100, ""selectedText"": ""information"", ""value"": ""Unspecified""}}",47,177
2,C3721,3830,1,User Choice/Control,2,ollection and use,"{""Choice Type"": {""endIndexInSegment"": 177, ""startIndexInSegment"": 47, ""selectedText"": ""By accessing this website, you are consenting to the information collection and use practices described in this privacy statement."", ""value"": ""Dont use service/feature""}, ""Choice Scope"": {""endIndexInSegment"": 130, ""startIndexInSegment"": 113, ""selectedText"": ""ollection and use"", ""value"": ""Unspecified""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 111, ""startIndexInSegment"": 100, ""selectedText"": ""information"", ""value"": ""Unspecified""}}",113,130
3,13373,3830,1,Introductory/Generic,9,Abita is committed to protecting your privacy.,"{""Other Type"": {""endIndexInSegment"": 46, ""startIndexInSegment"": 0, ""selectedText"": ""Abita is committed to protecting your privacy."", ""value"": ""Introductory/Generic""}}",0,46
4,13654,3830,1,Data Security,5,Abita is committed to protecting your privacy.,"{""Security Measure"": {""endIndexInSegment"": 46, ""startIndexInSegment"": 0, ""selectedText"": ""Abita is committed to protecting your privacy."", ""value"": ""Generic""}}",0,46
5,13656,3830,1,User Choice/Control,2,"By accessing this website, you are consenting to the information collection and use practices described in this privacy statement.","{""Choice Type"": {""endIndexInSegment"": 177, ""startIndexInSegment"": 47, ""selectedText"": ""By accessing this website, you are consenting to the information collection and use practices described in this privacy statement."", ""value"": ""Dont use service/feature""}, ""Choice Scope"": {""endIndexInSegment"": 130, ""startIndexInSegment"": 127, ""selectedText"": ""use"", ""value"": ""First party use""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 177, ""startIndexInSegment"": 47, ""selectedText"": ""By accessing this website, you are consenting to the information collection and use practices described in this privacy statement."", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 111, ""startIndexInSegment"": 96, ""selectedText"": ""the information"", ""value"": ""Unspecified""}}",47,177
6,13656,3830,1,User Choice/Control,2,use,"{""Choice Type"": {""endIndexInSegment"": 177, ""startIndexInSegment"": 47, ""selectedText"": ""By accessing this website, you are consenting to the information collection and use practices described in this privacy statement."", ""value"": ""Dont use service/feature""}, ""Choice Scope"": {""endIndexInSegment"": 130, ""startIndexInSegment"": 127, ""selectedText"": ""use"", ""value"": ""First party use""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 177, ""startIndexInSegment"": 47, ""selectedText"": ""By accessing this website, you are consenting to the information collection and use practices described in this privacy statement."", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 111, ""startIndexInSegment"": 96, ""selectedText"": ""the information"", ""value"": ""Unspecified""}}",127,130
7,12433,3830,1,Introductory/Generic,9,"Abita is committed to protecting your privacy. By accessing this website, you are consenting to the information collection and use practices described in this privacy statement.","{""Other Type"": {""endIndexInSegment"": 177, ""startIndexInSegment"": 0, ""selectedText"": ""Abita is committed to protecting your privacy. By accessing this website, you are consenting to the information collection and use practices described in this privacy statement."", ""value"": ""Introductory/Generic""}}",0,177
8,C3722,3830,2,First Party Collection/Use,0,we collect,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 531, ""startIndexInSegment"": 521, ""selectedText"": ""we collect"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 707, ""startIndexInSegment"": 639, ""selectedText"": ""information about your job function, information about your company,"", ""value"": ""Other""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 790, ""startIndexInSegment"": 496, ""selectedText"": ""The personal information we collect may include your name, title, company or organization name, work e-mail, work phone, work or home address, information about your job function, information about your company, information about circumstances related to your purchase, and payment information."", ""value"": ""Unspecified""}}",521,531
9,C3723,3830,2,First Party Collection/Use,0,We will ask you,"{""Collection Mode"": {""endIndexInSegment"": 85, ""startIndexInSegment"": 70, ""selectedText"": ""We will ask you"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 85, ""startIndexInSegment"": 70, ""selectedText"": ""We will ask you"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 192, ""startIndexInSegment"": 168, ""selectedText"": ""allows us to contact you"", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 495, ""startIndexInSegment"": 330, ""selectedText"": ""entering a contest, ordering e-mail newsletters, joining a limited-access premium site or service, or when purchasing, downloading and/or registering Abita products."", ""value"": ""Additional service/feature""}}",70,85
