,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C1046,3704,0,First Party Collection/Use,0,we give you opportunities to provide your,"{""Collection Mode"": {""endIndexInSegment"": 234, ""startIndexInSegment"": 193, ""selectedText"": ""we give you opportunities to provide your"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 192, ""startIndexInSegment"": 180, ""selectedText"": ""In our site,"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 286, ""startIndexInSegment"": 260, ""selectedText"": ""other relevant information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 234, ""startIndexInSegment"": 219, ""selectedText"": ""to provide your"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 350, ""startIndexInSegment"": 299, ""selectedText"": ""to give you a more personalized shopping experience"", ""value"": ""Personalization/Customization""}}",193,234
1,C1046,3704,0,First Party Collection/Use,0,"In our site,","{""Collection Mode"": {""endIndexInSegment"": 234, ""startIndexInSegment"": 193, ""selectedText"": ""we give you opportunities to provide your"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 192, ""startIndexInSegment"": 180, ""selectedText"": ""In our site,"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 286, ""startIndexInSegment"": 260, ""selectedText"": ""other relevant information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 234, ""startIndexInSegment"": 219, ""selectedText"": ""to provide your"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 350, ""startIndexInSegment"": 299, ""selectedText"": ""to give you a more personalized shopping experience"", ""value"": ""Personalization/Customization""}}",180,192
2,C1046,3704,0,First Party Collection/Use,0,to provide your,"{""Collection Mode"": {""endIndexInSegment"": 234, ""startIndexInSegment"": 193, ""selectedText"": ""we give you opportunities to provide your"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 192, ""startIndexInSegment"": 180, ""selectedText"": ""In our site,"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 286, ""startIndexInSegment"": 260, ""selectedText"": ""other relevant information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 234, ""startIndexInSegment"": 219, ""selectedText"": ""to provide your"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 350, ""startIndexInSegment"": 299, ""selectedText"": ""to give you a more personalized shopping experience"", ""value"": ""Personalization/Customization""}}",219,234
3,C1047,3704,0,First Party Collection/Use,0,we give you opportunities to provide your,"{""Collection Mode"": {""endIndexInSegment"": 234, ""startIndexInSegment"": 193, ""selectedText"": ""we give you opportunities to provide your"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 192, ""startIndexInSegment"": 180, ""selectedText"": ""In our site,"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 286, ""startIndexInSegment"": 260, ""selectedText"": ""other relevant information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 234, ""startIndexInSegment"": 219, ""selectedText"": ""to provide your"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 402, ""startIndexInSegment"": 355, ""selectedText"": ""to make ordering and reordering easier for you."", ""value"": ""Additional service/feature""}}",193,234
4,C1047,3704,0,First Party Collection/Use,0,"In our site,","{""Collection Mode"": {""endIndexInSegment"": 234, ""startIndexInSegment"": 193, ""selectedText"": ""we give you opportunities to provide your"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 192, ""startIndexInSegment"": 180, ""selectedText"": ""In our site,"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 286, ""startIndexInSegment"": 260, ""selectedText"": ""other relevant information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 234, ""startIndexInSegment"": 219, ""selectedText"": ""to provide your"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 402, ""startIndexInSegment"": 355, ""selectedText"": ""to make ordering and reordering easier for you."", ""value"": ""Additional service/feature""}}",180,192
5,C1047,3704,0,First Party Collection/Use,0,to provide your,"{""Collection Mode"": {""endIndexInSegment"": 234, ""startIndexInSegment"": 193, ""selectedText"": ""we give you opportunities to provide your"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 192, ""startIndexInSegment"": 180, ""selectedText"": ""In our site,"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 286, ""startIndexInSegment"": 260, ""selectedText"": ""other relevant information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 234, ""startIndexInSegment"": 219, ""selectedText"": ""to provide your"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 402, ""startIndexInSegment"": 355, ""selectedText"": ""to make ordering and reordering easier for you."", ""value"": ""Additional service/feature""}}",219,234
6,C1048,3704,0,First Party Collection/Use,0,we give you opportunities to provide your,"{""Collection Mode"": {""endIndexInSegment"": 234, ""startIndexInSegment"": 193, ""selectedText"": ""we give you opportunities to provide your"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 192, ""startIndexInSegment"": 180, ""selectedText"": ""In our site,"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 255, ""startIndexInSegment"": 230, ""selectedText"": ""your name, address, email"", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 234, ""startIndexInSegment"": 219, ""selectedText"": ""to provide your"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 350, ""startIndexInSegment"": 299, ""selectedText"": ""to give you a more personalized shopping experience"", ""value"": ""Personalization/Customization""}}",193,234
7,C1048,3704,0,First Party Collection/Use,0,"In our site,","{""Collection Mode"": {""endIndexInSegment"": 234, ""startIndexInSegment"": 193, ""selectedText"": ""we give you opportunities to provide your"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 192, ""startIndexInSegment"": 180, ""selectedText"": ""In our site,"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 255, ""startIndexInSegment"": 230, ""selectedText"": ""your name, address, email"", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 234, ""startIndexInSegment"": 219, ""selectedText"": ""to provide your"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 350, ""startIndexInSegment"": 299, ""selectedText"": ""to give you a more personalized shopping experience"", ""value"": ""Personalization/Customization""}}",180,192
8,C1048,3704,0,First Party Collection/Use,0,to provide your,"{""Collection Mode"": {""endIndexInSegment"": 234, ""startIndexInSegment"": 193, ""selectedText"": ""we give you opportunities to provide your"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 192, ""startIndexInSegment"": 180, ""selectedText"": ""In our site,"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 255, ""startIndexInSegment"": 230, ""selectedText"": ""your name, address, email"", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 234, ""startIndexInSegment"": 219, ""selectedText"": ""to provide your"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 350, ""startIndexInSegment"": 299, ""selectedText"": ""to give you a more personalized shopping experience"", ""value"": ""Personalization/Customization""}}",219,234
9,C1049,3704,0,First Party Collection/Use,0,we give you opportunities to provide your,"{""Collection Mode"": {""endIndexInSegment"": 234, ""startIndexInSegment"": 193, ""selectedText"": ""we give you opportunities to provide your"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 192, ""startIndexInSegment"": 180, ""selectedText"": ""In our site,"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 255, ""startIndexInSegment"": 230, ""selectedText"": ""your name, address, email"", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 234, ""startIndexInSegment"": 219, ""selectedText"": ""to provide your"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 402, ""startIndexInSegment"": 355, ""selectedText"": ""to make ordering and reordering easier for you."", ""value"": ""Additional service/feature""}}",193,234
