,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C1151,3864,0,Introductory/Generic,9,"Welcome to the Google Privacy Policy When you use Google services, you trust us with your information. This Privacy Policy is meant to help you understand what data we collect, why we collect it, and what we do with it. This is important; we hope you will take time to read it carefully. And remember, you can find controls to manage your information and protect your privacy and security at My Account.","{""Other Type"": {""selectedText"": ""Welcome to the Google Privacy Policy When you use Google services, you trust us with your information. This Privacy Policy is meant to help you understand what data we collect, why we collect it, and what we do with it. This is important; we hope you will take time to read it carefully. And remember, you can find controls to manage your information and protect your privacy and security at My Account."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 432, ""value"": ""Introductory/Generic""}}",0,432
1,16705,3864,0,User Choice/Control,2,you can find controls to manage your information and protect your privacy and security at My Account,"{""Choice Type"": {""selectedText"": ""you can find controls to manage your information and protect your privacy and security at My Account"", ""startIndexInSegment"": 331, ""endIndexInSegment"": 431, ""value"": ""First-party privacy controls""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""User Type"": {""selectedText"": ""My Account"", ""startIndexInSegment"": 421, ""endIndexInSegment"": 431, ""value"": ""User with account""}, ""Purpose"": {""selectedText"": ""to manage your information and protect your privacy and security"", ""startIndexInSegment"": 353, ""endIndexInSegment"": 417, ""value"": ""Service Operation and Security""}, ""Personal Information Type"": {""selectedText"": ""your information"", ""startIndexInSegment"": 363, ""endIndexInSegment"": 379, ""value"": ""Unspecified""}}",331,431
2,16705,3864,0,User Choice/Control,2,My Account,"{""Choice Type"": {""selectedText"": ""you can find controls to manage your information and protect your privacy and security at My Account"", ""startIndexInSegment"": 331, ""endIndexInSegment"": 431, ""value"": ""First-party privacy controls""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""User Type"": {""selectedText"": ""My Account"", ""startIndexInSegment"": 421, ""endIndexInSegment"": 431, ""value"": ""User with account""}, ""Purpose"": {""selectedText"": ""to manage your information and protect your privacy and security"", ""startIndexInSegment"": 353, ""endIndexInSegment"": 417, ""value"": ""Service Operation and Security""}, ""Personal Information Type"": {""selectedText"": ""your information"", ""startIndexInSegment"": 363, ""endIndexInSegment"": 379, ""value"": ""Unspecified""}}",421,431
3,C1152,3864,1,Introductory/Generic,9,"Privacy Policy Last modified: June 30, 2015 ( view archived versions)","{""Other Type"": {""selectedText"": ""Privacy Policy Last modified: June 30, 2015 ( view archived versions)"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 84, ""value"": ""Introductory/Generic""}}",0,84
4,15957,3864,1,Policy Change,6,"Privacy Policy Last modified: June 30, 2015 ( view archived versions)","{""Change Type"": {""selectedText"": ""Privacy Policy Last modified: June 30, 2015 ( view archived versions)"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 79, ""value"": ""Unspecified""}, ""User Choice"": {""selectedText"": ""Privacy Policy Last modified: June 30, 2015 ( view archived versions)"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 79, ""value"": ""Unspecified""}, ""Notification Type"": {""selectedText"": ""Privacy Policy Last modified: June 30, 2015 ( view archived versions)"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 79, ""value"": ""General notice in privacy policy""}}",0,79
5,15958,3864,2,Introductory/Generic,9,"There are many different ways you can use our services - to search for and share information, to communicate with other people or to create new content","{""Other Type"": {""selectedText"": ""There are many different ways you can use our services - to search for and share information, to communicate with other people or to create new content"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 151, ""value"": ""Introductory/Generic""}}",0,151
6,15959,3864,2,First Party Collection/Use,0,When you share,"{""Collection Mode"": {""selectedText"": ""When you share"", ""startIndexInSegment"": 153, ""endIndexInSegment"": 167, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""When you share information with us"", ""startIndexInSegment"": 153, ""endIndexInSegment"": 187, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""information"", ""startIndexInSegment"": 168, ""endIndexInSegment"": 179, ""value"": ""Unspecified""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""or example by creating a Google Account"", ""startIndexInSegment"": 190, ""endIndexInSegment"": 229, ""value"": ""Additional service/feature""}}",153,167
7,15959,3864,2,First Party Collection/Use,0,When you share information with us,"{""Collection Mode"": {""selectedText"": ""When you share"", ""startIndexInSegment"": 153, ""endIndexInSegment"": 167, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""When you share information with us"", ""startIndexInSegment"": 153, ""endIndexInSegment"": 187, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""information"", ""startIndexInSegment"": 168, ""endIndexInSegment"": 179, ""value"": ""Unspecified""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""or example by creating a Google Account"", ""startIndexInSegment"": 190, ""endIndexInSegment"": 229, ""value"": ""Additional service/feature""}}",153,187
8,15961,3864,2,First Party Collection/Use,0,When you share,"{""Collection Mode"": {""selectedText"": ""When you share"", ""startIndexInSegment"": 153, ""endIndexInSegment"": 167, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""When you share information with us"", ""startIndexInSegment"": 153, ""endIndexInSegment"": 187, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""information"", ""startIndexInSegment"": 168, ""endIndexInSegment"": 179, ""value"": ""Unspecified""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""to show you more relevant search results"", ""startIndexInSegment"": 272, ""endIndexInSegment"": 312, ""value"": ""Basic service/feature""}}",153,167
9,15961,3864,2,First Party Collection/Use,0,When you share information with us,"{""Collection Mode"": {""selectedText"": ""When you share"", ""startIndexInSegment"": 153, ""endIndexInSegment"": 167, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""When you share information with us"", ""startIndexInSegment"": 153, ""endIndexInSegment"": 187, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""information"", ""startIndexInSegment"": 168, ""endIndexInSegment"": 179, ""value"": ""Unspecified""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""to show you more relevant search results"", ""startIndexInSegment"": 272, ""endIndexInSegment"": 312, ""value"": ""Basic service/feature""}}",153,187
