,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C1549,3834,0,Other,0,"Last Revised: April, 2011","{""Other Type"": {""selectedText"": ""Last Revised: April, 2011"", ""startIndexInSegment"": 44, ""endIndexInSegment"": 69, ""value"": ""Other""}}",44,69
1,C1550,3834,1,Privacy contact information,11,"If you have any questions, complaints or comments regarding our online or offline privacy policies, please contact SCEA's Consumer Services Hotline at 1-800-345-7669.","{""Other Type"": {""selectedText"": ""If you have any questions, complaints or comments regarding our online or offline privacy policies, please contact SCEA's Consumer Services Hotline at 1-800-345-7669."", ""startIndexInSegment"": 359, ""endIndexInSegment"": 530, ""value"": ""Privacy contact information""}}",359,530
2,C1551,3834,1,Introductory/Generic,9,"Sony Computer Entertainment America LLC (""SCEA"") is committed to respecting the privacy rights of all visitors to our websites. This privacy policy is intended to provide you with information on how we collect, use and store the information that you provide to us through our websites so that you can make appropriate choices for sharing information with us.","{""Other Type"": {""selectedText"": ""Sony Computer Entertainment America LLC (\""SCEA\"") is committed to respecting the privacy rights of all visitors to our websites. This privacy policy is intended to provide you with information on how we collect, use and store the information that you provide to us through our websites so that you can make appropriate choices for sharing information with us."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 358, ""value"": ""Introductory/Generic""}}",0,358
3,C1552,3834,2,Data Security,5,"To protect your privacy to the maximum extent possible, we have undertaken this privacy initiative and our websites have been reviewed and certified by ESRB Privacy Online to meet established online information collection and use practices. As part of the privacy program, we are subject to frequent audits of our sites and other enforcement and accountability mechanisms administered independently by ESRB.","{""Security Measure"": {""selectedText"": ""To protect your privacy to the maximum extent possible, we have undertaken this privacy initiative and our websites have been reviewed and certified by ESRB Privacy Online to meet established online information collection and use practices. As part of the privacy program, we are subject to frequent audits of our sites and other enforcement and accountability mechanisms administered independently by ESRB."", ""startIndexInSegment"": 226, ""endIndexInSegment"": 638, ""value"": ""Privacy/Security program""}}",226,638
4,22979,3834,2,Practice not covered,10,"This Privacy Statement and the certification seal located to your right confirms that SCEA is a valid licensee and participating member in the Entertainment Software Rating Board's Privacy Online Program: ESRB Privacy Online. To protect your privacy to the maximum extent possible, we have undertaken this privacy initiative and our websites have been reviewed and certified by ESRB Privacy Online to meet established online information collection and use practices. As part of the privacy program, we are subject to frequent audits of our sites and other enforcement and accountability mechanisms administered independently by ESRB.","{""Other Type"": {""selectedText"": ""This Privacy Statement and the certification seal located to your right confirms that SCEA is a valid licensee and participating member in the Entertainment Software Rating Board's Privacy Online Program: ESRB Privacy Online. To protect your privacy to the maximum extent possible, we have undertaken this privacy initiative and our websites have been reviewed and certified by ESRB Privacy Online to meet established online information collection and use practices. As part of the privacy program, we are subject to frequent audits of our sites and other enforcement and accountability mechanisms administered independently by ESRB."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 633, ""value"": ""Practice not covered""}}",0,633
5,C1553,3834,3,Introductory/Generic,9,"ESRB Privacy Online is a third-party seal provider whose mission is to protect consumers' online privacy and make the Internet a secure, reliable and private place to share information and conduct business. ESRB Privacy Online promotes and enforces established principles and guidelines for fair information collection practices that include requirements of full disclosure, notice and informed consent.","{""Other Type"": {""selectedText"": ""ESRB Privacy Online is a third-party seal provider whose mission is to protect consumers' online privacy and make the Internet a secure, reliable and private place to share information and conduct business. ESRB Privacy Online promotes and enforces established principles and guidelines for fair information collection practices that include requirements of full disclosure, notice and informed consent."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 408, ""value"": ""Introductory/Generic""}}",0,408
6,15315,3834,3,Data Security,5,"ESRB Privacy Online is a third-party seal provider whose mission is to protect consumers' online privacy and make the Internet a secure, reliable and private place to share information and conduct business. ESRB Privacy Online promotes and enforces established principles and guidelines for fair information collection practices that include requirements of full disclosure, notice and informed consent.","{""Security Measure"": {""selectedText"": ""ESRB Privacy Online is a third-party seal provider whose mission is to protect consumers' online privacy and make the Internet a secure, reliable and private place to share information and conduct business. ESRB Privacy Online promotes and enforces established principles and guidelines for fair information collection practices that include requirements of full disclosure, notice and informed consent."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 403, ""value"": ""Privacy review/audit""}}",0,403
7,C1554,3834,4,Introductory/Generic,9,"Whenever you visit a website that displays the ESRB Privacy Online certification seal, you can expect to be notified of: What personal information may be collected and by what means Who, if anyone, is collecting your personal information How this information may be used, including who, if anyone, it might be shared with The consequences, if any, resulting from your refusal to provide personal information How you can access and, if necessary, change the personal information a company maintains How a company ensures data security, quality and integrity Where and how to ask questions or file complaints","{""Other Type"": {""selectedText"": ""Whenever you visit a website that displays the ESRB Privacy Online certification seal, you can expect to be notified of: What personal information may be collected and by what means Who, if anyone, is collecting your personal information How this information may be used, including who, if anyone, it might be shared with The consequences, if any, resulting from your refusal to provide personal information How you can access and, if necessary, change the personal information a company maintains How a company ensures data security, quality and integrity Where and how to ask questions or file complaints"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 646, ""value"": ""Introductory/Generic""}}",0,646
8,15316,3834,4,Data Security,5,"Whenever you visit a website that displays the ESRB Privacy Online certification seal, you can expect to be notified of: What personal information may be collected and by what means Who, if anyone, is collecting your personal information How this information may be used, including who, if anyone, it might be shared with The consequences, if any, resulting from your refusal to provide personal information How you can access and, if necessary, change the personal information a company maintains How a company ensures data security, quality and integrity Where and how to ask questions or file complaints","{""Security Measure"": {""selectedText"": ""Whenever you visit a website that displays the ESRB Privacy Online certification seal, you can expect to be notified of: What personal information may be collected and by what means Who, if anyone, is collecting your personal information How this information may be used, including who, if anyone, it might be shared with The consequences, if any, resulting from your refusal to provide personal information How you can access and, if necessary, change the personal information a company maintains How a company ensures data security, quality and integrity Where and how to ask questions or file complaints"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 646, ""value"": ""Privacy review/audit""}}",0,646
9,15325,3834,5,User Choice/Control,2,"By use of our websites and games that have dynamic in-game advertising, you signify your assent to SCEA's privacy policy. If you do not agree to this policy, please do not use our websites or games with dynamic in-game advertising.","{""Choice Type"": {""selectedText"": ""By use of our websites and games that have dynamic in-game advertising, you signify your assent to SCEA's privacy policy. If you do not agree to this policy, please do not use our websites or games with dynamic in-game advertising."", ""startIndexInSegment"": 438, ""endIndexInSegment"": 669, ""value"": ""Dont use service/feature""}, ""Choice Scope"": {""selectedText"": "", you signify your assent to SCEA's privacy policy."", ""startIndexInSegment"": 508, ""endIndexInSegment"": 559, ""value"": ""Unspecified""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",438,669
