,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C1596,3706,0,Introductory/Generic,9,"Last updated: December 31, 2014 GameStop knows that you care about your privacy and the use of your personal information. This notice describes our Privacy Policy. This Privacy Policy applies to information we collect about you from any source - through our Websites, in our retail stores, through our Power-Up Rewards Program, in any contest or promotion, or any other way.","{""Other Type"": {""endIndexInSegment"": 428, ""startIndexInSegment"": 44, ""selectedText"": ""Last updated: December 31, 2014 GameStop knows that you care about your privacy and the use of your personal information. This notice describes our Privacy Policy. This Privacy Policy applies to information we collect about you from any source - through our Websites, in our retail stores, through our Power-Up Rewards Program, in any contest or promotion, or any other way."", ""value"": ""Introductory/Generic""}}",44,428
1,8636,3706,0,First Party Collection/Use,0,"This Privacy Policy applies to information we collect about you from any source - through our Websites, in our retail stores, through our Power-Up Rewards Program, in any contest or promotion, or any other way.","{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 428, ""startIndexInSegment"": 218, ""selectedText"": ""This Privacy Policy applies to information we collect about you from any source - through our Websites, in our retail stores, through our Power-Up Rewards Program, in any contest or promotion, or any other way."", ""value"": ""Other""}, ""Personal Information Type"": {""endIndexInSegment"": 297, ""startIndexInSegment"": 249, ""selectedText"": ""information we collect about you from any source"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",218,428
2,8638,3706,0,Introductory/Generic,9,"Privacy Policy Last updated: December 31, 2014 GameStop knows that you care about your privacy and the use of your personal information.","{""Other Type"": {""endIndexInSegment"": 175, ""startIndexInSegment"": 9, ""selectedText"": ""Privacy Policy Last updated: December 31, 2014 GameStop knows that you care about your privacy and the use of your personal information."", ""value"": ""Introductory/Generic""}}",9,175
3,C1597,3706,1,Introductory/Generic,9,"By visiting a GameStop Website or retail store, participating in our PowerUp Rewards Program, or otherwise providing information to GameStop you are accepting the practices described in this Privacy Policy.","{""Other Type"": {""endIndexInSegment"": 206, ""startIndexInSegment"": 0, ""selectedText"": ""By visiting a GameStop Website or retail store, participating in our PowerUp Rewards Program, or otherwise providing information to GameStop you are accepting the practices described in this Privacy Policy."", ""value"": ""Introductory/Generic""}}",0,206
4,8637,3706,1,User Choice/Control,2,"By visiting a GameStop Website or retail store, participating in our PowerUp Rewards Program, or otherwise providing information to GameStop you are accepting the practices described in this Privacy Policy.","{""Choice Type"": {""endIndexInSegment"": 206, ""startIndexInSegment"": 0, ""selectedText"": ""By visiting a GameStop Website or retail store, participating in our PowerUp Rewards Program, or otherwise providing information to GameStop you are accepting the practices described in this Privacy Policy."", ""value"": ""Other""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",0,206
5,C1598,3706,2,Introductory/Generic,9,"In this Privacy Policy, ""GameStop"" means GameStop, Inc., its Websites and its retail stores located in the United States, Guam, and Puerto Rico. ""Website(s)"" means GameStop operated websites and mobile applications, including GameStop.com and PowerUpRewards.com. Our Websites may contain links to other websites. GameStop is not responsible for the privacy practices or the content of such other websites. This Privacy Policy does not apply to other GameStop brands such as BuyMyTronics, Game Informer, Kongregate, or PC Downloads, each of which has its own privacy policy. The word ""computer"" means any device used to connect to a Website, including, but not limited to, mobile devices.","{""Other Type"": {""endIndexInSegment"": 687, ""startIndexInSegment"": 0, ""selectedText"": ""In this Privacy Policy, \""GameStop\"" means GameStop, Inc., its Websites and its retail stores located in the United States, Guam, and Puerto Rico. \""Website(s)\"" means GameStop operated websites and mobile applications, including GameStop.com and PowerUpRewards.com. Our Websites may contain links to other websites. GameStop is not responsible for the privacy practices or the content of such other websites. This Privacy Policy does not apply to other GameStop brands such as BuyMyTronics, Game Informer, Kongregate, or PC Downloads, each of which has its own privacy policy. The word \""computer\"" means any device used to connect to a Website, including, but not limited to, mobile devices."", ""value"": ""Introductory/Generic""}}",0,687
6,8640,3706,2,Practice not covered,10,"GameStop is not responsible for the privacy practices or the content of such other websites. This Privacy Policy does not apply to other GameStop brands such as BuyMyTronics, Game Informer, Kongregate, or PC Downloads, each of which has its own privacy policy.","{""Other Type"": {""endIndexInSegment"": 573, ""startIndexInSegment"": 313, ""selectedText"": ""GameStop is not responsible for the privacy practices or the content of such other websites. This Privacy Policy does not apply to other GameStop brands such as BuyMyTronics, Game Informer, Kongregate, or PC Downloads, each of which has its own privacy policy."", ""value"": ""Practice not covered""}}",313,573
7,C1599,3706,3,First Party Collection/Use,0,ny information you enter on our Websites or that you give us in any other way.,"{""Collection Mode"": {""endIndexInSegment"": 221, ""startIndexInSegment"": 143, ""selectedText"": ""ny information you enter on our Websites or that you give us in any other way."", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 183, ""startIndexInSegment"": 168, ""selectedText"": ""on our Websites"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 119, ""startIndexInSegment"": 91, ""selectedText"": ""Information That You Give Us"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": 272, ""startIndexInSegment"": 222, ""selectedText"": ""You can choose not to provide certain information,"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 141, ""startIndexInSegment"": 121, ""selectedText"": ""We receive and store"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 350, ""startIndexInSegment"": 293, ""selectedText"": ""your ability to purchase products offered on the Websites"", ""value"": ""Basic service/feature""}}",143,221
8,C1599,3706,3,First Party Collection/Use,0,on our Websites,"{""Collection Mode"": {""endIndexInSegment"": 221, ""startIndexInSegment"": 143, ""selectedText"": ""ny information you enter on our Websites or that you give us in any other way."", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 183, ""startIndexInSegment"": 168, ""selectedText"": ""on our Websites"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 119, ""startIndexInSegment"": 91, ""selectedText"": ""Information That You Give Us"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": 272, ""startIndexInSegment"": 222, ""selectedText"": ""You can choose not to provide certain information,"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 141, ""startIndexInSegment"": 121, ""selectedText"": ""We receive and store"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 350, ""startIndexInSegment"": 293, ""selectedText"": ""your ability to purchase products offered on the Websites"", ""value"": ""Basic service/feature""}}",168,183
9,C1599,3706,3,First Party Collection/Use,0,We receive and store,"{""Collection Mode"": {""endIndexInSegment"": 221, ""startIndexInSegment"": 143, ""selectedText"": ""ny information you enter on our Websites or that you give us in any other way."", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 183, ""startIndexInSegment"": 168, ""selectedText"": ""on our Websites"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 119, ""startIndexInSegment"": 91, ""selectedText"": ""Information That You Give Us"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": 272, ""startIndexInSegment"": 222, ""selectedText"": ""You can choose not to provide certain information,"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 141, ""startIndexInSegment"": 121, ""selectedText"": ""We receive and store"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 350, ""startIndexInSegment"": 293, ""selectedText"": ""your ability to purchase products offered on the Websites"", ""value"": ""Basic service/feature""}}",121,141
