,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C4627,3738,0,Introductory/Generic,9,Privacy,"{""Other Type"": {""selectedText"": ""Privacy"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 7, ""value"": ""Introductory/Generic""}}",0,7
1,C4628,3738,1,Introductory/Generic,9,"Your Privacy Your privacy is important to us. To better protect your privacy we provide this notice explaining our online information practices and the choices you can make about the way your information is collected and used. To make this notice easy to find, we make it available on our homepage and at every point where personally identifiable information may be requested.","{""Other Type"": {""endIndexInSegment"": 386, ""startIndexInSegment"": 0, ""selectedText"": ""Your Privacy Your privacy is important to us. To better protect your privacy we provide this notice explaining our online information practices and the choices you can make about the way your information is collected and used. To make this notice easy to find, we make it available on our homepage and at every point where personally identifiable information may be requested."", ""value"": ""Introductory/Generic""}}",0,386
2,C4629,3738,2,Third Party Sharing/Collection,1,"Google, as a third party advertisement vendor,","{""Third Party Entity"": {""selectedText"": ""Google, as a third party advertisement vendor,"", ""startIndexInSegment"": 57, ""endIndexInSegment"": 103, ""value"": ""Named third party""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""to serve ads on this site. The use of DART cookies by Google enables them to serve adverts"", ""startIndexInSegment"": 117, ""endIndexInSegment"": 207, ""value"": ""Advertising""}, ""Personal Information Type"": {""selectedText"": ""cookies"", ""startIndexInSegment"": 109, ""endIndexInSegment"": 116, ""value"": ""Cookies and tracking elements""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""selectedText"": ""uses"", ""startIndexInSegment"": 104, ""endIndexInSegment"": 108, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""to visitors"", ""startIndexInSegment"": 208, ""endIndexInSegment"": 219, ""value"": ""User without account""}, ""Action Third Party"": {""selectedText"": ""that are based on their visits to this website"", ""startIndexInSegment"": 220, ""endIndexInSegment"": 266, ""value"": ""Track on first party website/app""}}",57,103
3,C4629,3738,2,Third Party Sharing/Collection,1,that are based on their visits to this website,"{""Third Party Entity"": {""selectedText"": ""Google, as a third party advertisement vendor,"", ""startIndexInSegment"": 57, ""endIndexInSegment"": 103, ""value"": ""Named third party""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""to serve ads on this site. The use of DART cookies by Google enables them to serve adverts"", ""startIndexInSegment"": 117, ""endIndexInSegment"": 207, ""value"": ""Advertising""}, ""Personal Information Type"": {""selectedText"": ""cookies"", ""startIndexInSegment"": 109, ""endIndexInSegment"": 116, ""value"": ""Cookies and tracking elements""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""selectedText"": ""uses"", ""startIndexInSegment"": 104, ""endIndexInSegment"": 108, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""to visitors"", ""startIndexInSegment"": 208, ""endIndexInSegment"": 219, ""value"": ""User without account""}, ""Action Third Party"": {""selectedText"": ""that are based on their visits to this website"", ""startIndexInSegment"": 220, ""endIndexInSegment"": 266, ""value"": ""Track on first party website/app""}}",220,266
4,C4629,3738,2,Third Party Sharing/Collection,1,uses,"{""Third Party Entity"": {""selectedText"": ""Google, as a third party advertisement vendor,"", ""startIndexInSegment"": 57, ""endIndexInSegment"": 103, ""value"": ""Named third party""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""to serve ads on this site. The use of DART cookies by Google enables them to serve adverts"", ""startIndexInSegment"": 117, ""endIndexInSegment"": 207, ""value"": ""Advertising""}, ""Personal Information Type"": {""selectedText"": ""cookies"", ""startIndexInSegment"": 109, ""endIndexInSegment"": 116, ""value"": ""Cookies and tracking elements""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""selectedText"": ""uses"", ""startIndexInSegment"": 104, ""endIndexInSegment"": 108, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""to visitors"", ""startIndexInSegment"": 208, ""endIndexInSegment"": 219, ""value"": ""User without account""}, ""Action Third Party"": {""selectedText"": ""that are based on their visits to this website"", ""startIndexInSegment"": 220, ""endIndexInSegment"": 266, ""value"": ""Track on first party website/app""}}",104,108
5,14958,3738,2,Third Party Sharing/Collection,1,Google Adsense,"{""Third Party Entity"": {""endIndexInSegment"": 14, ""startIndexInSegment"": 0, ""selectedText"": ""Google Adsense"", ""value"": ""Named third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 129, ""startIndexInSegment"": 126, ""selectedText"": ""ads"", ""value"": ""Advertising""}, ""Personal Information Type"": {""endIndexInSegment"": 306, ""startIndexInSegment"": 244, ""selectedText"": ""visits to this website as well as other sites on the internet."", ""value"": ""User online activities""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 116, ""startIndexInSegment"": 104, ""selectedText"": ""uses cookies"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 142, ""startIndexInSegment"": 104, ""selectedText"": ""uses cookies to serve ads on this site"", ""value"": ""Collect on first party website/app""}}",0,14
6,14958,3738,2,Third Party Sharing/Collection,1,uses cookies to serve ads on this site,"{""Third Party Entity"": {""endIndexInSegment"": 14, ""startIndexInSegment"": 0, ""selectedText"": ""Google Adsense"", ""value"": ""Named third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 129, ""startIndexInSegment"": 126, ""selectedText"": ""ads"", ""value"": ""Advertising""}, ""Personal Information Type"": {""endIndexInSegment"": 306, ""startIndexInSegment"": 244, ""selectedText"": ""visits to this website as well as other sites on the internet."", ""value"": ""User online activities""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 116, ""startIndexInSegment"": 104, ""selectedText"": ""uses cookies"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 142, ""startIndexInSegment"": 104, ""selectedText"": ""uses cookies to serve ads on this site"", ""value"": ""Collect on first party website/app""}}",104,142
7,14958,3738,2,Third Party Sharing/Collection,1,uses cookies,"{""Third Party Entity"": {""endIndexInSegment"": 14, ""startIndexInSegment"": 0, ""selectedText"": ""Google Adsense"", ""value"": ""Named third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 129, ""startIndexInSegment"": 126, ""selectedText"": ""ads"", ""value"": ""Advertising""}, ""Personal Information Type"": {""endIndexInSegment"": 306, ""startIndexInSegment"": 244, ""selectedText"": ""visits to this website as well as other sites on the internet."", ""value"": ""User online activities""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 116, ""startIndexInSegment"": 104, ""selectedText"": ""uses cookies"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 142, ""startIndexInSegment"": 104, ""selectedText"": ""uses cookies to serve ads on this site"", ""value"": ""Collect on first party website/app""}}",104,116
8,24595,3738,2,Third Party Sharing/Collection,1,"Google, as a third party advertisement vendor,","{""Third Party Entity"": {""selectedText"": ""Google, as a third party advertisement vendor,"", ""startIndexInSegment"": 57, ""endIndexInSegment"": 103, ""value"": ""Named third party""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""to serve ads on this site. The use of DART cookies by Google enables them to serve adverts"", ""startIndexInSegment"": 117, ""endIndexInSegment"": 207, ""value"": ""Advertising""}, ""Personal Information Type"": {""selectedText"": ""cookies"", ""startIndexInSegment"": 109, ""endIndexInSegment"": 116, ""value"": ""Cookies and tracking elements""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""selectedText"": ""uses"", ""startIndexInSegment"": 104, ""endIndexInSegment"": 108, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""to visitors"", ""startIndexInSegment"": 208, ""endIndexInSegment"": 219, ""value"": ""User without account""}, ""Action Third Party"": {""selectedText"": ""other sites on the internet."", ""startIndexInSegment"": 278, ""endIndexInSegment"": 306, ""value"": ""Other""}}",57,103
9,24595,3738,2,Third Party Sharing/Collection,1,other sites on the internet.,"{""Third Party Entity"": {""selectedText"": ""Google, as a third party advertisement vendor,"", ""startIndexInSegment"": 57, ""endIndexInSegment"": 103, ""value"": ""Named third party""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""to serve ads on this site. The use of DART cookies by Google enables them to serve adverts"", ""startIndexInSegment"": 117, ""endIndexInSegment"": 207, ""value"": ""Advertising""}, ""Personal Information Type"": {""selectedText"": ""cookies"", ""startIndexInSegment"": 109, ""endIndexInSegment"": 116, ""value"": ""Cookies and tracking elements""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""selectedText"": ""uses"", ""startIndexInSegment"": 104, ""endIndexInSegment"": 108, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""to visitors"", ""startIndexInSegment"": 208, ""endIndexInSegment"": 219, ""value"": ""User without account""}, ""Action Third Party"": {""selectedText"": ""other sites on the internet."", ""startIndexInSegment"": 278, ""endIndexInSegment"": 306, ""value"": ""Other""}}",278,306
