,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C2694,3721,0,Introductory/Generic,9,"Welcome to Curse! Curse, Inc. & Curse, Ltd. (""Curse,"" ""we,"" ""us"" or ""our"") is committed to respecting the privacy rights and concerns of all users of the Curse www.curse.com websites where this Privacy Policy is posted (the ""Site(s)"") (we refer to the Site(s), the services and software made available through the Site(s), collectively, as the ""Curse Features""). As such, we have established and implemented this Privacy Policy to inform visitors to the Site(s) and users of the Curse Features how we use and protect the information we collect through the Site(s). By visiting the Site(s) or using any of the Curse Features, you consent to Curse' collection, use, storage, deletion and disclosure of information relating to you as set forth in this Privacy Policy. This Privacy Policy is effective as of the date set forth above and is only applicable to the Site(s) and not to any other website that you may be able to access from the Site(s) which may have its own data collection and use practices and policies.","{""Other Type"": {""endIndexInSegment"": 1066, ""startIndexInSegment"": 52, ""selectedText"": ""Welcome to Curse! Curse, Inc. & Curse, Ltd. (\""Curse,\"" \""we,\"" \""us\"" or \""our\"") is committed to respecting the privacy rights and concerns of all users of the Curse www.curse.com websites where this Privacy Policy is posted (the \""Site(s)\"") (we refer to the Site(s), the services and software made available through the Site(s), collectively, as the \""Curse Features\""). As such, we have established and implemented this Privacy Policy to inform visitors to the Site(s) and users of the Curse Features how we use and protect the information we collect through the Site(s). By visiting the Site(s) or using any of the Curse Features, you consent to Curse' collection, use, storage, deletion and disclosure of information relating to you as set forth in this Privacy Policy. This Privacy Policy is effective as of the date set forth above and is only applicable to the Site(s) and not to any other website that you may be able to access from the Site(s) which may have its own data collection and use practices and policies."", ""value"": ""Introductory/Generic""}}",52,1066
1,5932,3721,0,Practice not covered,10,This Privacy Policy is effective as of the date set forth above and is only applicable to the Site(s) and not to any other website that you may be able to access from the Site(s) which may have its own data collection and use practices and policies.,"{""Other Type"": {""endIndexInSegment"": 1066, ""startIndexInSegment"": 817, ""selectedText"": ""This Privacy Policy is effective as of the date set forth above and is only applicable to the Site(s) and not to any other website that you may be able to access from the Site(s) which may have its own data collection and use practices and policies."", ""value"": ""Practice not covered""}}",817,1066
2,5933,3721,0,Policy Change,6,"By visiting the Site(s) or using any of the Curse Features, you consent to Curse' collection, use, storage, deletion and disclosure of information relating to you as set forth in this Privacy Policy.","{""Change Type"": {""endIndexInSegment"": 816, ""startIndexInSegment"": 617, ""selectedText"": ""By visiting the Site(s) or using any of the Curse Features, you consent to Curse' collection, use, storage, deletion and disclosure of information relating to you as set forth in this Privacy Policy."", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 816, ""startIndexInSegment"": 617, ""selectedText"": ""By visiting the Site(s) or using any of the Curse Features, you consent to Curse' collection, use, storage, deletion and disclosure of information relating to you as set forth in this Privacy Policy."", ""value"": ""User participation""}, ""Notification Type"": {""endIndexInSegment"": 816, ""startIndexInSegment"": 617, ""selectedText"": ""By visiting the Site(s) or using any of the Curse Features, you consent to Curse' collection, use, storage, deletion and disclosure of information relating to you as set forth in this Privacy Policy."", ""value"": ""Unspecified""}}",617,816
3,C2695,3721,1,First Party Collection/Use,0,Types of Information We Collect,"{""Collection Mode"": {""endIndexInSegment"": 132, ""startIndexInSegment"": 101, ""selectedText"": ""Types of Information We Collect"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 237, ""startIndexInSegment"": 101, ""selectedText"": ""Types of Information We Collect Personal information means information that can be used to identify and contact you."", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": 324, ""startIndexInSegment"": 238, ""selectedText"": ""You do not need to submit personal information to access certain areas of the Site(s),"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": 237, ""startIndexInSegment"": 153, ""selectedText"": ""Personal information means information that can be used to identify and contact you."", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 237, ""startIndexInSegment"": 153, ""selectedText"": ""Personal information means information that can be used to identify and contact you."", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",101,132
4,C2695,3721,1,First Party Collection/Use,0,Types of Information We Collect Personal information means information that can be used to identify and contact you.,"{""Collection Mode"": {""endIndexInSegment"": 132, ""startIndexInSegment"": 101, ""selectedText"": ""Types of Information We Collect"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 237, ""startIndexInSegment"": 101, ""selectedText"": ""Types of Information We Collect Personal information means information that can be used to identify and contact you."", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": 324, ""startIndexInSegment"": 238, ""selectedText"": ""You do not need to submit personal information to access certain areas of the Site(s),"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": 237, ""startIndexInSegment"": 153, ""selectedText"": ""Personal information means information that can be used to identify and contact you."", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 237, ""startIndexInSegment"": 153, ""selectedText"": ""Personal information means information that can be used to identify and contact you."", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",101,237
5,C2695,3721,1,First Party Collection/Use,0,Personal information means information that can be used to identify and contact you.,"{""Collection Mode"": {""endIndexInSegment"": 132, ""startIndexInSegment"": 101, ""selectedText"": ""Types of Information We Collect"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 237, ""startIndexInSegment"": 101, ""selectedText"": ""Types of Information We Collect Personal information means information that can be used to identify and contact you."", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": 324, ""startIndexInSegment"": 238, ""selectedText"": ""You do not need to submit personal information to access certain areas of the Site(s),"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": 237, ""startIndexInSegment"": 153, ""selectedText"": ""Personal information means information that can be used to identify and contact you."", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 237, ""startIndexInSegment"": 153, ""selectedText"": ""Personal information means information that can be used to identify and contact you."", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",153,237
6,4890,3721,1,First Party Collection/Use,0,Site,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 320, ""startIndexInSegment"": 316, ""selectedText"": ""Site"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": 465, ""startIndexInSegment"": 329, ""selectedText"": ""if you do not want to disclose certain personal information to us, you will not be able to access certain aspects of the Curse Features."", ""value"": ""Dont use service/feature""}, ""Identifiability"": {""endIndexInSegment"": 220, ""startIndexInSegment"": 180, ""selectedText"": ""information that can be used to identify"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 132, ""startIndexInSegment"": 125, ""selectedText"": ""Collect"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",316,320
7,4890,3721,1,First Party Collection/Use,0,Collect,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 320, ""startIndexInSegment"": 316, ""selectedText"": ""Site"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": 465, ""startIndexInSegment"": 329, ""selectedText"": ""if you do not want to disclose certain personal information to us, you will not be able to access certain aspects of the Curse Features."", ""value"": ""Dont use service/feature""}, ""Identifiability"": {""endIndexInSegment"": 220, ""startIndexInSegment"": 180, ""selectedText"": ""information that can be used to identify"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 132, ""startIndexInSegment"": 125, ""selectedText"": ""Collect"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",125,132
8,4891,3721,2,First Party Collection/Use,0,collect,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 10, ""startIndexInSegment"": 3, ""selectedText"": ""collect"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",3,10
9,5935,3721,2,First Party Collection/Use,0,"We collect personal information when you create an account through the Curse Features; subscribe to our newsletter; participate in chat rooms, forums, polls, surveys, and questionnaires; participate in contests, sweepstakes, other promotions, or opt into third party offers and/or newsletters; purchase a product through the Curse Features; register a product that you have purchased; or receive customer or technical support.","{""Collection Mode"": {""endIndexInSegment"": 426, ""startIndexInSegment"": 0, ""selectedText"": ""We collect personal information when you create an account through the Curse Features; subscribe to our newsletter; participate in chat rooms, forums, polls, surveys, and questionnaires; participate in contests, sweepstakes, other promotions, or opt into third party offers and/or newsletters; purchase a product through the Curse Features; register a product that you have purchased; or receive customer or technical support."", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 426, ""startIndexInSegment"": 0, ""selectedText"": ""We collect personal information when you create an account through the Curse Features; subscribe to our newsletter; participate in chat rooms, forums, polls, surveys, and questionnaires; participate in contests, sweepstakes, other promotions, or opt into third party offers and/or newsletters; purchase a product through the Curse Features; register a product that you have purchased; or receive customer or technical support."", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 31, ""startIndexInSegment"": 11, ""selectedText"": ""personal information"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 426, ""startIndexInSegment"": 0, ""selectedText"": ""We collect personal information when you create an account through the Curse Features; subscribe to our newsletter; participate in chat rooms, forums, polls, surveys, and questionnaires; participate in contests, sweepstakes, other promotions, or opt into third party offers and/or newsletters; purchase a product through the Curse Features; register a product that you have purchased; or receive customer or technical support."", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 426, ""startIndexInSegment"": 32, ""selectedText"": ""when you create an account through the Curse Features; subscribe to our newsletter; participate in chat rooms, forums, polls, surveys, and questionnaires; participate in contests, sweepstakes, other promotions, or opt into third party offers and/or newsletters; purchase a product through the Curse Features; register a product that you have purchased; or receive customer or technical support."", ""value"": ""Basic service/feature""}}",0,426
