,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C2911,3833,0,Introductory/Generic,9,Smithsonian Institution's Privacy Statement,"{""Other Type"": {""selectedText"": ""Smithsonian Institution's Privacy Statement"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 53, ""value"": ""Introductory/Generic""}}",0,53
1,C2912,3833,1,First Party Collection/Use,0,unless you choose to provide that information to us.,"{""Collection Mode"": {""selectedText"": ""unless you choose to provide that information to us."", ""startIndexInSegment"": 243, ""endIndexInSegment"": 295, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""provide that information to us"", ""startIndexInSegment"": 264, ""endIndexInSegment"": 294, ""value"": ""Collection""}, ""Action First-Party"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""personal information"", ""startIndexInSegment"": 191, ""endIndexInSegment"": 211, ""value"": ""Generic personal information""}, ""Choice Type"": {""selectedText"": ""unless you choose to provide that information to us."", ""startIndexInSegment"": 243, ""endIndexInSegment"": 295, ""value"": ""Opt-in""}, ""Identifiability"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""selectedText"": ""The Smithsonian Institution does not collect personal information about visitors to our Websites unless you choose to provide that information to us."", ""startIndexInSegment"": 146, ""endIndexInSegment"": 295, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""The Smithsonian will use that information to respond to your message and to help us get you the information you have requested."", ""startIndexInSegment"": 296, ""endIndexInSegment"": 428, ""value"": ""Basic service/feature""}}",243,295
2,C2912,3833,1,First Party Collection/Use,0,The Smithsonian Institution does not collect personal information about visitors to our Websites unless you choose to provide that information to us.,"{""Collection Mode"": {""selectedText"": ""unless you choose to provide that information to us."", ""startIndexInSegment"": 243, ""endIndexInSegment"": 295, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""provide that information to us"", ""startIndexInSegment"": 264, ""endIndexInSegment"": 294, ""value"": ""Collection""}, ""Action First-Party"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""personal information"", ""startIndexInSegment"": 191, ""endIndexInSegment"": 211, ""value"": ""Generic personal information""}, ""Choice Type"": {""selectedText"": ""unless you choose to provide that information to us."", ""startIndexInSegment"": 243, ""endIndexInSegment"": 295, ""value"": ""Opt-in""}, ""Identifiability"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""selectedText"": ""The Smithsonian Institution does not collect personal information about visitors to our Websites unless you choose to provide that information to us."", ""startIndexInSegment"": 146, ""endIndexInSegment"": 295, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""The Smithsonian will use that information to respond to your message and to help us get you the information you have requested."", ""startIndexInSegment"": 296, ""endIndexInSegment"": 428, ""value"": ""Basic service/feature""}}",146,295
3,15277,3833,1,Introductory/Generic,9,Thank you for visiting the Smithsonian Institution network of Websites and reviewing our Privacy Statement. The Smithsonian Institution does not collect personal information about visitors to our Websites unless you choose to provide that information to us. The Smithsonian will use that information to respond to your message and to help us get you the information you have requested.,"{""Other Type"": {""selectedText"": ""Thank you for visiting the Smithsonian Institution network of Websites and reviewing our Privacy Statement. The Smithsonian Institution does not collect personal information about visitors to our Websites unless you choose to provide that information to us. The Smithsonian will use that information to respond to your message and to help us get you the information you have requested."", ""startIndexInSegment"": 38, ""endIndexInSegment"": 423, ""value"": ""Introductory/Generic""}}",38,423
4,22936,3833,1,Introductory/Generic,9,Thank you for visiting the Smithsonian Institution network of Websites and reviewing our Privacy Statement.,"{""Other Type"": {""selectedText"": ""Thank you for visiting the Smithsonian Institution network of Websites and reviewing our Privacy Statement."", ""startIndexInSegment"": 38, ""endIndexInSegment"": 145, ""value"": ""Introductory/Generic""}}",38,145
5,22938,3833,1,First Party Collection/Use,0,collect personal information about visitors to our Websites,"{""Collection Mode"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""selectedText"": ""collect personal information about visitors to our Websites"", ""startIndexInSegment"": 183, ""endIndexInSegment"": 242, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""information about visitors"", ""startIndexInSegment"": 200, ""endIndexInSegment"": 226, ""value"": ""Unspecified""}, ""Choice Type"": {""selectedText"": ""you choose to provide"", ""startIndexInSegment"": 250, ""endIndexInSegment"": 271, ""value"": ""Opt-in""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""does not"", ""startIndexInSegment"": 174, ""endIndexInSegment"": 182, ""value"": ""Does Not""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""to respond to your message and to help us get you the information you have requested"", ""startIndexInSegment"": 338, ""endIndexInSegment"": 422, ""value"": ""Basic service/feature""}}",183,242
6,22938,3833,1,First Party Collection/Use,0,does not,"{""Collection Mode"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""selectedText"": ""collect personal information about visitors to our Websites"", ""startIndexInSegment"": 183, ""endIndexInSegment"": 242, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""information about visitors"", ""startIndexInSegment"": 200, ""endIndexInSegment"": 226, ""value"": ""Unspecified""}, ""Choice Type"": {""selectedText"": ""you choose to provide"", ""startIndexInSegment"": 250, ""endIndexInSegment"": 271, ""value"": ""Opt-in""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""does not"", ""startIndexInSegment"": 174, ""endIndexInSegment"": 182, ""value"": ""Does Not""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""to respond to your message and to help us get you the information you have requested"", ""startIndexInSegment"": 338, ""endIndexInSegment"": 422, ""value"": ""Basic service/feature""}}",174,182
7,C2913,3833,2,Other,0,"This Privacy Statement applies to the online activities of the Smithsonian Institution and onsite interactive activities (collectively ""Websites""). It does not apply to its Smithsonian Enterprises websites (Smithsonian Magazine, Air Space Magazine, Smithsonian Store, and Smithsonian Journeys). Consult those websites for the Smithsonian Enterprises privacy statement.","{""Other Type"": {""selectedText"": ""This Privacy Statement applies to the online activities of the Smithsonian Institution and onsite interactive activities (collectively \""Websites\""). It does not apply to its Smithsonian Enterprises websites (Smithsonian Magazine, Air Space Magazine, Smithsonian Store, and Smithsonian Journeys). Consult those websites for the Smithsonian Enterprises privacy statement."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 368, ""value"": ""Other""}}",0,368
8,C2914,3833,3,First Party Collection/Use,0,we automatically gather and store the following information about your visit,"{""Collection Mode"": {""selectedText"": ""we automatically gather and store the following information about your visit"", ""startIndexInSegment"": 105, ""endIndexInSegment"": 181, ""value"": ""Implicit""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""When you visit our Websites"", ""startIndexInSegment"": 76, ""endIndexInSegment"": 103, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""The IP address from which you access our Websites"", ""startIndexInSegment"": 380, ""endIndexInSegment"": 429, ""value"": ""IP address and device IDs""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""This information is stored and used in the aggregate only, and is not used to contact you personally:"", ""startIndexInSegment"": 258, ""endIndexInSegment"": 359, ""value"": ""Aggregated or anonymized""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""so that we can track the use of our Websites in order to make improvements."", ""startIndexInSegment"": 182, ""endIndexInSegment"": 257, ""value"": ""Analytics/Research""}}",105,181
9,C2914,3833,3,First Party Collection/Use,0,When you visit our Websites,"{""Collection Mode"": {""selectedText"": ""we automatically gather and store the following information about your visit"", ""startIndexInSegment"": 105, ""endIndexInSegment"": 181, ""value"": ""Implicit""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""When you visit our Websites"", ""startIndexInSegment"": 76, ""endIndexInSegment"": 103, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""The IP address from which you access our Websites"", ""startIndexInSegment"": 380, ""endIndexInSegment"": 429, ""value"": ""IP address and device IDs""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""This information is stored and used in the aggregate only, and is not used to contact you personally:"", ""startIndexInSegment"": 258, ""endIndexInSegment"": 359, ""value"": ""Aggregated or anonymized""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""so that we can track the use of our Websites in order to make improvements."", ""startIndexInSegment"": 182, ""endIndexInSegment"": 257, ""value"": ""Analytics/Research""}}",76,103
