,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,18616,3855,0,First Party Collection/Use,0,"may be intercepted, monitored, recorded, copied, audited, inspected, and disclosed","{""Collection Mode"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""selectedText"": ""may be intercepted, monitored, recorded, copied, audited, inspected, and disclosed"", ""startIndexInSegment"": 383, ""endIndexInSegment"": 465, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""all files"", ""startIndexInSegment"": 373, ""endIndexInSegment"": 382, ""value"": ""Other""}, ""Choice Type"": {""selectedText"": ""By using this system, the user consents to such interception, monitoring, recording, copying, auditing, inspection, and disclosure at the discretion of authorized site or Department of Energy personnel."", ""startIndexInSegment"": 617, ""endIndexInSegment"": 819, ""value"": ""Dont use service/feature""}, ""Identifiability"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""em you indicate your awareness of and consent to these terms and conditions of use. LOG OFF IMMEDIATELY if you do not agree to the conditions stated in this warning."", ""startIndexInSegment"": 977, ""endIndexInSegment"": 1147, ""value"": ""Unspecified""}}",383,465
1,18617,3855,0,Third Party Sharing/Collection,1,"Department of Energy, and law enforcement personnel, as well as authorized officials of other agencies, both domestic and foreign","{""Third Party Entity"": {""selectedText"": ""Department of Energy, and law enforcement personnel, as well as authorized officials of other agencies, both domestic and foreign"", ""startIndexInSegment"": 486, ""endIndexInSegment"": 615, ""value"": ""Named third party""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""all files"", ""startIndexInSegment"": 373, ""endIndexInSegment"": 382, ""value"": ""Other""}, ""Choice Type"": {""selectedText"": ""By continuing to use this system you indicate your awareness of and consent to these terms and conditions of use. LOG OFF IMMEDIATELY if you do not agree to the conditions stated in this warning."", ""startIndexInSegment"": 947, ""endIndexInSegment"": 1152, ""value"": ""Dont use service/feature""}, ""Identifiability"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""selectedText"": ""disclosed"", ""startIndexInSegment"": 456, ""endIndexInSegment"": 465, ""value"": ""Receive/Shared with""}}",486,615
2,18617,3855,0,Third Party Sharing/Collection,1,disclosed,"{""Third Party Entity"": {""selectedText"": ""Department of Energy, and law enforcement personnel, as well as authorized officials of other agencies, both domestic and foreign"", ""startIndexInSegment"": 486, ""endIndexInSegment"": 615, ""value"": ""Named third party""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""all files"", ""startIndexInSegment"": 373, ""endIndexInSegment"": 382, ""value"": ""Other""}, ""Choice Type"": {""selectedText"": ""By continuing to use this system you indicate your awareness of and consent to these terms and conditions of use. LOG OFF IMMEDIATELY if you do not agree to the conditions stated in this warning."", ""startIndexInSegment"": 947, ""endIndexInSegment"": 1152, ""value"": ""Dont use service/feature""}, ""Identifiability"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""selectedText"": ""disclosed"", ""startIndexInSegment"": 456, ""endIndexInSegment"": 465, ""value"": ""Receive/Shared with""}}",456,465
3,18312,3855,0,First Party Collection/Use,0,"all files may be intercepted, monitored, recorded, copied, audited, inspected, and disclosed to authorized site, Department of Energy, and law enforcement personnel, as well as authorized officials of other agencies, both domestic and foreign","{""Collection Mode"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""all files may be intercepted, monitored, recorded, copied, audited, inspected, and disclosed to authorized site, Department of Energy, and law enforcement personnel, as well as authorized officials of other agencies, both domestic and foreign"", ""startIndexInSegment"": 373, ""endIndexInSegment"": 615, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""all uses of this system, associated connected systems and all files"", ""startIndexInSegment"": 315, ""endIndexInSegment"": 382, ""value"": ""User online activities""}, ""Choice Type"": {""selectedText"": ""By continuing to use this system you indicate your awareness of and consent to these terms and conditions of use. LOG OFF IMMEDIATELY if you do not agree to the conditions stated in this warning."", ""startIndexInSegment"": 947, ""endIndexInSegment"": 1142, ""value"": ""Dont use service/feature""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""Unauthorized or improper use of this system may result in administrative disciplinary action and civil and criminal penalties"", ""startIndexInSegment"": 820, ""endIndexInSegment"": 945, ""value"": ""Legal requirement""}}",373,615
4,17665,3855,0,Practice not covered,10,"This is a Federal computer system and is the property of the United States Government. It is for authorized use only. Users (authorized or unauthorized) have no explicit or implicit expectation of privacy. Any or all uses of this system, associated connected systems and all files may be intercepted, monitored, recorded, copied, audited, inspected, and disclosed to authorized site, Department of Energy, and law enforcement personnel, as well as authorized officials of other agencies, both domestic and foreign. By using this system, the user consents to such interception, monitoring, recording, copying, auditing, inspection, and disclosure at the discretion of authorized site or Department of Energy personnel. Unauthorized or improper use of this system may result in administrative disciplinary action and civil and criminal penalties.","{""Other Type"": {""selectedText"": ""This is a Federal computer system and is the property of the United States Government. It is for authorized use only. Users (authorized or unauthorized) have no explicit or implicit expectation of privacy. Any or all uses of this system, associated connected systems and all files may be intercepted, monitored, recorded, copied, audited, inspected, and disclosed to authorized site, Department of Energy, and law enforcement personnel, as well as authorized officials of other agencies, both domestic and foreign. By using this system, the user consents to such interception, monitoring, recording, copying, auditing, inspection, and disclosure at the discretion of authorized site or Department of Energy personnel. Unauthorized or improper use of this system may result in administrative disciplinary action and civil and criminal penalties."", ""startIndexInSegment"": 102, ""endIndexInSegment"": 946, ""value"": ""Practice not covered""}}",102,946
5,17666,3855,0,User Choice/Control,2,LOG OFF IMMEDIATELY if you do not agree to the conditions stated in this warning.,"{""Choice Type"": {""selectedText"": ""LOG OFF IMMEDIATELY if you do not agree to the conditions stated in this warning."", ""startIndexInSegment"": 1061, ""endIndexInSegment"": 1142, ""value"": ""Dont use service/feature""}, ""Choice Scope"": {""selectedText"": ""By using this system, the user consents to such interception, monitoring, recording, copying, auditing, inspection, and disclosure at the discretion of authorized site or Department of Energy personnel."", ""startIndexInSegment"": 617, ""endIndexInSegment"": 819, ""value"": ""First party collection""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",1061,1142
6,17666,3855,0,User Choice/Control,2,"By using this system, the user consents to such interception, monitoring, recording, copying, auditing, inspection, and disclosure at the discretion of authorized site or Department of Energy personnel.","{""Choice Type"": {""selectedText"": ""LOG OFF IMMEDIATELY if you do not agree to the conditions stated in this warning."", ""startIndexInSegment"": 1061, ""endIndexInSegment"": 1142, ""value"": ""Dont use service/feature""}, ""Choice Scope"": {""selectedText"": ""By using this system, the user consents to such interception, monitoring, recording, copying, auditing, inspection, and disclosure at the discretion of authorized site or Department of Energy personnel."", ""startIndexInSegment"": 617, ""endIndexInSegment"": 819, ""value"": ""First party collection""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",617,819
7,17667,3855,0,User Choice/Control,2,LOG OFF IMMEDIATELY if you do not agree to the conditions stated in this warning.,"{""Choice Type"": {""selectedText"": ""LOG OFF IMMEDIATELY if you do not agree to the conditions stated in this warning."", ""startIndexInSegment"": 1061, ""endIndexInSegment"": 1142, ""value"": ""Dont use service/feature""}, ""Choice Scope"": {""selectedText"": ""By using this system, the user consents to such interception, monitoring, recording, copying, auditing, inspection, and disclosure at the discretion of authorized site or Department of Energy personnel."", ""startIndexInSegment"": 617, ""endIndexInSegment"": 819, ""value"": ""First party use""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",1061,1142
8,17667,3855,0,User Choice/Control,2,"By using this system, the user consents to such interception, monitoring, recording, copying, auditing, inspection, and disclosure at the discretion of authorized site or Department of Energy personnel.","{""Choice Type"": {""selectedText"": ""LOG OFF IMMEDIATELY if you do not agree to the conditions stated in this warning."", ""startIndexInSegment"": 1061, ""endIndexInSegment"": 1142, ""value"": ""Dont use service/feature""}, ""Choice Scope"": {""selectedText"": ""By using this system, the user consents to such interception, monitoring, recording, copying, auditing, inspection, and disclosure at the discretion of authorized site or Department of Energy personnel."", ""startIndexInSegment"": 617, ""endIndexInSegment"": 819, ""value"": ""First party use""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",617,819
9,17668,3855,0,User Choice/Control,2,LOG OFF IMMEDIATELY if you do not agree to the conditions stated in this warning.,"{""Choice Type"": {""selectedText"": ""LOG OFF IMMEDIATELY if you do not agree to the conditions stated in this warning."", ""startIndexInSegment"": 1061, ""endIndexInSegment"": 1142, ""value"": ""Dont use service/feature""}, ""Choice Scope"": {""selectedText"": ""disclosure"", ""startIndexInSegment"": 737, ""endIndexInSegment"": 747, ""value"": ""Third party sharing/collection""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",1061,1142
