,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C3155,3707,0,Other,0,"Please refer to the order terms below. If you have any further questions, please contact us. Web orders will ship 5-7 business days from the time of purchase. Any defective items purchased directly from Lodge are eligible for full refund or exchange by contacting customer service. Shipping for returns/exchanges due to non-defect reasons (i.e. wrong size, color, no longer desired) will be the responsibility of the customer. Items bought from retailers should be returned/exchanged at the place of purchase.","{""Other Type"": {""endIndexInSegment"": 609, ""startIndexInSegment"": 50, ""selectedText"": ""Please refer to the order terms below. If you have any further questions, please contact us. Web orders will ship 5-7 business days from the time of purchase. Any defective items purchased directly from Lodge are eligible for full refund or exchange by contacting customer service. Shipping for returns/exchanges due to non-defect reasons (i.e. wrong size, color, no longer desired) will be the responsibility of the customer. Items bought from retailers should be returned/exchanged at the place of purchase."", ""value"": ""Other""}}",50,609
1,C3156,3707,0,Data Security,5,Transactions are transmitted using 128-bit secure socket layers (SSL) for up-to-date data protection,"{""Security Measure"": {""endIndexInSegment"": 720, ""startIndexInSegment"": 620, ""selectedText"": ""Transactions are transmitted using 128-bit secure socket layers (SSL) for up-to-date data protection"", ""value"": ""Secure data transfer""}}",620,720
2,C3157,3707,1,Introductory/Generic,9,"This privacy policy has been compiled to better serve those who are concerned with how their 'Personally identifiable information' (PII) is being used online. PII, as used in US privacy law and information security, is information that can be used on its own or with other information to identify, contact, or locate a single person, or to identify an individual in context. Please read our privacy policy carefully to get a clear understanding of how we collect, use, protect or otherwise handle your Personally Identifiable Information in accordance with our website.","{""Other Type"": {""endIndexInSegment"": 613, ""startIndexInSegment"": 44, ""selectedText"": ""This privacy policy has been compiled to better serve those who are concerned with how their 'Personally identifiable information' (PII) is being used online. PII, as used in US privacy law and information security, is information that can be used on its own or with other information to identify, contact, or locate a single person, or to identify an individual in context. Please read our privacy policy carefully to get a clear understanding of how we collect, use, protect or otherwise handle your Personally Identifiable Information in accordance with our website."", ""value"": ""Introductory/Generic""}}",44,613
3,C3158,3707,2,First Party Collection/Use,0,you may be asked to enter,"{""Collection Mode"": {""endIndexInSegment"": 186, ""startIndexInSegment"": 161, ""selectedText"": ""you may be asked to enter"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 144, ""startIndexInSegment"": 103, ""selectedText"": ""When ordering or registering on our site,"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 304, ""startIndexInSegment"": 230, ""selectedText"": ""credit card information or other details to help you with your experience."", ""value"": ""Financial""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",161,186
4,C3158,3707,2,First Party Collection/Use,0,"When ordering or registering on our site,","{""Collection Mode"": {""endIndexInSegment"": 186, ""startIndexInSegment"": 161, ""selectedText"": ""you may be asked to enter"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 144, ""startIndexInSegment"": 103, ""selectedText"": ""When ordering or registering on our site,"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 304, ""startIndexInSegment"": 230, ""selectedText"": ""credit card information or other details to help you with your experience."", ""value"": ""Financial""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",103,144
5,C3159,3707,2,First Party Collection/Use,0,you may be asked to enter,"{""Collection Mode"": {""endIndexInSegment"": 186, ""startIndexInSegment"": 161, ""selectedText"": ""you may be asked to enter"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 144, ""startIndexInSegment"": 103, ""selectedText"": ""When ordering or registering on our site,"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 229, ""startIndexInSegment"": 161, ""selectedText"": ""you may be asked to enter your name, email address, mailing address,"", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",161,186
6,C3159,3707,2,First Party Collection/Use,0,"When ordering or registering on our site,","{""Collection Mode"": {""endIndexInSegment"": 186, ""startIndexInSegment"": 161, ""selectedText"": ""you may be asked to enter"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 144, ""startIndexInSegment"": 103, ""selectedText"": ""When ordering or registering on our site,"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 229, ""startIndexInSegment"": 161, ""selectedText"": ""you may be asked to enter your name, email address, mailing address,"", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",103,144
7,7744,3707,2,First Party Collection/Use,0,you may be asked to enter,"{""Collection Mode"": {""endIndexInSegment"": 186, ""startIndexInSegment"": 161, ""selectedText"": ""you may be asked to enter"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": 39, ""startIndexInSegment"": 32, ""selectedText"": ""collect"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": 143, ""startIndexInSegment"": 103, ""selectedText"": ""When ordering or registering on our site"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 253, ""startIndexInSegment"": 230, ""selectedText"": ""credit card information"", ""value"": ""Financial""}, ""Choice Type"": {""endIndexInSegment"": 186, ""startIndexInSegment"": 161, ""selectedText"": ""you may be asked to enter"", ""value"": ""Dont use service/feature""}, ""Identifiability"": {""endIndexInSegment"": 253, ""startIndexInSegment"": 192, ""selectedText"": ""name, email address, mailing address, credit card information"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 304, ""startIndexInSegment"": 161, ""selectedText"": ""you may be asked to enter your name, email address, mailing address, credit card information or other details to help you with your experience."", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 144, ""startIndexInSegment"": 108, ""selectedText"": ""ordering or registering on our site,"", ""value"": ""Basic service/feature""}}",161,186
8,7744,3707,2,First Party Collection/Use,0,When ordering or registering on our site,"{""Collection Mode"": {""endIndexInSegment"": 186, ""startIndexInSegment"": 161, ""selectedText"": ""you may be asked to enter"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": 39, ""startIndexInSegment"": 32, ""selectedText"": ""collect"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": 143, ""startIndexInSegment"": 103, ""selectedText"": ""When ordering or registering on our site"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 253, ""startIndexInSegment"": 230, ""selectedText"": ""credit card information"", ""value"": ""Financial""}, ""Choice Type"": {""endIndexInSegment"": 186, ""startIndexInSegment"": 161, ""selectedText"": ""you may be asked to enter"", ""value"": ""Dont use service/feature""}, ""Identifiability"": {""endIndexInSegment"": 253, ""startIndexInSegment"": 192, ""selectedText"": ""name, email address, mailing address, credit card information"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 304, ""startIndexInSegment"": 161, ""selectedText"": ""you may be asked to enter your name, email address, mailing address, credit card information or other details to help you with your experience."", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 144, ""startIndexInSegment"": 108, ""selectedText"": ""ordering or registering on our site,"", ""value"": ""Basic service/feature""}}",103,143
9,7744,3707,2,First Party Collection/Use,0,"you may be asked to enter your name, email address, mailing address, credit card information or other details to help you with your experience.","{""Collection Mode"": {""endIndexInSegment"": 186, ""startIndexInSegment"": 161, ""selectedText"": ""you may be asked to enter"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": 39, ""startIndexInSegment"": 32, ""selectedText"": ""collect"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": 143, ""startIndexInSegment"": 103, ""selectedText"": ""When ordering or registering on our site"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 253, ""startIndexInSegment"": 230, ""selectedText"": ""credit card information"", ""value"": ""Financial""}, ""Choice Type"": {""endIndexInSegment"": 186, ""startIndexInSegment"": 161, ""selectedText"": ""you may be asked to enter"", ""value"": ""Dont use service/feature""}, ""Identifiability"": {""endIndexInSegment"": 253, ""startIndexInSegment"": 192, ""selectedText"": ""name, email address, mailing address, credit card information"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 304, ""startIndexInSegment"": 161, ""selectedText"": ""you may be asked to enter your name, email address, mailing address, credit card information or other details to help you with your experience."", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 144, ""startIndexInSegment"": 108, ""selectedText"": ""ordering or registering on our site,"", ""value"": ""Basic service/feature""}}",161,304
