,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,4418,3717,0,Introductory/Generic,9,"Privacy Policy This privacy policy (this ""Privacy Policy"") was last modified on January 14, 2015.","{""Other Type"": {""endIndexInSegment"": 126, ""startIndexInSegment"": 9, ""selectedText"": ""Privacy Policy This privacy policy (this \""Privacy Policy\"") was last modified on January 14, 2015."", ""value"": ""Introductory/Generic""}}",9,126
1,4542,3717,0,Introductory/Generic,9,"This privacy policy (this ""Privacy Policy"") was last modified on January 14, 2015. www.AllParenting.com www.BeautyHigh.com www.BlogHer.com www.DailyMakeover.com www.DrinksMixer.com www.FabulousFoods.com www.FabulousLiving.com www.HarryPotterFans.com www.LovingYou.com","{""Other Type"": {""endIndexInSegment"": 401, ""startIndexInSegment"": 44, ""selectedText"": ""This privacy policy (this \""Privacy Policy\"") was last modified on January 14, 2015. www.AllParenting.com www.BeautyHigh.com www.BlogHer.com www.DailyMakeover.com www.DrinksMixer.com www.FabulousFoods.com www.FabulousLiving.com www.HarryPotterFans.com www.LovingYou.com"", ""value"": ""Introductory/Generic""}}",44,401
2,5049,3717,0,Introductory/Generic,9,"Privacy Policy This privacy policy (this ""Privacy Policy"") was last modified on January 14, 2015. www.AllParenting.com www.BeautyHigh.com www.BlogHer.com www.DailyMakeover.com www.DrinksMixer.com www.FabulousFoods.com www.FabulousLiving.com www.HarryPotterFans.com www.LovingYou.com www.MakeoverSolutions.com www.PregnancyandBaby.com www.SheKnows.com Australia.SheKnows.com Canada.SheKnows.com UK.SheKnows.com www.SoapOperaFan.com www.StyleCaster.com www.StyleCasterMediaGroup.com (collectively, the ""Website"")","{""Other Type"": {""endIndexInSegment"": 729, ""startIndexInSegment"": 9, ""selectedText"": ""Privacy Policy This privacy policy (this \""Privacy Policy\"") was last modified on January 14, 2015. www.AllParenting.com www.BeautyHigh.com www.BlogHer.com www.DailyMakeover.com www.DrinksMixer.com www.FabulousFoods.com www.FabulousLiving.com www.HarryPotterFans.com www.LovingYou.com www.MakeoverSolutions.com www.PregnancyandBaby.com www.SheKnows.com Australia.SheKnows.com Canada.SheKnows.com UK.SheKnows.com www.SoapOperaFan.com www.StyleCaster.com www.StyleCasterMediaGroup.com (collectively, the \""Website\"")"", ""value"": ""Introductory/Generic""}}",9,729
3,C4095,3717,1,Introductory/Generic,9,"SheKnows, LLC, an Arizona limited liability company, and its affiliated companies, including StyleCaster, Inc., a Delaware corporation, and BlogHer Inc., a Delaware corporation (collectively, ""Company,"" ""we,"" or ""us""), knows that you care how information about you is used and shared. This Privacy Policy explains what information of yours will be collected by Company when you use the Website, any mobile versions of the Website, any applications published by the Company that you download from the Website or from a third-party, and other related services (the ""Service""), how the information will be used and how you can control the collection, correction and/or deletion of information. We will not use or share your information with anyone except as described in this Privacy Policy. To the extent that any terms of the Privacy Policy conflict with the terms of an existing written (including electronic) agreement between you and the Company regarding the use of specific areas of the Website or specific services (collectively, the ""Other Agreements""), the terms of such Other Agreements shall govern.","{""Other Type"": {""endIndexInSegment"": 1108, ""startIndexInSegment"": 0, ""selectedText"": ""SheKnows, LLC, an Arizona limited liability company, and its affiliated companies, including StyleCaster, Inc., a Delaware corporation, and BlogHer Inc., a Delaware corporation (collectively, \""Company,\"" \""we,\"" or \""us\""), knows that you care how information about you is used and shared. This Privacy Policy explains what information of yours will be collected by Company when you use the Website, any mobile versions of the Website, any applications published by the Company that you download from the Website or from a third-party, and other related services (the \""Service\""), how the information will be used and how you can control the collection, correction and/or deletion of information. We will not use or share your information with anyone except as described in this Privacy Policy. To the extent that any terms of the Privacy Policy conflict with the terms of an existing written (including electronic) agreement between you and the Company regarding the use of specific areas of the Website or specific services (collectively, the \""Other Agreements\""), the terms of such Other Agreements shall govern."", ""value"": ""Introductory/Generic""}}",0,1108
4,5269,3717,1,First Party Collection/Use,0,"information of yours will be collected by Company when you use the Website,","{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 394, ""startIndexInSegment"": 319, ""selectedText"": ""information of yours will be collected by Company when you use the Website,"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 330, ""startIndexInSegment"": 319, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 529, ""startIndexInSegment"": 285, ""selectedText"": ""This Privacy Policy explains what information of yours will be collected by Company when you use the Website, any mobile versions of the Website, any applications published by the Company that you download from the Website or from a third-party"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",319,394
5,5269,3717,1,First Party Collection/Use,0,"This Privacy Policy explains what information of yours will be collected by Company when you use the Website, any mobile versions of the Website, any applications published by the Company that you download from the Website or from a third-party","{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 394, ""startIndexInSegment"": 319, ""selectedText"": ""information of yours will be collected by Company when you use the Website,"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 330, ""startIndexInSegment"": 319, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 529, ""startIndexInSegment"": 285, ""selectedText"": ""This Privacy Policy explains what information of yours will be collected by Company when you use the Website, any mobile versions of the Website, any applications published by the Company that you download from the Website or from a third-party"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",285,529
6,5270,3717,1,First Party Collection/Use,0,mobile versions of the Website,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 429, ""startIndexInSegment"": 399, ""selectedText"": ""mobile versions of the Website"", ""value"": ""Collect on mobile website""}, ""Personal Information Type"": {""endIndexInSegment"": 330, ""startIndexInSegment"": 319, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 529, ""startIndexInSegment"": 285, ""selectedText"": ""This Privacy Policy explains what information of yours will be collected by Company when you use the Website, any mobile versions of the Website, any applications published by the Company that you download from the Website or from a third-party"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",399,429
7,5270,3717,1,First Party Collection/Use,0,"This Privacy Policy explains what information of yours will be collected by Company when you use the Website, any mobile versions of the Website, any applications published by the Company that you download from the Website or from a third-party","{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 429, ""startIndexInSegment"": 399, ""selectedText"": ""mobile versions of the Website"", ""value"": ""Collect on mobile website""}, ""Personal Information Type"": {""endIndexInSegment"": 330, ""startIndexInSegment"": 319, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 529, ""startIndexInSegment"": 285, ""selectedText"": ""This Privacy Policy explains what information of yours will be collected by Company when you use the Website, any mobile versions of the Website, any applications published by the Company that you download from the Website or from a third-party"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",285,529
8,5271,3717,1,First Party Collection/Use,0,any applications published by the Company that you download from the Website or from a third-party,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 529, ""startIndexInSegment"": 431, ""selectedText"": ""any applications published by the Company that you download from the Website or from a third-party"", ""value"": ""Collect in mobile app""}, ""Personal Information Type"": {""endIndexInSegment"": 330, ""startIndexInSegment"": 319, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 529, ""startIndexInSegment"": 285, ""selectedText"": ""This Privacy Policy explains what information of yours will be collected by Company when you use the Website, any mobile versions of the Website, any applications published by the Company that you download from the Website or from a third-party"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",431,529
9,5271,3717,1,First Party Collection/Use,0,"This Privacy Policy explains what information of yours will be collected by Company when you use the Website, any mobile versions of the Website, any applications published by the Company that you download from the Website or from a third-party","{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 529, ""startIndexInSegment"": 431, ""selectedText"": ""any applications published by the Company that you download from the Website or from a third-party"", ""value"": ""Collect in mobile app""}, ""Personal Information Type"": {""endIndexInSegment"": 330, ""startIndexInSegment"": 319, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 529, ""startIndexInSegment"": 285, ""selectedText"": ""This Privacy Policy explains what information of yours will be collected by Company when you use the Website, any mobile versions of the Website, any applications published by the Company that you download from the Website or from a third-party"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",285,529
