,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C3497,3856,0,Introductory/Generic,9,"Privacy Policy The Science Website is maintained by the American Association for the Advancement of Science (AAAS), 1200 New York Avenue, NW, Washington, DC 20005. AAAS is committed to protecting the privacy of our users. We strive to provide a safe, secure user experience. This Privacy Statement sets forth the online data collection and usage policies and practices that apply to the Science family of websites (also referred to as ""Science Online "" or the ""Science websites""), currently including Science (online version), Science Classic, Science Express, Science NOW, SAGE KE, Science Signaling, Science Translational Medicine , and Science Careers. It also includes the order forms and member services accessible from those websites","{""Other Type"": {""selectedText"": ""Privacy Policy The Science Website is maintained by the American Association for the Advancement of Science (AAAS), 1200 New York Avenue, NW, Washington, DC 20005. AAAS is committed to protecting the privacy of our users. We strive to provide a safe, secure user experience. This Privacy Statement sets forth the online data collection and usage policies and practices that apply to the Science family of websites (also referred to as \""Science Online \"" or the \""Science websites\""), currently including Science (online version), Science Classic, Science Express, Science NOW, SAGE KE, Science Signaling, Science Translational Medicine , and Science Careers. It also includes the order forms and member services accessible from those websites"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 759, ""value"": ""Introductory/Generic""}}",0,759
1,C3498,3856,0,Practice not covered,10,"Your data will be stored and processed in whole or in part in the United States. If you access the Science Website outside the United States, your usage of that site constitutes consent to the transfer of your data out of your country and to the United States. The Science Website contains links to other websites over which we have no control. We are not responsible for the privacy policies or practices of other websites to which you choose to link from the Science Website.","{""Other Type"": {""selectedText"": ""Your data will be stored and processed in whole or in part in the United States. If you access the Science Website outside the United States, your usage of that site constitutes consent to the transfer of your data out of your country and to the United States. The Science Website contains links to other websites over which we have no control. We are not responsible for the privacy policies or practices of other websites to which you choose to link from the Science Website."", ""startIndexInSegment"": 761, ""endIndexInSegment"": 1243, ""value"": ""Practice not covered""}}",761,1243
2,17467,3856,0,Privacy contact information,11,"The Science Website is maintained by the American Association for the Advancement of Science (AAAS), 1200 New York Avenue, NW, Washington, DC 20005.","{""Other Type"": {""selectedText"": ""The Science Website is maintained by the American Association for the Advancement of Science (AAAS), 1200 New York Avenue, NW, Washington, DC 20005."", ""startIndexInSegment"": 25, ""endIndexInSegment"": 173, ""value"": ""Privacy contact information""}}",25,173
3,C3499,3856,1,First Party Collection/Use,0,you knowingly choose to disclose,"{""Collection Mode"": {""selectedText"": ""you knowingly choose to disclose"", ""startIndexInSegment"": 149, ""endIndexInSegment"": 181, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""selectedText"": ""When you visit the Science Website there are two types of information you might provide to us"", ""startIndexInSegment"": 33, ""endIndexInSegment"": 126, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""personal information"", ""startIndexInSegment"": 128, ""endIndexInSegment"": 148, ""value"": ""Generic personal information""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",149,181
4,C3499,3856,1,First Party Collection/Use,0,When you visit the Science Website there are two types of information you might provide to us,"{""Collection Mode"": {""selectedText"": ""you knowingly choose to disclose"", ""startIndexInSegment"": 149, ""endIndexInSegment"": 181, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""selectedText"": ""When you visit the Science Website there are two types of information you might provide to us"", ""startIndexInSegment"": 33, ""endIndexInSegment"": 126, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""personal information"", ""startIndexInSegment"": 128, ""endIndexInSegment"": 148, ""value"": ""Generic personal information""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",33,126
5,C3500,3856,1,First Party Collection/Use,0,and website use information collected by us as you interact with our website,"{""Collection Mode"": {""selectedText"": ""and website use information collected by us as you interact with our website"", ""startIndexInSegment"": 182, ""endIndexInSegment"": 258, ""value"": ""Implicit""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""When you visit the Science Website there are two types of information you might provide to us"", ""startIndexInSegment"": 33, ""endIndexInSegment"": 126, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""and website use information"", ""startIndexInSegment"": 182, ""endIndexInSegment"": 209, ""value"": ""Unspecified""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""and website use information"", ""startIndexInSegment"": 182, ""endIndexInSegment"": 209, ""value"": ""Unspecified""}}",182,258
6,C3500,3856,1,First Party Collection/Use,0,When you visit the Science Website there are two types of information you might provide to us,"{""Collection Mode"": {""selectedText"": ""and website use information collected by us as you interact with our website"", ""startIndexInSegment"": 182, ""endIndexInSegment"": 258, ""value"": ""Implicit""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""When you visit the Science Website there are two types of information you might provide to us"", ""startIndexInSegment"": 33, ""endIndexInSegment"": 126, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""and website use information"", ""startIndexInSegment"": 182, ""endIndexInSegment"": 209, ""value"": ""Unspecified""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""and website use information"", ""startIndexInSegment"": 182, ""endIndexInSegment"": 209, ""value"": ""Unspecified""}}",33,126
7,18629,3856,1,First Party Collection/Use,0,as you interact with our website.,"{""Collection Mode"": {""selectedText"": ""as you interact with our website."", ""startIndexInSegment"": 226, ""endIndexInSegment"": 264, ""value"": ""Implicit""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""selectedText"": ""collected by us as you interact with our website."", ""startIndexInSegment"": 210, ""endIndexInSegment"": 259, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""website use information"", ""startIndexInSegment"": 186, ""endIndexInSegment"": 209, ""value"": ""User online activities""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",226,264
8,18629,3856,1,First Party Collection/Use,0,collected by us as you interact with our website.,"{""Collection Mode"": {""selectedText"": ""as you interact with our website."", ""startIndexInSegment"": 226, ""endIndexInSegment"": 264, ""value"": ""Implicit""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""selectedText"": ""collected by us as you interact with our website."", ""startIndexInSegment"": 210, ""endIndexInSegment"": 259, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""website use information"", ""startIndexInSegment"": 186, ""endIndexInSegment"": 209, ""value"": ""User online activities""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",210,259
9,17671,3856,1,First Party Collection/Use,0,you knowingly choose to disclose,"{""Collection Mode"": {""selectedText"": ""you knowingly choose to disclose"", ""startIndexInSegment"": 149, ""endIndexInSegment"": 181, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""disclose"", ""startIndexInSegment"": 173, ""endIndexInSegment"": 181, ""value"": ""Collection""}, ""Action First-Party"": {""selectedText"": ""When you visit the Science Website there are two types of information you might provide to us:"", ""startIndexInSegment"": 33, ""endIndexInSegment"": 127, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""personal information"", ""startIndexInSegment"": 128, ""endIndexInSegment"": 148, ""value"": ""Generic personal information""}, ""Choice Type"": {""selectedText"": ""choose to"", ""startIndexInSegment"": 163, ""endIndexInSegment"": 172, ""value"": ""Opt-in""}, ""Identifiability"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",149,181
