,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C3694,3637,0,Introductory/Generic,9,"The Disinformation Company Ltd. (Disinformation) values the users of our website (the Website). Your privacy and trust are very important to us. We recognize that you may be concerned about our collection, use, and disclosure of the personally identifiable information (Personal Information) that we collect when you use the Website and the services offered on the Website (Disinformation Services). This Privacy Policy describes the information that we collect from you, how we collect this information, and what we do with it after we collect it. By using the Website you are accepting the practices described in this Privacy Policy. If you have any questions or comments regarding this Privacy Policy, please contact us using our Contact Form.","{""Other Type"": {""endIndexInSegment"": 844, ""startIndexInSegment"": 98, ""selectedText"": ""The Disinformation Company Ltd. (Disinformation) values the users of our website (the Website). Your privacy and trust are very important to us. We recognize that you may be concerned about our collection, use, and disclosure of the personally identifiable information (Personal Information) that we collect when you use the Website and the services offered on the Website (Disinformation Services). This Privacy Policy describes the information that we collect from you, how we collect this information, and what we do with it after we collect it. By using the Website you are accepting the practices described in this Privacy Policy. If you have any questions or comments regarding this Privacy Policy, please contact us using our Contact Form."", ""value"": ""Introductory/Generic""}}",98,844
1,C3696,3637,1,Policy Change,6,"If we make material changes to this policy, we will notify you here, by email, or by means of a notice on our home page.","{""Change Type"": {""endIndexInSegment"": 581, ""startIndexInSegment"": 461, ""selectedText"": ""If we make material changes to this policy, we will notify you here, by email, or by means of a notice on our home page."", ""value"": ""Privacy relevant change""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 528, ""startIndexInSegment"": 505, ""selectedText"": ""we will notify you here"", ""value"": ""General notice in privacy policy""}}",461,581
2,C3697,3637,1,Policy Change,6,"If we make material changes to this policy, we will notify you here, by email, or by means of a notice on our home page.","{""Change Type"": {""endIndexInSegment"": 581, ""startIndexInSegment"": 461, ""selectedText"": ""If we make material changes to this policy, we will notify you here, by email, or by means of a notice on our home page."", ""value"": ""Privacy relevant change""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 539, ""startIndexInSegment"": 530, ""selectedText"": ""by email,"", ""value"": ""Personal notice""}}",461,581
3,C3698,3637,1,Policy Change,6,"If we make material changes to this policy, we will notify you here, by email, or by means of a notice on our home page.","{""Change Type"": {""endIndexInSegment"": 581, ""startIndexInSegment"": 461, ""selectedText"": ""If we make material changes to this policy, we will notify you here, by email, or by means of a notice on our home page."", ""value"": ""Privacy relevant change""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 580, ""startIndexInSegment"": 540, ""selectedText"": ""or by means of a notice on our home page"", ""value"": ""General notice on website""}}",461,581
4,2958,3637,1,Policy Change,6,material,"{""Change Type"": {""endIndexInSegment"": 480, ""startIndexInSegment"": 472, ""selectedText"": ""material"", ""value"": ""Privacy relevant change""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 538, ""startIndexInSegment"": 533, ""selectedText"": ""email"", ""value"": ""Personal notice""}}",472,480
5,2959,3637,1,Policy Change,6,material,"{""Change Type"": {""endIndexInSegment"": 480, ""startIndexInSegment"": 472, ""selectedText"": ""material"", ""value"": ""Privacy relevant change""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 580, ""startIndexInSegment"": 543, ""selectedText"": ""by means of a notice on our home page"", ""value"": ""General notice on website""}}",472,480
6,4161,3637,1,Policy Change,6,"If we decide to change our Privacy Policy, we will post those changes to this privacy statement, the home page, and other places we deem appropriate","{""Change Type"": {""endIndexInSegment"": 238, ""startIndexInSegment"": 90, ""selectedText"": ""If we decide to change our Privacy Policy, we will post those changes to this privacy statement, the home page, and other places we deem appropriate"", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 185, ""startIndexInSegment"": 133, ""selectedText"": ""we will post those changes to this privacy statement"", ""value"": ""General notice in privacy policy""}}",90,238
7,C3699,3637,2,First Party Collection/Use,0,We and/or our service provider partners may collect,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 193, ""startIndexInSegment"": 142, ""selectedText"": ""We and/or our service provider partners may collect"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 330, ""startIndexInSegment"": 312, ""selectedText"": ""credit card number"", ""value"": ""Financial""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 121, ""startIndexInSegment"": 101, ""selectedText"": ""Personal Information"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 437, ""startIndexInSegment"": 142, ""selectedText"": ""We and/or our service provider partners may collect any Personal Information that you provide to us, such as your name, mailing address, phone number, email address, and credit card number, as well as the Internet protocol (IP) Address from which you post stories and/or comments to the Website."", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",142,193
8,C3699,3637,2,First Party Collection/Use,0,"We and/or our service provider partners may collect any Personal Information that you provide to us, such as your name, mailing address, phone number, email address, and credit card number, as well as the Internet protocol (IP) Address from which you post stories and/or comments to the Website.","{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 193, ""startIndexInSegment"": 142, ""selectedText"": ""We and/or our service provider partners may collect"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 330, ""startIndexInSegment"": 312, ""selectedText"": ""credit card number"", ""value"": ""Financial""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 121, ""startIndexInSegment"": 101, ""selectedText"": ""Personal Information"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 437, ""startIndexInSegment"": 142, ""selectedText"": ""We and/or our service provider partners may collect any Personal Information that you provide to us, such as your name, mailing address, phone number, email address, and credit card number, as well as the Internet protocol (IP) Address from which you post stories and/or comments to the Website."", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",142,437
9,C3700,3637,2,Third Party Sharing/Collection,1,service provider partners,"{""Third Party Entity"": {""endIndexInSegment"": 181, ""startIndexInSegment"": 156, ""selectedText"": ""service provider partners"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 331, ""startIndexInSegment"": 312, ""selectedText"": ""credit card number,"", ""value"": ""Financial""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 121, ""startIndexInSegment"": 101, ""selectedText"": ""Personal Information"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 185, ""startIndexInSegment"": 182, ""selectedText"": ""may"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 193, ""startIndexInSegment"": 186, ""selectedText"": ""collect"", ""value"": ""Collect on first party website/app""}}",156,181
