,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C3848,3729,0,Third Party Sharing/Collection,1,we DO NOT share user details with advertisers.,"{""Third Party Entity"": {""endIndexInSegment"": 227, ""startIndexInSegment"": 181, ""selectedText"": ""we DO NOT share user details with advertisers."", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 227, ""startIndexInSegment"": 215, ""selectedText"": ""advertisers."", ""value"": ""Advertising""}, ""Personal Information Type"": {""endIndexInSegment"": 209, ""startIndexInSegment"": 197, ""selectedText"": ""user details"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 209, ""startIndexInSegment"": 197, ""selectedText"": ""user details"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 190, ""startIndexInSegment"": 181, ""selectedText"": ""we DO NOT"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 196, ""startIndexInSegment"": 191, ""selectedText"": ""share"", ""value"": ""Receive/Shared with""}}",181,227
1,C3848,3729,0,Third Party Sharing/Collection,1,share,"{""Third Party Entity"": {""endIndexInSegment"": 227, ""startIndexInSegment"": 181, ""selectedText"": ""we DO NOT share user details with advertisers."", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 227, ""startIndexInSegment"": 215, ""selectedText"": ""advertisers."", ""value"": ""Advertising""}, ""Personal Information Type"": {""endIndexInSegment"": 209, ""startIndexInSegment"": 197, ""selectedText"": ""user details"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 209, ""startIndexInSegment"": 197, ""selectedText"": ""user details"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 190, ""startIndexInSegment"": 181, ""selectedText"": ""we DO NOT"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 196, ""startIndexInSegment"": 191, ""selectedText"": ""share"", ""value"": ""Receive/Shared with""}}",191,196
2,C3848,3729,0,Third Party Sharing/Collection,1,we DO NOT,"{""Third Party Entity"": {""endIndexInSegment"": 227, ""startIndexInSegment"": 181, ""selectedText"": ""we DO NOT share user details with advertisers."", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 227, ""startIndexInSegment"": 215, ""selectedText"": ""advertisers."", ""value"": ""Advertising""}, ""Personal Information Type"": {""endIndexInSegment"": 209, ""startIndexInSegment"": 197, ""selectedText"": ""user details"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 209, ""startIndexInSegment"": 197, ""selectedText"": ""user details"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 190, ""startIndexInSegment"": 181, ""selectedText"": ""we DO NOT"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 196, ""startIndexInSegment"": 191, ""selectedText"": ""share"", ""value"": ""Receive/Shared with""}}",181,190
3,5605,3729,0,Third Party Sharing/Collection,1,third parties,"{""Third Party Entity"": {""endIndexInSegment"": 85, ""startIndexInSegment"": 72, ""selectedText"": ""third parties"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 68, ""startIndexInSegment"": 62, ""selectedText"": ""emails"", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 46, ""startIndexInSegment"": 41, ""selectedText"": ""never"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 52, ""startIndexInSegment"": 47, ""selectedText"": ""rents"", ""value"": ""Receive/Shared with""}}",72,85
4,5605,3729,0,Third Party Sharing/Collection,1,rents,"{""Third Party Entity"": {""endIndexInSegment"": 85, ""startIndexInSegment"": 72, ""selectedText"": ""third parties"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 68, ""startIndexInSegment"": 62, ""selectedText"": ""emails"", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 46, ""startIndexInSegment"": 41, ""selectedText"": ""never"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 52, ""startIndexInSegment"": 47, ""selectedText"": ""rents"", ""value"": ""Receive/Shared with""}}",47,52
5,5605,3729,0,Third Party Sharing/Collection,1,never,"{""Third Party Entity"": {""endIndexInSegment"": 85, ""startIndexInSegment"": 72, ""selectedText"": ""third parties"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 68, ""startIndexInSegment"": 62, ""selectedText"": ""emails"", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 46, ""startIndexInSegment"": 41, ""selectedText"": ""never"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 52, ""startIndexInSegment"": 47, ""selectedText"": ""rents"", ""value"": ""Receive/Shared with""}}",41,46
6,5607,3729,0,Third Party Sharing/Collection,1,third parties,"{""Third Party Entity"": {""endIndexInSegment"": 85, ""startIndexInSegment"": 72, ""selectedText"": ""third parties"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 226, ""startIndexInSegment"": 215, ""selectedText"": ""advertisers"", ""value"": ""Advertising""}, ""Personal Information Type"": {""endIndexInSegment"": 209, ""startIndexInSegment"": 202, ""selectedText"": ""details"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 46, ""startIndexInSegment"": 41, ""selectedText"": ""never"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 52, ""startIndexInSegment"": 47, ""selectedText"": ""rents"", ""value"": ""Receive/Shared with""}}",72,85
7,5607,3729,0,Third Party Sharing/Collection,1,rents,"{""Third Party Entity"": {""endIndexInSegment"": 85, ""startIndexInSegment"": 72, ""selectedText"": ""third parties"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 226, ""startIndexInSegment"": 215, ""selectedText"": ""advertisers"", ""value"": ""Advertising""}, ""Personal Information Type"": {""endIndexInSegment"": 209, ""startIndexInSegment"": 202, ""selectedText"": ""details"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 46, ""startIndexInSegment"": 41, ""selectedText"": ""never"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 52, ""startIndexInSegment"": 47, ""selectedText"": ""rents"", ""value"": ""Receive/Shared with""}}",47,52
8,5607,3729,0,Third Party Sharing/Collection,1,never,"{""Third Party Entity"": {""endIndexInSegment"": 85, ""startIndexInSegment"": 72, ""selectedText"": ""third parties"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 226, ""startIndexInSegment"": 215, ""selectedText"": ""advertisers"", ""value"": ""Advertising""}, ""Personal Information Type"": {""endIndexInSegment"": 209, ""startIndexInSegment"": 202, ""selectedText"": ""details"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 46, ""startIndexInSegment"": 41, ""selectedText"": ""never"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 52, ""startIndexInSegment"": 47, ""selectedText"": ""rents"", ""value"": ""Receive/Shared with""}}",41,46
9,7286,3729,0,First Party Collection/Use,0,ells,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 61, ""startIndexInSegment"": 57, ""selectedText"": ""ells"", ""value"": ""Other""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 61, ""startIndexInSegment"": 56, ""selectedText"": ""sells"", ""value"": ""Other""}}",57,61
10,5608,3729,1,User Choice/Control,2,unsubscribe,"{""Choice Type"": {""endIndexInSegment"": 44, ""startIndexInSegment"": 33, ""selectedText"": ""unsubscribe"", ""value"": ""Opt-out link""}, ""Choice Scope"": {""endIndexInSegment"": 32, ""startIndexInSegment"": 27, ""selectedText"": ""email"", ""value"": ""First party use""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",33,44
11,5608,3729,1,User Choice/Control,2,email,"{""Choice Type"": {""endIndexInSegment"": 44, ""startIndexInSegment"": 33, ""selectedText"": ""unsubscribe"", ""value"": ""Opt-out link""}, ""Choice Scope"": {""endIndexInSegment"": 32, ""startIndexInSegment"": 27, ""selectedText"": ""email"", ""value"": ""First party use""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",27,32
12,6538,3729,1,User Choice/Control,2,NaturalNews.com honors all email unsubscribe requests,"{""Choice Type"": {""endIndexInSegment"": 53, ""startIndexInSegment"": 0, ""selectedText"": ""NaturalNews.com honors all email unsubscribe requests"", ""value"": ""Opt-out via contacting company""}, ""Choice Scope"": {""endIndexInSegment"": 53, ""startIndexInSegment"": 0, ""selectedText"": ""NaturalNews.com honors all email unsubscribe requests"", ""value"": ""First party use""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 53, ""startIndexInSegment"": 27, ""selectedText"": ""email unsubscribe requests"", ""value"": ""Contact""}}",0,53
13,6538,3729,1,User Choice/Control,2,NaturalNews.com honors all email unsubscribe requests,"{""Choice Type"": {""endIndexInSegment"": 53, ""startIndexInSegment"": 0, ""selectedText"": ""NaturalNews.com honors all email unsubscribe requests"", ""value"": ""Opt-out via contacting company""}, ""Choice Scope"": {""endIndexInSegment"": 53, ""startIndexInSegment"": 0, ""selectedText"": ""NaturalNews.com honors all email unsubscribe requests"", ""value"": ""First party use""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 53, ""startIndexInSegment"": 27, ""selectedText"": ""email unsubscribe requests"", ""value"": ""Contact""}}",0,53
14,7284,3729,1,Introductory/Generic,9,"NaturalNews.com honors all email unsubscribe requests and makes every attempt to honor the privacy of its members, viewers and sponsors.","{""Other Type"": {""endIndexInSegment"": 136, ""startIndexInSegment"": 0, ""selectedText"": ""NaturalNews.com honors all email unsubscribe requests and makes every attempt to honor the privacy of its members, viewers and sponsors."", ""value"": ""Introductory/Generic""}}",0,136
15,C3849,3729,2,Privacy contact information,11,"Postmaster Webseed 6336 N. Oracle Rd. 325-315 Tucson, AZ 85704 reply@naturalnews.com","{""Other Type"": {""endIndexInSegment"": 84, ""startIndexInSegment"": 0, ""selectedText"": ""Postmaster Webseed 6336 N. Oracle Rd. 325-315 Tucson, AZ 85704 reply@naturalnews.com"", ""value"": ""Privacy contact information""}}",0,84
16,C3850,3729,3,User Choice/Control,2,"To opt-out of NaturalNews emails, simply click the ""unsubscribe"" link found at the bottom of any email from NaturalNews.","{""Choice Type"": {""endIndexInSegment"": 120, ""startIndexInSegment"": 0, ""selectedText"": ""To opt-out of NaturalNews emails, simply click the \""unsubscribe\"" link found at the bottom of any email from NaturalNews."", ""value"": ""Opt-out link""}, ""Choice Scope"": {""endIndexInSegment"": 120, ""startIndexInSegment"": 0, ""selectedText"": ""To opt-out of NaturalNews emails, simply click the \""unsubscribe\"" link found at the bottom of any email from NaturalNews."", ""value"": ""First party use""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 33, ""startIndexInSegment"": 26, ""selectedText"": ""emails,"", ""value"": ""Contact""}}",0,120
17,C3850,3729,3,User Choice/Control,2,"To opt-out of NaturalNews emails, simply click the ""unsubscribe"" link found at the bottom of any email from NaturalNews.","{""Choice Type"": {""endIndexInSegment"": 120, ""startIndexInSegment"": 0, ""selectedText"": ""To opt-out of NaturalNews emails, simply click the \""unsubscribe\"" link found at the bottom of any email from NaturalNews."", ""value"": ""Opt-out link""}, ""Choice Scope"": {""endIndexInSegment"": 120, ""startIndexInSegment"": 0, ""selectedText"": ""To opt-out of NaturalNews emails, simply click the \""unsubscribe\"" link found at the bottom of any email from NaturalNews."", ""value"": ""First party use""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 33, ""startIndexInSegment"": 26, ""selectedText"": ""emails,"", ""value"": ""Contact""}}",0,120
18,5610,3729,3,User Choice/Control,2,"unsubscribe"" link","{""Choice Type"": {""endIndexInSegment"": 69, ""startIndexInSegment"": 52, ""selectedText"": ""unsubscribe\"" link"", ""value"": ""Opt-out link""}, ""Choice Scope"": {""endIndexInSegment"": 32, ""startIndexInSegment"": 14, ""selectedText"": ""NaturalNews emails"", ""value"": ""First party use""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",52,69
19,5610,3729,3,User Choice/Control,2,NaturalNews emails,"{""Choice Type"": {""endIndexInSegment"": 69, ""startIndexInSegment"": 52, ""selectedText"": ""unsubscribe\"" link"", ""value"": ""Opt-out link""}, ""Choice Scope"": {""endIndexInSegment"": 32, ""startIndexInSegment"": 14, ""selectedText"": ""NaturalNews emails"", ""value"": ""First party use""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",14,32
20,5611,3729,4,User Choice/Control,2,unsubscribing,"{""Choice Type"": {""endIndexInSegment"": 46, ""startIndexInSegment"": 33, ""selectedText"": ""unsubscribing"", ""value"": ""Opt-out via contacting company""}, ""Choice Scope"": {""endIndexInSegment"": 80, ""startIndexInSegment"": 68, ""selectedText"": ""entire email"", ""value"": ""First party use""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",33,46
21,5611,3729,4,User Choice/Control,2,entire email,"{""Choice Type"": {""endIndexInSegment"": 46, ""startIndexInSegment"": 33, ""selectedText"": ""unsubscribing"", ""value"": ""Opt-out via contacting company""}, ""Choice Scope"": {""endIndexInSegment"": 80, ""startIndexInSegment"": 68, ""selectedText"": ""entire email"", ""value"": ""First party use""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",68,80
22,6541,3729,4,Privacy contact information,11,reply@naturalnews.com,"{""Other Type"": {""endIndexInSegment"": 105, ""startIndexInSegment"": 84, ""selectedText"": ""reply@naturalnews.com"", ""value"": ""Privacy contact information""}}",84,105
23,7282,3729,4,Privacy contact information,11,"If you experience any difficulty unsubscribing, simply forward this entire email to reply@naturalnews.com and you will be automatically unsubscribed.","{""Other Type"": {""endIndexInSegment"": 149, ""startIndexInSegment"": 0, ""selectedText"": ""If you experience any difficulty unsubscribing, simply forward this entire email to reply@naturalnews.com and you will be automatically unsubscribed."", ""value"": ""Privacy contact information""}}",0,149
24,7283,3729,4,User Choice/Control,2,"If you experience any difficulty unsubscribing, simply forward this entire email to reply@naturalnews.com and you will be automatically unsubscribed.","{""Choice Type"": {""endIndexInSegment"": 149, ""startIndexInSegment"": 0, ""selectedText"": ""If you experience any difficulty unsubscribing, simply forward this entire email to reply@naturalnews.com and you will be automatically unsubscribed."", ""value"": ""Opt-out via contacting company""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",0,149
