,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C3851,3730,0,Policy Change,6,"This Policy was last changed on October 24, 2014","{""Change Type"": {""endIndexInSegment"": 108, ""startIndexInSegment"": 60, ""selectedText"": ""This Policy was last changed on October 24, 2014"", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 108, ""startIndexInSegment"": 60, ""selectedText"": ""This Policy was last changed on October 24, 2014"", ""value"": ""General notice on website""}}",60,108
1,5612,3730,0,Introductory/Generic,9,"This Policy was last changed on October 24, 2014","{""Other Type"": {""endIndexInSegment"": 108, ""startIndexInSegment"": 60, ""selectedText"": ""This Policy was last changed on October 24, 2014"", ""value"": ""Introductory/Generic""}}",60,108
2,C3852,3730,1,Introductory/Generic,9,"Everyday Health Media, LLC and its subsidiaries (""Everyday Health,"" ""us"" or ""we"") operate this website (the ""Site""), and other health, wellness, diet and fitness websites that are part of the Everyday Health portfolio of websites (collectively, the ""Sites"") and the services related to or offered on the Sites (hereinafter, the ""Services""). Some of the Sites are websites that we operate on behalf of third party licensors, for example, JillianMichaels.com, PDRHealth.com and SouthBeachDiet.com (collectively, ""Licensors""). Everyday Health's Services may include, without limitation, tools, applications, email services, bulletin and message boards, chat areas, news groups, forums, communities, calendars, and downloadable mobile applications related to the Sites or provided through the Sites.","{""Other Type"": {""endIndexInSegment"": 795, ""startIndexInSegment"": 0, ""selectedText"": ""Everyday Health Media, LLC and its subsidiaries (\""Everyday Health,\"" \""us\"" or \""we\"") operate this website (the \""Site\""), and other health, wellness, diet and fitness websites that are part of the Everyday Health portfolio of websites (collectively, the \""Sites\"") and the services related to or offered on the Sites (hereinafter, the \""Services\""). Some of the Sites are websites that we operate on behalf of third party licensors, for example, JillianMichaels.com, PDRHealth.com and SouthBeachDiet.com (collectively, \""Licensors\""). Everyday Health's Services may include, without limitation, tools, applications, email services, bulletin and message boards, chat areas, news groups, forums, communities, calendars, and downloadable mobile applications related to the Sites or provided through the Sites."", ""value"": ""Introductory/Generic""}}",0,795
3,C3853,3730,2,Introductory/Generic,9,"We provide you this privacy policy (the ""Policy"") to help you understand the kinds of information we may gather about you when you visit the Site or use any of our Services, how we may use and disclose the information, and how you can control, correct and/or update the information.","{""Other Type"": {""endIndexInSegment"": 282, ""startIndexInSegment"": 0, ""selectedText"": ""We provide you this privacy policy (the \""Policy\"") to help you understand the kinds of information we may gather about you when you visit the Site or use any of our Services, how we may use and disclose the information, and how you can control, correct and/or update the information."", ""value"": ""Introductory/Generic""}}",0,282
4,C3854,3730,3,Introductory/Generic,9,"To be clear about the terminology we are using, when we use the phrase ""Personal Information"" in this Policy, we mean information that can be used to identify or contact a person, like a person's full name, address, e-mail address, or phone number. When we use the phrase ""Anonymous Information"" in this Policy, we mean information that cannot reasonably be used to identify individual persons.","{""Other Type"": {""endIndexInSegment"": 394, ""startIndexInSegment"": 0, ""selectedText"": ""To be clear about the terminology we are using, when we use the phrase \""Personal Information\"" in this Policy, we mean information that can be used to identify or contact a person, like a person's full name, address, e-mail address, or phone number. When we use the phrase \""Anonymous Information\"" in this Policy, we mean information that cannot reasonably be used to identify individual persons."", ""value"": ""Introductory/Generic""}}",0,394
5,C3855,3730,4,Introductory/Generic,9,"By visiting this Site or using the Services, you are accepting the policies and practices described in this Policy. Each time you visit the Site or use the Services, you agree and expressly consent to our collection, use and disclosure of the information that you provide as described in this Policy.","{""Other Type"": {""endIndexInSegment"": 300, ""startIndexInSegment"": 0, ""selectedText"": ""By visiting this Site or using the Services, you are accepting the policies and practices described in this Policy. Each time you visit the Site or use the Services, you agree and expressly consent to our collection, use and disclosure of the information that you provide as described in this Policy."", ""value"": ""Introductory/Generic""}}",0,300
6,5618,3730,5,Introductory/Generic,9,Your Personal Information will be processed by us in the United States.,"{""Other Type"": {""endIndexInSegment"": 71, ""startIndexInSegment"": 0, ""selectedText"": ""Your Personal Information will be processed by us in the United States."", ""value"": ""Introductory/Generic""}}",0,71
7,C3857,3730,6,Introductory/Generic,9,"In addition to this general Policy, each Service may have additional privacy provisions that are specific to the particular Service. These supplemental disclosures are made adjacent to the particular Service at the time we collect the information. These supplemental disclosures also govern the use of your information.","{""Other Type"": {""endIndexInSegment"": 319, ""startIndexInSegment"": 0, ""selectedText"": ""In addition to this general Policy, each Service may have additional privacy provisions that are specific to the particular Service. These supplemental disclosures are made adjacent to the particular Service at the time we collect the information. These supplemental disclosures also govern the use of your information."", ""value"": ""Introductory/Generic""}}",0,319
8,5620,3730,7,Introductory/Generic,9,We collect information about you in the following ways:,"{""Other Type"": {""endIndexInSegment"": 113, ""startIndexInSegment"": 58, ""selectedText"": ""We collect information about you in the following ways:"", ""value"": ""Introductory/Generic""}}",58,113
9,6549,3730,7,Introductory/Generic,9,1. The Information We Gather,"{""Other Type"": {""endIndexInSegment"": 37, ""startIndexInSegment"": 9, ""selectedText"": ""1. The Information We Gather"", ""value"": ""Introductory/Generic""}}",9,37
10,C3858,3730,8,First Party Collection/Use,0,voluntarily submit,"{""Collection Mode"": {""endIndexInSegment"": 134, ""startIndexInSegment"": 116, ""selectedText"": ""voluntarily submit"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 81, ""startIndexInSegment"": 71, ""selectedText"": ""We collect"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 368, ""startIndexInSegment"": 345, ""selectedText"": ""demographic information"", ""value"": ""Demographic""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 320, ""startIndexInSegment"": 247, ""selectedText"": ""you may provide us certain information including your name, email address"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 195, ""startIndexInSegment"": 71, ""selectedText"": ""We collect and maintain information that you voluntarily submit to us during your use of the Sites and Services. For example"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": 246, ""startIndexInSegment"": 217, ""selectedText"": ""when you register for a Site,"", ""value"": ""User with account""}, ""Purpose"": {""endIndexInSegment"": 245, ""startIndexInSegment"": 217, ""selectedText"": ""when you register for a Site"", ""value"": ""Basic service/feature""}}",116,134
11,C3858,3730,8,First Party Collection/Use,0,We collect,"{""Collection Mode"": {""endIndexInSegment"": 134, ""startIndexInSegment"": 116, ""selectedText"": ""voluntarily submit"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 81, ""startIndexInSegment"": 71, ""selectedText"": ""We collect"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 368, ""startIndexInSegment"": 345, ""selectedText"": ""demographic information"", ""value"": ""Demographic""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 320, ""startIndexInSegment"": 247, ""selectedText"": ""you may provide us certain information including your name, email address"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 195, ""startIndexInSegment"": 71, ""selectedText"": ""We collect and maintain information that you voluntarily submit to us during your use of the Sites and Services. For example"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": 246, ""startIndexInSegment"": 217, ""selectedText"": ""when you register for a Site,"", ""value"": ""User with account""}, ""Purpose"": {""endIndexInSegment"": 245, ""startIndexInSegment"": 217, ""selectedText"": ""when you register for a Site"", ""value"": ""Basic service/feature""}}",71,81
12,C3858,3730,8,First Party Collection/Use,0,We collect and maintain information that you voluntarily submit to us during your use of the Sites and Services. For example,"{""Collection Mode"": {""endIndexInSegment"": 134, ""startIndexInSegment"": 116, ""selectedText"": ""voluntarily submit"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 81, ""startIndexInSegment"": 71, ""selectedText"": ""We collect"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 368, ""startIndexInSegment"": 345, ""selectedText"": ""demographic information"", ""value"": ""Demographic""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 320, ""startIndexInSegment"": 247, ""selectedText"": ""you may provide us certain information including your name, email address"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 195, ""startIndexInSegment"": 71, ""selectedText"": ""We collect and maintain information that you voluntarily submit to us during your use of the Sites and Services. For example"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": 246, ""startIndexInSegment"": 217, ""selectedText"": ""when you register for a Site,"", ""value"": ""User with account""}, ""Purpose"": {""endIndexInSegment"": 245, ""startIndexInSegment"": 217, ""selectedText"": ""when you register for a Site"", ""value"": ""Basic service/feature""}}",71,195
13,C3859,3730,8,First Party Collection/Use,0,voluntarily submit,"{""Collection Mode"": {""endIndexInSegment"": 134, ""startIndexInSegment"": 116, ""selectedText"": ""voluntarily submit"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 81, ""startIndexInSegment"": 71, ""selectedText"": ""We collect"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 320, ""startIndexInSegment"": 247, ""selectedText"": ""you may provide us certain information including your name, email address"", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 320, ""startIndexInSegment"": 247, ""selectedText"": ""you may provide us certain information including your name, email address"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 195, ""startIndexInSegment"": 71, ""selectedText"": ""We collect and maintain information that you voluntarily submit to us during your use of the Sites and Services. For example"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": 246, ""startIndexInSegment"": 217, ""selectedText"": ""when you register for a Site,"", ""value"": ""User with account""}, ""Purpose"": {""endIndexInSegment"": 245, ""startIndexInSegment"": 217, ""selectedText"": ""when you register for a Site"", ""value"": ""Basic service/feature""}}",116,134
14,C3859,3730,8,First Party Collection/Use,0,We collect,"{""Collection Mode"": {""endIndexInSegment"": 134, ""startIndexInSegment"": 116, ""selectedText"": ""voluntarily submit"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 81, ""startIndexInSegment"": 71, ""selectedText"": ""We collect"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 320, ""startIndexInSegment"": 247, ""selectedText"": ""you may provide us certain information including your name, email address"", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 320, ""startIndexInSegment"": 247, ""selectedText"": ""you may provide us certain information including your name, email address"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 195, ""startIndexInSegment"": 71, ""selectedText"": ""We collect and maintain information that you voluntarily submit to us during your use of the Sites and Services. For example"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": 246, ""startIndexInSegment"": 217, ""selectedText"": ""when you register for a Site,"", ""value"": ""User with account""}, ""Purpose"": {""endIndexInSegment"": 245, ""startIndexInSegment"": 217, ""selectedText"": ""when you register for a Site"", ""value"": ""Basic service/feature""}}",71,81
