,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C4404,3821,0,Introductory/Generic,9,lynda.com Privacy Policy,"{""Other Type"": {""endIndexInSegment"": 24, ""startIndexInSegment"": 0, ""selectedText"": ""lynda.com Privacy Policy"", ""value"": ""Introductory/Generic""}}",0,24
1,C4405,3821,1,Introductory/Generic,9,"Effective Date: March 5, 2014","{""Other Type"": {""endIndexInSegment"": 29, ""startIndexInSegment"": 0, ""selectedText"": ""Effective Date: March 5, 2014"", ""value"": ""Introductory/Generic""}}",0,29
2,9464,3821,1,Policy Change,6,"Effective Date: March 5, 2014","{""Change Type"": {""endIndexInSegment"": 29, ""startIndexInSegment"": 0, ""selectedText"": ""Effective Date: March 5, 2014"", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 29, ""startIndexInSegment"": 0, ""selectedText"": ""Effective Date: March 5, 2014"", ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 29, ""startIndexInSegment"": 0, ""selectedText"": ""Effective Date: March 5, 2014"", ""value"": ""General notice in privacy policy""}}",0,29
3,9957,3821,2,Introductory/Generic,9,We are committed to protecting and respecting your privacy,"{""Other Type"": {""endIndexInSegment"": 136, ""startIndexInSegment"": 78, ""selectedText"": ""We are committed to protecting and respecting your privacy"", ""value"": ""Introductory/Generic""}}",78,136
4,9465,3821,2,Data Security,5,We are committed to protecting and respecting your privacy.,"{""Security Measure"": {""endIndexInSegment"": 137, ""startIndexInSegment"": 78, ""selectedText"": ""We are committed to protecting and respecting your privacy."", ""value"": ""Generic""}}",78,137
5,9466,3821,2,Introductory/Generic,9,"We are lynda.com, Inc., located at 6410 Via Real, Carpinteria, CA 93013, USA.","{""Other Type"": {""endIndexInSegment"": 77, ""startIndexInSegment"": 0, ""selectedText"": ""We are lynda.com, Inc., located at 6410 Via Real, Carpinteria, CA 93013, USA."", ""value"": ""Introductory/Generic""}}",0,77
6,9467,3821,2,First Party Collection/Use,0,when you visit the lynda.com websites,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 284, ""startIndexInSegment"": 247, ""selectedText"": ""when you visit the lynda.com websites"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 192, ""startIndexInSegment"": 172, ""selectedText"": ""types of information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 207, ""startIndexInSegment"": 193, ""selectedText"": ""we may collect"", ""value"": ""Unspecified""}}",247,284
7,9468,3821,2,First Party Collection/Use,0,m.lynda.com,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 322, ""startIndexInSegment"": 311, ""selectedText"": ""m.lynda.com"", ""value"": ""Collect on mobile website""}, ""Personal Information Type"": {""endIndexInSegment"": 192, ""startIndexInSegment"": 172, ""selectedText"": ""types of information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 207, ""startIndexInSegment"": 193, ""selectedText"": ""we may collect"", ""value"": ""Unspecified""}}",311,322
8,9469,3821,2,First Party Collection/Use,0,and www.video2brain.com (the Websites),"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 361, ""startIndexInSegment"": 323, ""selectedText"": ""and www.video2brain.com (the Websites)"", ""value"": ""Receive from other parts of company/affiliates""}, ""Personal Information Type"": {""endIndexInSegment"": 192, ""startIndexInSegment"": 172, ""selectedText"": ""types of information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 207, ""startIndexInSegment"": 193, ""selectedText"": ""we may collect"", ""value"": ""Unspecified""}}",323,361
9,9470,3821,2,First Party Collection/Use,0,the lynda.com mobile application (App),"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 403, ""startIndexInSegment"": 365, ""selectedText"": ""the lynda.com mobile application (App)"", ""value"": ""Collect in mobile app""}, ""Personal Information Type"": {""endIndexInSegment"": 192, ""startIndexInSegment"": 172, ""selectedText"": ""types of information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 207, ""startIndexInSegment"": 193, ""selectedText"": ""we may collect"", ""value"": ""Unspecified""}}",365,403
