,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C4689,3835,0,Third Party Sharing/Collection,1,third-party companies,"{""Third Party Entity"": {""selectedText"": ""third-party companies"", ""startIndexInSegment"": 37, ""endIndexInSegment"": 58, ""value"": ""Unnamed third party""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""to serve ads"", ""startIndexInSegment"": 59, ""endIndexInSegment"": 71, ""value"": ""Advertising""}, ""Personal Information Type"": {""selectedText"": ""click stream information"", ""startIndexInSegment"": 217, ""endIndexInSegment"": 241, ""value"": ""User online activities""}, ""Choice Type"": {""selectedText"": ""to opt-out of this type of advertising, you can visit networkadvertising.org."", ""startIndexInSegment"": 626, ""endIndexInSegment"": 703, ""value"": ""Opt-out link""}, ""Identifiability"": {""selectedText"": ""non-personally identifiable"", ""startIndexInSegment"": 170, ""endIndexInSegment"": 197, ""value"": ""Aggregated or anonymized""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""selectedText"": ""collect certain anonymous information when you visit our web site"", ""startIndexInSegment"": 79, ""endIndexInSegment"": 144, ""value"": ""Collect on first party website/app""}}",37,58
1,C4689,3835,0,Third Party Sharing/Collection,1,collect certain anonymous information when you visit our web site,"{""Third Party Entity"": {""selectedText"": ""third-party companies"", ""startIndexInSegment"": 37, ""endIndexInSegment"": 58, ""value"": ""Unnamed third party""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""to serve ads"", ""startIndexInSegment"": 59, ""endIndexInSegment"": 71, ""value"": ""Advertising""}, ""Personal Information Type"": {""selectedText"": ""click stream information"", ""startIndexInSegment"": 217, ""endIndexInSegment"": 241, ""value"": ""User online activities""}, ""Choice Type"": {""selectedText"": ""to opt-out of this type of advertising, you can visit networkadvertising.org."", ""startIndexInSegment"": 626, ""endIndexInSegment"": 703, ""value"": ""Opt-out link""}, ""Identifiability"": {""selectedText"": ""non-personally identifiable"", ""startIndexInSegment"": 170, ""endIndexInSegment"": 197, ""value"": ""Aggregated or anonymized""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""selectedText"": ""collect certain anonymous information when you visit our web site"", ""startIndexInSegment"": 79, ""endIndexInSegment"": 144, ""value"": ""Collect on first party website/app""}}",79,144
2,15416,3835,0,Third Party Sharing/Collection,1,third-party companies,"{""Third Party Entity"": {""selectedText"": ""third-party companies"", ""startIndexInSegment"": 37, ""endIndexInSegment"": 58, ""value"": ""Unnamed third party""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""during your visits to this and other Web sites in order to provide advertisements about goods and services likely to be of greater interest to you."", ""startIndexInSegment"": 324, ""endIndexInSegment"": 471, ""value"": ""Advertising""}, ""Personal Information Type"": {""selectedText"": ""non-personally identifiable information (e.g., click stream information, browser type, time and date, subject of advertisements clicked or scrolled over)"", ""startIndexInSegment"": 170, ""endIndexInSegment"": 323, ""value"": ""Other""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""anonymous information"", ""startIndexInSegment"": 95, ""endIndexInSegment"": 116, ""value"": ""Aggregated or anonymized""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action Third Party"": {""selectedText"": ""We allow third-party companies to serve ads and/or collect certain anonymous information when you visit our web site."", ""startIndexInSegment"": 28, ""endIndexInSegment"": 145, ""value"": ""Collect on first party website/app""}}",37,58
3,15416,3835,0,Third Party Sharing/Collection,1,We allow third-party companies to serve ads and/or collect certain anonymous information when you visit our web site.,"{""Third Party Entity"": {""selectedText"": ""third-party companies"", ""startIndexInSegment"": 37, ""endIndexInSegment"": 58, ""value"": ""Unnamed third party""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""during your visits to this and other Web sites in order to provide advertisements about goods and services likely to be of greater interest to you."", ""startIndexInSegment"": 324, ""endIndexInSegment"": 471, ""value"": ""Advertising""}, ""Personal Information Type"": {""selectedText"": ""non-personally identifiable information (e.g., click stream information, browser type, time and date, subject of advertisements clicked or scrolled over)"", ""startIndexInSegment"": 170, ""endIndexInSegment"": 323, ""value"": ""Other""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""anonymous information"", ""startIndexInSegment"": 95, ""endIndexInSegment"": 116, ""value"": ""Aggregated or anonymized""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action Third Party"": {""selectedText"": ""We allow third-party companies to serve ads and/or collect certain anonymous information when you visit our web site."", ""startIndexInSegment"": 28, ""endIndexInSegment"": 145, ""value"": ""Collect on first party website/app""}}",28,145
4,15417,3835,0,Third Party Sharing/Collection,1,third-party companies,"{""Third Party Entity"": {""selectedText"": ""third-party companies"", ""startIndexInSegment"": 37, ""endIndexInSegment"": 58, ""value"": ""Unnamed third party""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""during your visits to this and other Web sites in order to provide advertisements about goods and services likely to be of greater interest to you."", ""startIndexInSegment"": 324, ""endIndexInSegment"": 471, ""value"": ""Advertising""}, ""Personal Information Type"": {""selectedText"": ""(e.g., click stream information, browser type, time and date, subject of advertisements clicked or scrolled over"", ""startIndexInSegment"": 210, ""endIndexInSegment"": 322, ""value"": ""User online activities""}, ""Choice Type"": {""selectedText"": ""To learn more about this behavioral advertising practice or to opt-out of this type of advertising, you can visit networkadvertising.org."", ""startIndexInSegment"": 566, ""endIndexInSegment"": 703, ""value"": ""Opt-out link""}, ""Identifiability"": {""selectedText"": ""non-personally identifiable information"", ""startIndexInSegment"": 170, ""endIndexInSegment"": 209, ""value"": ""Aggregated or anonymized""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action Third Party"": {""selectedText"": ""These companies typically use a cookie or third party web beacon to collect this information."", ""startIndexInSegment"": 472, ""endIndexInSegment"": 565, ""value"": ""Collect on first party website/app""}}",37,58
5,15417,3835,0,Third Party Sharing/Collection,1,These companies typically use a cookie or third party web beacon to collect this information.,"{""Third Party Entity"": {""selectedText"": ""third-party companies"", ""startIndexInSegment"": 37, ""endIndexInSegment"": 58, ""value"": ""Unnamed third party""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""during your visits to this and other Web sites in order to provide advertisements about goods and services likely to be of greater interest to you."", ""startIndexInSegment"": 324, ""endIndexInSegment"": 471, ""value"": ""Advertising""}, ""Personal Information Type"": {""selectedText"": ""(e.g., click stream information, browser type, time and date, subject of advertisements clicked or scrolled over"", ""startIndexInSegment"": 210, ""endIndexInSegment"": 322, ""value"": ""User online activities""}, ""Choice Type"": {""selectedText"": ""To learn more about this behavioral advertising practice or to opt-out of this type of advertising, you can visit networkadvertising.org."", ""startIndexInSegment"": 566, ""endIndexInSegment"": 703, ""value"": ""Opt-out link""}, ""Identifiability"": {""selectedText"": ""non-personally identifiable information"", ""startIndexInSegment"": 170, ""endIndexInSegment"": 209, ""value"": ""Aggregated or anonymized""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action Third Party"": {""selectedText"": ""These companies typically use a cookie or third party web beacon to collect this information."", ""startIndexInSegment"": 472, ""endIndexInSegment"": 565, ""value"": ""Collect on first party website/app""}}",472,565
6,20839,3835,0,Third Party Sharing/Collection,1,third-party companies,"{""Third Party Entity"": {""selectedText"": ""third-party companies"", ""startIndexInSegment"": 37, ""endIndexInSegment"": 58, ""value"": ""Unnamed third party""}, ""Choice Scope"": {""selectedText"": ""opt-out of this type of advertising"", ""startIndexInSegment"": 629, ""endIndexInSegment"": 664, ""value"": ""Both""}, ""Purpose"": {""selectedText"": ""ads"", ""startIndexInSegment"": 68, ""endIndexInSegment"": 71, ""value"": ""Advertising""}, ""Personal Information Type"": {""selectedText"": ""collect certain anonymous information"", ""startIndexInSegment"": 79, ""endIndexInSegment"": 116, ""value"": ""Unspecified""}, ""Choice Type"": {""selectedText"": ""opt-out"", ""startIndexInSegment"": 629, ""endIndexInSegment"": 636, ""value"": ""Opt-out link""}, ""Identifiability"": {""selectedText"": ""anonymous"", ""startIndexInSegment"": 95, ""endIndexInSegment"": 104, ""value"": ""Aggregated or anonymized""}, ""Does/Does Not"": {""selectedText"": ""allow third-party companies to serve ads and/or collect"", ""startIndexInSegment"": 31, ""endIndexInSegment"": 86, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""selectedText"": ""serve ads and/or collect certain anonymous information"", ""startIndexInSegment"": 62, ""endIndexInSegment"": 116, ""value"": ""Collect on first party website/app""}}",37,58
7,20839,3835,0,Third Party Sharing/Collection,1,serve ads and/or collect certain anonymous information,"{""Third Party Entity"": {""selectedText"": ""third-party companies"", ""startIndexInSegment"": 37, ""endIndexInSegment"": 58, ""value"": ""Unnamed third party""}, ""Choice Scope"": {""selectedText"": ""opt-out of this type of advertising"", ""startIndexInSegment"": 629, ""endIndexInSegment"": 664, ""value"": ""Both""}, ""Purpose"": {""selectedText"": ""ads"", ""startIndexInSegment"": 68, ""endIndexInSegment"": 71, ""value"": ""Advertising""}, ""Personal Information Type"": {""selectedText"": ""collect certain anonymous information"", ""startIndexInSegment"": 79, ""endIndexInSegment"": 116, ""value"": ""Unspecified""}, ""Choice Type"": {""selectedText"": ""opt-out"", ""startIndexInSegment"": 629, ""endIndexInSegment"": 636, ""value"": ""Opt-out link""}, ""Identifiability"": {""selectedText"": ""anonymous"", ""startIndexInSegment"": 95, ""endIndexInSegment"": 104, ""value"": ""Aggregated or anonymized""}, ""Does/Does Not"": {""selectedText"": ""allow third-party companies to serve ads and/or collect"", ""startIndexInSegment"": 31, ""endIndexInSegment"": 86, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""selectedText"": ""serve ads and/or collect certain anonymous information"", ""startIndexInSegment"": 62, ""endIndexInSegment"": 116, ""value"": ""Collect on first party website/app""}}",62,116
8,20839,3835,0,Third Party Sharing/Collection,1,allow third-party companies to serve ads and/or collect,"{""Third Party Entity"": {""selectedText"": ""third-party companies"", ""startIndexInSegment"": 37, ""endIndexInSegment"": 58, ""value"": ""Unnamed third party""}, ""Choice Scope"": {""selectedText"": ""opt-out of this type of advertising"", ""startIndexInSegment"": 629, ""endIndexInSegment"": 664, ""value"": ""Both""}, ""Purpose"": {""selectedText"": ""ads"", ""startIndexInSegment"": 68, ""endIndexInSegment"": 71, ""value"": ""Advertising""}, ""Personal Information Type"": {""selectedText"": ""collect certain anonymous information"", ""startIndexInSegment"": 79, ""endIndexInSegment"": 116, ""value"": ""Unspecified""}, ""Choice Type"": {""selectedText"": ""opt-out"", ""startIndexInSegment"": 629, ""endIndexInSegment"": 636, ""value"": ""Opt-out link""}, ""Identifiability"": {""selectedText"": ""anonymous"", ""startIndexInSegment"": 95, ""endIndexInSegment"": 104, ""value"": ""Aggregated or anonymized""}, ""Does/Does Not"": {""selectedText"": ""allow third-party companies to serve ads and/or collect"", ""startIndexInSegment"": 31, ""endIndexInSegment"": 86, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""selectedText"": ""serve ads and/or collect certain anonymous information"", ""startIndexInSegment"": 62, ""endIndexInSegment"": 116, ""value"": ""Collect on first party website/app""}}",31,86
9,20841,3835,0,Third Party Sharing/Collection,1,third-party companies,"{""Third Party Entity"": {""selectedText"": ""third-party companies"", ""startIndexInSegment"": 37, ""endIndexInSegment"": 58, ""value"": ""Unnamed third party""}, ""Choice Scope"": {""selectedText"": ""this type of advertising"", ""startIndexInSegment"": 640, ""endIndexInSegment"": 664, ""value"": ""Both""}, ""Purpose"": {""selectedText"": ""provide advertisements about goods and services likely to be of greater interest to you"", ""startIndexInSegment"": 383, ""endIndexInSegment"": 470, ""value"": ""Advertising""}, ""Personal Information Type"": {""selectedText"": ""browser type, time and date"", ""startIndexInSegment"": 243, ""endIndexInSegment"": 270, ""value"": ""Computer information""}, ""Choice Type"": {""selectedText"": ""opt-out"", ""startIndexInSegment"": 629, ""endIndexInSegment"": 636, ""value"": ""Opt-out link""}, ""Identifiability"": {""selectedText"": ""non-personally identifiable information"", ""startIndexInSegment"": 170, ""endIndexInSegment"": 209, ""value"": ""Other""}, ""Does/Does Not"": {""selectedText"": ""allow third-party companies to serve ads and/or collect"", ""startIndexInSegment"": 31, ""endIndexInSegment"": 86, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""selectedText"": ""serve ads and/or collect certain anonymous information"", ""startIndexInSegment"": 62, ""endIndexInSegment"": 116, ""value"": ""Collect on first party website/app""}}",37,58
