,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C4705,3722,0,Introductory/Generic,9,"This Privacy Policy explains what information is collected via the Mohegan Sun website located at mohegansun.com, why the information is collected and how it is used. Mohegan Sun does not share or sell your personal information to anyone. Mohegan Sun does not participate in any format of SPAM and will not send any unsolicited emails.","{""Other Type"": {""endIndexInSegment"": 360, ""startIndexInSegment"": 25, ""selectedText"": ""This Privacy Policy explains what information is collected via the Mohegan Sun website located at mohegansun.com, why the information is collected and how it is used. Mohegan Sun does not share or sell your personal information to anyone. Mohegan Sun does not participate in any format of SPAM and will not send any unsolicited emails."", ""value"": ""Introductory/Generic""}}",25,360
1,5982,3722,0,Third Party Sharing/Collection,1,Mohegan Sun does not share or sell your personal information to anyone.,"{""Third Party Entity"": {""endIndexInSegment"": 263, ""startIndexInSegment"": 192, ""selectedText"": ""Mohegan Sun does not share or sell your personal information to anyone."", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 252, ""startIndexInSegment"": 232, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 252, ""startIndexInSegment"": 232, ""selectedText"": ""personal information"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 263, ""startIndexInSegment"": 192, ""selectedText"": ""Mohegan Sun does not share or sell your personal information to anyone."", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 263, ""startIndexInSegment"": 192, ""selectedText"": ""Mohegan Sun does not share or sell your personal information to anyone."", ""value"": ""Receive/Shared with""}}",192,263
2,5982,3722,0,Third Party Sharing/Collection,1,Mohegan Sun does not share or sell your personal information to anyone.,"{""Third Party Entity"": {""endIndexInSegment"": 263, ""startIndexInSegment"": 192, ""selectedText"": ""Mohegan Sun does not share or sell your personal information to anyone."", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 252, ""startIndexInSegment"": 232, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 252, ""startIndexInSegment"": 232, ""selectedText"": ""personal information"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 263, ""startIndexInSegment"": 192, ""selectedText"": ""Mohegan Sun does not share or sell your personal information to anyone."", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 263, ""startIndexInSegment"": 192, ""selectedText"": ""Mohegan Sun does not share or sell your personal information to anyone."", ""value"": ""Receive/Shared with""}}",192,263
3,5982,3722,0,Third Party Sharing/Collection,1,Mohegan Sun does not share or sell your personal information to anyone.,"{""Third Party Entity"": {""endIndexInSegment"": 263, ""startIndexInSegment"": 192, ""selectedText"": ""Mohegan Sun does not share or sell your personal information to anyone."", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 252, ""startIndexInSegment"": 232, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 252, ""startIndexInSegment"": 232, ""selectedText"": ""personal information"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 263, ""startIndexInSegment"": 192, ""selectedText"": ""Mohegan Sun does not share or sell your personal information to anyone."", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 263, ""startIndexInSegment"": 192, ""selectedText"": ""Mohegan Sun does not share or sell your personal information to anyone."", ""value"": ""Receive/Shared with""}}",192,263
4,6750,3722,0,Third Party Sharing/Collection,1,share,"{""Third Party Entity"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 252, ""startIndexInSegment"": 232, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 212, ""startIndexInSegment"": 204, ""selectedText"": ""does not"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 218, ""startIndexInSegment"": 213, ""selectedText"": ""share"", ""value"": ""Receive/Shared with""}}",213,218
5,6750,3722,0,Third Party Sharing/Collection,1,does not,"{""Third Party Entity"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 252, ""startIndexInSegment"": 232, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 212, ""startIndexInSegment"": 204, ""selectedText"": ""does not"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 218, ""startIndexInSegment"": 213, ""selectedText"": ""share"", ""value"": ""Receive/Shared with""}}",204,212
6,6751,3722,0,Third Party Sharing/Collection,1,sell you,"{""Third Party Entity"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 252, ""startIndexInSegment"": 232, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 212, ""startIndexInSegment"": 204, ""selectedText"": ""does not"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 230, ""startIndexInSegment"": 222, ""selectedText"": ""sell you"", ""value"": ""Other""}}",222,230
7,6751,3722,0,Third Party Sharing/Collection,1,does not,"{""Third Party Entity"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 252, ""startIndexInSegment"": 232, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 212, ""startIndexInSegment"": 204, ""selectedText"": ""does not"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 230, ""startIndexInSegment"": 222, ""selectedText"": ""sell you"", ""value"": ""Other""}}",204,212
8,C4706,3722,1,First Party Collection/Use,0,upon the request of a visitor,"{""Collection Mode"": {""endIndexInSegment"": 161, ""startIndexInSegment"": 132, ""selectedText"": ""upon the request of a visitor"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 71, ""startIndexInSegment"": 55, ""selectedText"": ""collected online"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 225, ""startIndexInSegment"": 192, ""selectedText"": ""name, email address, home address"", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": 734, ""startIndexInSegment"": 526, ""selectedText"": ""Anyone receiving email updates from Mohegan Sun that wish to be removed should immediately click on the \""unsubscribe\"" link which is included in every email correspondence that is transmitted from Mohegan Sun."", ""value"": ""Opt-out link""}, ""Identifiability"": {""endIndexInSegment"": 225, ""startIndexInSegment"": 192, ""selectedText"": ""name, email address, home address"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 734, ""startIndexInSegment"": 39, ""selectedText"": ""The information collected online is used for email broadcasts utilizing tailored information upon the request of a visitor. Information received such as name, email address, home address and data collected regarding areas of interest is stored in a database. The database is available for Mohegan Sun's usage only and is not shared with anyone. None of the information collected is sold or shared with any third party and is available only to specific Marketing Managers at Mohegan Sun. Anyone receiving email updates from Mohegan Sun that wish to be removed should immediately click on the \""unsubscribe\"" link which is included in every email correspondence that is transmitted from Mohegan Sun."", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 524, ""startIndexInSegment"": 461, ""selectedText"": ""is available only to specific Marketing Managers at Mohegan Sun"", ""value"": ""Marketing""}}",132,161
9,C4706,3722,1,First Party Collection/Use,0,collected online,"{""Collection Mode"": {""endIndexInSegment"": 161, ""startIndexInSegment"": 132, ""selectedText"": ""upon the request of a visitor"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 71, ""startIndexInSegment"": 55, ""selectedText"": ""collected online"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 225, ""startIndexInSegment"": 192, ""selectedText"": ""name, email address, home address"", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": 734, ""startIndexInSegment"": 526, ""selectedText"": ""Anyone receiving email updates from Mohegan Sun that wish to be removed should immediately click on the \""unsubscribe\"" link which is included in every email correspondence that is transmitted from Mohegan Sun."", ""value"": ""Opt-out link""}, ""Identifiability"": {""endIndexInSegment"": 225, ""startIndexInSegment"": 192, ""selectedText"": ""name, email address, home address"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 734, ""startIndexInSegment"": 39, ""selectedText"": ""The information collected online is used for email broadcasts utilizing tailored information upon the request of a visitor. Information received such as name, email address, home address and data collected regarding areas of interest is stored in a database. The database is available for Mohegan Sun's usage only and is not shared with anyone. None of the information collected is sold or shared with any third party and is available only to specific Marketing Managers at Mohegan Sun. Anyone receiving email updates from Mohegan Sun that wish to be removed should immediately click on the \""unsubscribe\"" link which is included in every email correspondence that is transmitted from Mohegan Sun."", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 524, ""startIndexInSegment"": 461, ""selectedText"": ""is available only to specific Marketing Managers at Mohegan Sun"", ""value"": ""Marketing""}}",55,71
